分数段,累计人数
697,62
696,71
695,86
694,100
693,112
692,129
691,148
690,174
689,188
688,202
687,230
686,263
685,300
684,323
683,357
682,406
681,446
680,498
679,550
678,601
677,662
676,725
675,816
674,890
673,962
672,1036
671,1119
670,1217
669,1312
668,1398
667,1497
666,1597
665,1713
664,1842
663,1971
662,2106
661,2231
660,2367
659,2522
658,2669
657,2830
656,3014
655,3199
654,3390
653,3572
652,3788
651,3981
650,4173
649,4377
648,4593
647,4828
646,5049
645,5296
644,5549
643,5809
642,6074
641,6344
640,6627
639,6910
638,7198
637,7454
636,7732
635,8049
634,8333
633,8634
632,8962
631,9303
630,9675
629,10054
628,10414
627,10755
626,11151
625,11522
624,11938
623,12369
622,12764
621,13188
620,13638
619,14070
618,14518
617,14950
616,15415
615,15871
614,16332
613,16804
612,17313
611,17860
610,18428
609,18997
608,19549
607,20108
606,20656
605,21260
604,21851
603,22493
602,23063
601,23708
600,24346
599,24985
598,25680
597,26361
596,27050
595,27755
594,28500
593,29216
592,29958
591,30680
590,31426
589,32222
588,32972
587,33788
586,34597
585,35412
584,36233
583,37053
582,37918
581,38794
580,39680
579,40627
578,41576
577,42594
576,43561
575,44558
574,45630
573,46704
572,47689
571,48716
570,49768
569,50844
568,51901
567,52980
566,54152
565,55310
564,56446
563,57650
562,58850
561,60077
560,61315
559,62577
558,63822
557,65100
556,66387
555,67713
554,69086
553,70428
552,71818
551,73143
550,74534
549,75995
548,77422
547,78933
546,80420
545,81925
544,83459
543,85023
542,86608
541,88208
540,89831
539,91501
538,93123
537,94758
536,96378
535,98072
534,99759
533,101507
532,103324
531,105100
530,106880
529,108695
528,110513
527,112308
526,114157
525,116109
524,118011
523,119957
522,121949
521,123904
520,125938
519,127967
518,130004
517,132026
516,134072
515,136103
514,138189
513,140290
512,142414
511,144528
510,146676
509,148798
508,151033
507,153187
506,155449
505,157763
504,159961
503,162278
502,164520
501,166824
500,169112
499,171428
498,173738
497,176140
496,178401
495,180819
494,183160
493,185514
492,187890
491,190267
490,192683
489,195066
488,197469
487,199902
486,202356
485,204798
484,207177
483,209603
482,212100
481,214577
480,217082
479,219565
478,222089
477,224502
476,226993
475,229475
474,232015
473,234594
472,237087
471,239634
470,242134
469,244629
468,247086
467,249582
466,252161
465,254625
464,257231
463,259680
462,262108
461,264588
460,267033
459,269630
458,272085
457,274532
456,277028
455,279490
454,282000
453,284410
452,286804
451,289157
450,291720
449,294218
448,296656
447,299021
446,301535
445,303914
444,306314
443,308701
442,311001
441,313377
440,315758
439,318170
438,320653
437,323054
436,325411
435,327721
434,330101
433,332445
432,334743
431,337011
430,339373
429,341713
428,344061
427,346388
426,348692
425,350938
424,353289
423,355570
422,357871
421,360136
420,362436
419,364660
418,366928
417,369155
416,371360
415,373580
414,375831
413,378040
412,380285
411,382430
410,384787
409,387026
408,389229
407,391481
406,393715
405,395865
404,397949
403,400202
402,402336
401,404476
400,406590
399,408719
398,410876
397,412961
396,415139
395,417219
394,419359
393,421456
392,423592
391,425714
390,427759
389,429853
388,431938
387,434081
386,436239
385,438338
384,440416
383,442499
382,444568
381,446688
380,448774
379,450817
378,452802
377,454881
376,456877
375,458947
374,461004
373,463003
372,464991
371,466982
370,468992
369,470989
368,472982
367,475078
366,477076
365,479035
364,481085
363,483015
362,485005
361,486988
360,488995
359,490925
358,492915
357,494805
356,496790
355,498726
354,500643
353,502558
352,504437
351,506272
350,508060
349,509963
348,511900
347,513780
346,515660
345,517485
344,519314
343,521227
342,523098
341,525004
340,526738
339,528561
338,530362
337,532140
336,533911
335,535640
334,537273
333,539011
332,540783
331,542506
330,544192
329,545900
328,547572
327,549282
326,550988
325,552597
324,554304
323,555977
322,557558
321,559184
320,560758
319,562297
318,563917
317,565498
316,567101
315,568665
314,570180
313,571676
312,573204
311,574687
310,576103
309,577542
308,579006
307,580422
306,581831
305,583181
304,584578
303,585891
302,587211
301,588470
300,589772
299,591120
298,592488
297,593773
296,595008
295,596304
294,597578
293,598819
292,600015
291,601199
290,602378
289,603626
288,604731
287,605861
286,607027
285,608154
284,609238
283,610351
282,611401
281,612495
280,613468
279,614513
278,615493
277,616524
276,617425
275,618417
274,619361
273,620286
272,621223
271,622077
270,622957
269,623853
268,624732
267,625556
266,626393
265,627240
264,628048
263,628876
262,629667
261,630425
260,631179
259,631927
258,632628
257,633316
256,633985
255,634684
254,635364
253,636088
252,636717
251,637390
250,638045
249,638648
248,639240
247,639834
246,640430
245,641014
244,641617
243,642138
242,642677
241,643238
240,643747
239,644268
238,644744
237,645211
236,645696
235,646108
234,646566
233,646975
232,647380
231,647808
230,648238
229,648669
228,649105
227,649520
226,649941
225,650304
224,650713
223,651093
222,651466
221,651806
220,652140
219,652443
218,652746
217,653062
216,653363
215,653687
214,653967
213,654243
212,654518
211,654775
210,655046
209,655289
208,655569
207,655814
206,656038
205,656261
204,656487
203,656690
202,656893
201,657088
200,657318
199,657481
198,657657
197,657845
196,658009
195,658163
194,658334
193,658524
192,658689
191,658845
190,658965
189,659116
188,659254
187,659375
186,659505
185,659623
184,659723
183,659839
182,659949
181,660054
180,660155
179,660255
178,660354
177,660443
176,660542
175,660622
174,660710
173,660801
172,660875
171,660965
170,661046
169,661126
168,661187
167,661265
166,661329
165,661380
164,661422
163,661490
162,661545
161,661618
160,661674
159,661747
158,661799
157,661855
156,661918
155,661961
154,662004
153,662065
152,662114
151,662153
150,662199
