专业,院校名称,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质
地理科学(师范类),阿坝师范学院,1,509,"152,632",1,503,"144,301",1,502,"146,047",none,none,公办
汉语言文学(师范类),阿坝师范学院,2,503,"164,252",1,498,"154,760",1,499,"152,041",none,none,公办
化学(师范类),阿坝师范学院,1,494,"182,368",1,490,"171,466",1,490,"171,712",none,none,公办
生物科学(师范类),阿坝师范学院,1,521,"129,403",1,519,"110,744",1,510,"127,105",none,none,公办
数学与应用数学(师范类),阿坝师范学院,1,490,"189,422",1,497,"155,521",1,493,"164,847",none,none,公办
思想政治教育(师范类),阿坝师范学院,1,499,"172,587",1,495,"162,044",1,496,"158,970",none,none,公办
小学教育(师范类),阿坝师范学院,1,500,"169,830",1,493,"166,769",1,493,"165,321",none,none,公办
学前教育(师范类),阿坝师范学院,1,495,"180,991",1,493,"166,081",1,491,"171,506",none,none,公办
英语(师范类),阿坝师范学院,1,499,"172,155",1,493,"166,517",1,494,"164,429",none,none,公办
财务管理,安徽财经大学,4,570,"54,863",2,556,"53,138",2,553,"56,033",省重点,none,公办
财政学类,安徽财经大学,6,570,"54,483",7,555,"54,491",4,552,"56,740",省重点,none,公办
电子商务,安徽财经大学,3,557,"71,402",2,544,"69,063",2,539,"75,307",省重点,none,公办
电子信息类,安徽财经大学,3,556,"72,459",3,546,"65,765",5,543,"68,813",省重点,none,公办
法学,安徽财经大学,5,571,"53,823",5,557,"52,673",6,555,"53,718",省重点,none,公办
工程管理,安徽财经大学,none,none,none,none,none,none,2,502,"144,896",省重点,none,公办
工程造价,安徽财经大学,none,none,none,none,none,none,2,527,"94,287",省重点,none,公办
工商管理类,安徽财经大学,6,565,"60,807",6,547,"64,707",4,542,"70,073",省重点,none,公办
公共管理类,安徽财经大学,4,553,"76,741",6,541,"72,931",6,537,"77,717",省重点,none,公办
供应链管理,安徽财经大学,none,none,none,none,none,none,2,523,"102,395",省重点,none,公办
管理科学与工程类,安徽财经大学,6,551,"79,177",8,532,"86,907",none,none,none,省重点,none,公办
国际商务,安徽财经大学,4,561,"66,317",7,545,"67,151",7,537,"78,726",省重点,none,公办
国民经济管理,安徽财经大学,none,none,none,none,none,none,2,547,"63,933",省重点,none,公办
会计学,安徽财经大学,4,576,"47,782",2,561,"47,941",2,557,"50,814",省重点,none,公办
计算机类,安徽财经大学,5,563,"63,380",5,548,"63,275",3,547,"63,923",省重点,none,公办
金融学,安徽财经大学,7,569,"55,435",3,557,"52,672",3,554,"54,587",省重点,none,公办
金融学类,安徽财经大学,8,565,"60,321",6,552,"58,632",6,546,"64,375",省重点,none,公办
经济统计学,安徽财经大学,none,none,none,3,549,"62,375",2,549,"60,571",省重点,none,公办
经济学,安徽财经大学,9,568,"56,974",6,553,"57,078",4,551,"58,504",省重点,none,公办
经济与贸易类,安徽财经大学,9,566,"59,527",7,550,"61,267",6,544,"67,678",省重点,none,公办
旅游管理,安徽财经大学,2,555,"73,255",2,539,"75,916",4,516,"116,517",省重点,none,公办
日语,安徽财经大学,2,567,"58,665",6,547,"65,331",6,531,"88,756",省重点,none,公办
商务英语,安徽财经大学,4,562,"64,401",2,549,"62,640",2,547,"63,281",省重点,none,公办
审计学,安徽财经大学,3,573,"51,564",3,558,"50,925",3,557,"51,171",省重点,none,公办
数据科学与大数据技术,安徽财经大学,3,567,"58,562",6,550,"60,694",6,548,"62,477",省重点,none,公办
数学与应用数学,安徽财经大学,2,564,"61,397",2,549,"61,470",2,545,"65,581",省重点,none,公办
统计学,安徽财经大学,4,564,"61,895",2,549,"61,507",2,546,"64,176",省重点,none,公办
物流管理,安徽财经大学,2,562,"65,212",2,545,"67,472",3,538,"76,054",省重点,none,公办
信息管理与信息系统,安徽财经大学,none,none,none,none,none,none,4,532,"85,957",省重点,none,公办
应用统计学(中外合作办学),安徽财经大学,none,none,none,2,523,"103,071",2,522,"103,398",省重点,none,公办
资产评估,安徽财经大学,2,576,"48,305",2,558,"51,116",3,552,"57,480",省重点,none,公办
电气工程及其自动化,安徽大学,none,none,none,none,none,none,9,589,"21,638",211,一流学科,公办
电子科学与技术,安徽大学,none,none,none,none,none,none,10,589,"21,784",211,一流学科,公办
电子信息工程,安徽大学,4,610,"20,283",5,593,"20,448",8,591,"20,441",211,一流学科,公办
电子信息类,安徽大学,8,609,"21,022",10,592,"21,241",none,none,none,211,一流学科,公办
法学类,安徽大学,2,620,"15,010",4,603,"14,940",4,600,"15,264",211,一流学科,公办
工商管理类,安徽大学,10,606,"22,918",10,588,"23,699",10,585,"24,380",211,一流学科,公办
会计学,安徽大学,6,610,"20,201",6,593,"21,025",none,none,none,211,一流学科,公办
机器人工程,安徽大学,none,none,none,6,589,"23,544",6,586,"23,353",211,一流学科,公办
机械类,安徽大学,none,none,none,none,none,none,3,587,"22,995",211,一流学科,公办
集成电路设计与集成系统,安徽大学,none,none,none,6,590,"22,536",6,587,"22,808",211,一流学科,公办
计算机科学与技术,安徽大学,none,none,none,none,none,none,11,593,"18,969",211,一流学科,公办
计算机类,安徽大学,10,612,"19,199",11,596,"18,837",10,592,"19,625",211,一流学科,公办
金融学,安徽大学,none,none,none,none,none,none,7,590,"20,884",211,一流学科,公办
经济统计学,安徽大学,4,608,"21,467",4,591,"22,081",4,587,"22,855",211,一流学科,公办
经济学类,安徽大学,6,611,"19,813",7,594,"20,174",none,none,none,211,一流学科,公办
历史学类,安徽大学,6,611,"20,032",6,594,"20,079",3,591,"20,425",211,一流学科,公办
数学类,安徽大学,4,609,"20,755",4,593,"20,733",4,590,"21,176",211,一流学科,公办
数字媒体技术(中外合作办学),安徽大学,7,581,"43,056",8,567,"41,553",9,565,"41,904",211,一流学科,公办
新闻传播学类,安徽大学,5,610,"20,101",7,594,"20,405",7,590,"21,260",211,一流学科,公办
信息安全,安徽大学,4,610,"20,514",6,593,"20,542",8,591,"20,453",211,一流学科,公办
应用统计学(中外合作办学),安徽大学,7,576,"47,816",8,566,"42,065",8,564,"42,644",211,一流学科,公办
