山东省2020年普通类常规批第1次志愿投档情况表,,,,,,,,
专业,院校,普通类,,,,,,
,,计划数,投档计划数,投出数,最低分,最低位次,,
02中国语言文学类,A001北京大学,2,2,2,688,194,,
04历史学类,A001北京大学,1,1,1,692,119,,
05哲学类,A001北京大学,1,1,1,688,198,,
06社会学类,A001北京大学,1,1,1,687,206,,
07国际政治（国政、外交学、国际政经）,A001北京大学,2,2,2,687,219,,
08法学,A001北京大学,4,4,4,691,139,,
09信息管理与信息系统,A001北京大学,1,1,1,688,189,,
10新闻传播学类,A001北京大学,1,1,1,687,225,,
11经济学类,A001北京大学,5,7,7,692,105,,
12工商管理类,A001北京大学,3,4,4,697,45,,
13公共管理类,A001北京大学,1,1,1,687,222,,
15城乡规划,A001北京大学,1,1,1,688,188,,
30数学类,A001北京大学,3,4,4,693,80,,
31工科试验班类,A001北京大学,2,2,2,691,129,,
32物理学类,A001北京大学,3,4,4,693,95,,
33天文学,A001北京大学,2,2,2,691,125,,
34电子信息类,A001北京大学,3,5,5,693,97,,
35计算机类,A001北京大学,9,10,10,693,90,,
36化学类,A001北京大学,2,2,2,690,158,,
37生物科学类,A001北京大学,2,2,2,691,133,,
39地球物理学类,A001北京大学,1,1,1,692,109,,
40环境科学（环境、生态、地理与资源环境）,A001北京大学,2,2,2,690,145,,
42环境科学与工程类,A001北京大学,2,2,2,690,166,,
43心理学类,A001北京大学,2,2,2,692,118,,
45理科试验班类,A001北京大学,10,10,10,695,67,,
02社会科学试验班（管理学科类）,A002中国人民大学,7,7,7,674,878,,
03经济学类,A002中国人民大学,9,9,9,680,470,,
04新闻传播学类,A002中国人民大学,7,7,7,675,775,,
05工商管理类,A002中国人民大学,10,10,10,675,771,,
06金融学类,A002中国人民大学,8,8,8,682,380,,
08法学,A002中国人民大学,7,7,7,681,456,,
10国际政治（以学校公布分流专业为准）,A002中国人民大学,6,6,6,674,911,,
11人力资源管理（以学校公布分流专业为准）,A002中国人民大学,3,3,3,675,792,,
AA理科试验班,A002中国人民大学,19,19,19,677,685,,
0U测控技术与仪器（定向兵器工业）,A003清华大学,1,1,1,682,361,,
0Y核工程与核技术（定向中核）,A003清华大学,5,5,5,681,405,,
15理科试验班类（物理基础类）,A003清华大学,73,73,73,689,174,,
17文科试验班类（通用基础类）,A003清华大学,1,1,1,706,5,,
1M临床医学类,A003清华大学,2,3,3,695,59,,
01法学,A004北京交通大学,4,4,4,640,7047,,
02外国语言文学类,A004北京交通大学,4,4,4,637,8039,,
03新闻传播学类,A004北京交通大学,4,4,4,639,7343,,
04经济管理试验班,A004北京交通大学,12,12,12,640,7103,,
05电子信息类（通信与控制）,A004北京交通大学,17,17,17,644,5906,,
06计算机类,A004北京交通大学,9,9,9,650,4571,,
07软件工程,A004北京交通大学,6,8,8,646,5517,,
08交通运输类,A004北京交通大学,12,12,12,641,6948,,
09土木类（智慧建造与智能工程）,A004北京交通大学,18,18,18,631,10319,,
