,专业代号及名称,院校代号及名称,投档计划数,投档最低位次
0,4K经济管理试验班,A246复旦大学,2,226
1,Z4经济管理试验班(含双学士学位项目),A248上海交通大学,12,562
2,05工商管理类(含国际三学士学位项目、双学士学位项目),A002中国人民大学,13,803
3,11人力资源管理(含4加1本硕国际项目),A002中国人民大学,3,903
4,J4社会科学试验班(管理学科类，含双学士学位项目),A002中国人民大学,8,941
5,S4经济管理试验班,A284南京大学,9,1013
6,03经济管理试验班,A247同济大学,8,1888
7,02财务管理(智能化方向),A272上海财经大学,3,2244
8,C8信息管理与信息系统,A486武汉大学,3,2497
9,06工商管理类(会计学院),A034中央财经大学,7,2586
10,QF公共管理类,A486武汉大学,2,3075
0,02电子信息类(IEEE试点班，含双学士学位项目),A248上海交通大学,4,178
1,0Y电子信息工程,E430中国科学院大学,2,318
2,S8电子信息类,A284南京大学,8,761
3,32电子信息类(启明光电信息本硕博实验班),A487华中科技大学,5,1055
4,0N电子信息类(光电学院),A487华中科技大学,10,1463
5,A2电子信息类(成电英才计划拔尖创新人才实验班),A614电子科技大学,3,1766
6,0M电子信息类(电信学院),A487华中科技大学,15,1968
7,QD工科试验班(电子信息实验班),A007北京理工大学,37,2155
8,R5电子信息类(含卓越工程师教育培养计划),A486武汉大学,14,2177
9,12电子信息类,A286东南大学,21,2610
10,09工科试验班(计算机与电子通信),A213哈尔滨工业大学,28,2848
