专业代号及名称,院校代号及名称,投档计划数,投档最低位次
10保险学(保险精算),A272上海财经大学,3,3528
22数据科学与大数据技术(含与保险学专业双学士学位项目),A036对外经济贸易大学,4,4701
28保险学(风险管理实验班),A532湖南大学,1,9513
02金融学类(保险方向),A651西南财经大学,3,9798
0Z金融学类(保险精算),A520中南财经政法大学,4,11621
56保险学,A421江西财经大学,2,33157
17保险学,A075河北大学,2,46475
0R保险学,B047上海立信会计金融学院,2,47476
05保险学,B560西安财经大学,2,63603
13保险学,A125山西财经大学,2,69324
0R保险学(济南走读),Y014山东财经大学,10,77755
1S保险学(地方专项计划),A456山东财经大学,20,80977
0F保险学,A207吉林财经大学,4,84034
0X保险学,A507湖北中医药大学,2,88535
1T保险学(校企合作，与德华安顾人寿保险有限公司合作),A456山东财经大学,100,92695
09保险学,A689云南财经大学,4,97301
0Y保险学,A143沈阳航空航天大学,4,105391
30保险学,A741兰州财经大学,2,112352
07保险学,B420河北金融学院,4,148128
0Q保险学,A369安徽中医药大学,3,148162
24医疗保险,A735甘肃中医药大学,2,158377
0S保险学,B688山东工商学院,31,178770
19保险学,D994南京审计大学金审学院,2,191082
04保险学,A766新疆财经大学,11,191626
18医疗保险,D980南京医科大学康达学院,2,210967
0Q医疗保险,A825齐鲁医药学院,30,224696
