专业代号及名称,院校代号及名称,投档计划数,投档最低位次
4K经济管理试验班,A246复旦大学,2,226
Z4经济管理试验班(含双学士学位项目),A248上海交通大学,12,562
05工商管理类(含国际三学士学位项目、双学士学位项目),A002中国人民大学,13,803
11人力资源管理(含4加1本硕国际项目),A002中国人民大学,3,903
J4社会科学试验班(管理学科类，含双学士学位项目),A002中国人民大学,8,941
S4经济管理试验班,A284南京大学,9,1013
03经济管理试验班,A247同济大学,8,1888
02财务管理(智能化方向),A272上海财经大学,3,2244
C8信息管理与信息系统,A486武汉大学,3,2497
06工商管理类(会计学院),A034中央财经大学,7,2586
QF公共管理类,A486武汉大学,2,3075
3R公共管理类,A055南开大学,3,3453
42工商管理类,A055南开大学,16,3545
QD工商管理类,A486武汉大学,8,3588
15工商管理类,A487华中科技大学,5,3619
17大数据管理与应用(许国志大数据英才班),A034中央财经大学,5,3662
16管理科学与工程类(大数据管理与供应链优化试验班),A487华中科技大学,5,3852
09工商管理类,A272上海财经大学,4,3911
0D工商管理类(广州),A558中山大学,10,4042
1H公共管理类,A487华中科技大学,2,4059
32工商管理类,A269华东师范大学,1,4077
13工商管理类,A384厦门大学,4,4404
36工商管理类(商学院),A034中央财经大学,4,4405
0P大数据管理与应用,A013北京邮电大学,2,4489
86信息管理与信息系统,A269华东师范大学,1,4530
0B公共管理类,A558中山大学,5,4565
34公共管理类,A269华东师范大学,1,4919
33工商管理(中法创新实验班),A269华东师范大学,2,4971
14管理科学与工程类,A384厦门大学,2,5121
09工商管理类,A036对外经济贸易大学,11,5171
16管理科学与工程类,A034中央财经大学,3,5293
07工科试验班(高新舰船与海洋装备智能设计与管理),A056天津大学,15,5809
05经济管理试验班,A056天津大学,31,5849
19公共管理类,A034中央财经大学,4,6116
02国民经济管理(中外合作办学),H002中国人民大学(苏州校区),2,6560
33工商管理(全英班),A561华南理工大学,1,6576
4D工商管理类,A030北京外国语大学,1,6628
35工商管理类,A561华南理工大学,3,6684
QD公共管理类,A610四川大学,3,6697
75行政管理,A561华南理工大学,1,6726
0B工商管理类,A013北京邮电大学,5,7158
A0金融学类(经济管理类),A533中南大学,11,7371
0B工商管理类(会计学院),A651西南财经大学,4,7767
27信息管理与信息系统(法治信息管理实验班),A053中国政法大学,2,7916
28信息资源管理,A610四川大学,2,7959
4N工商管理类,A019中国农业大学,5,8048
21公共事业管理,A053中国政法大学,1,8064
20行政管理,A053中国政法大学,3,8176
18工商管理,A053中国政法大学,4,8423
31管理科学与工程类,A610四川大学,4,8424
13国际经济与贸易(中外合作办学)(国际贸易、金融风险管理),A034中央财经大学,8,8639
33工商管理类(管理试验班),A699西北工业大学,2,8663
21管理科学与工程类(管理试验班),A699西北工业大学,2,8712
YP工商管理类,A422山东大学,70,8843
69文化产业管理,A033中国传媒大学,3,9134
X9公共管理类,A422山东大学,15,9346
28保险学(风险管理实验班),A532湖南大学,1,9513
13经济管理试验班,A004北京交通大学,12,9800
0Y经济管理试验班,A520中南财经政法大学,10,10219
DG工商管理类,A611重庆大学,8,10556
08工商管理,A532湖南大学,7,10983
D7管理科学与工程类,A611重庆大学,4,11118
0P工商管理类(会计学院),A520中南财经政法大学,10,11212
YS管理科学与工程类,A422山东大学,20,11354
5D行政管理,A532湖南大学,3,11738
14公共管理类,A052中央民族大学,8,11834
24旅游管理类,A610四川大学,4,11863
0S大数据管理与应用,A287南京航空航天大学,4,12011
21信息管理与信息系统,H213哈尔滨工业大学(威海),18,12113
04工商管理类,A008北京科技大学,7,12114
A7财务管理,A423中国海洋大学,10,12168
09工商管理类,A651西南财经大学,3,12236
72大数据管理与应用,A033中国传媒大学,2,12280
23管理科学与工程类,A008北京科技大学,5,12362
66工商管理类(经济管理实验班),A141大连理工大学,14,12564
13工商管理类,A052中央民族大学,13,12824
9Q工商管理类,A183吉林大学,6,13201
2B经济管理试验班,H213哈尔滨工业大学(威海),28,13208
26工商管理类,A251华东理工大学,5,13410
0P管理科学与工程类,A287南京航空航天大学,3,13583
45工商管理,A423中国海洋大学,15,14320
40行政管理,A423中国海洋大学,6,14321
0F物流管理与工程类(供应链),A054华北电力大学(北京),1,14374
49管理科学与工程类,A183吉林大学,10,14586
0R公共管理类,A651西南财经大学,2,14659
36文化产业管理,A423中国海洋大学,7,14677
A5公共事业管理,A423中国海洋大学,7,14681
13工商管理类,A520中南财经政法大学,10,14908
25管理科学与工程类,A251华东理工大学,4,15159
50经济管理试验班,A255东华大学,8,15351
1A经济管理试验班,A145东北大学,14,15367
51工商管理类,A635西南大学,2,15446
99公共事业管理,A141大连理工大学,5,15474
38信息管理与信息系统,A288南京理工大学,6,15591
39工商管理类,A288南京理工大学,12,15778
0A公共管理类,A145东北大学,8,15840
03工商管理类,H422山东大学威海分校,83,15883
30工商管理类,A173东北财经大学,3,15918
0U行政管理,A287南京航空航天大学,2,15943
N5财务管理,A294河海大学,3,16063
0M工商管理,A287南京航空航天大学,2,16074
5W土地资源管理,B415中国地质大学(北京),1,16284
0K行政管理,A652西南政法大学,2,16502
15公共管理类,A520中南财经政法大学,7,16689
0K公共事业管理,A276华东政法大学,2,16701
09管理科学与工程类,A520中南财经政法大学,1,16721
08理科试验班(数学、物理电子与管理),A010北京化工大学,12,16747
56工商管理,A559暨南大学,2,16831
52物流管理,A423中国海洋大学,7,16928
AB旅游管理,A423中国海洋大学,4,17031
28公共管理类,A251华东理工大学,4,17113
2D信息管理与信息系统,A559暨南大学,2,17128
18旅游管理,A319南京师范大学,2,17153
Z3大数据管理与应用(常州校区),A294河海大学,2,17258
25信息管理与信息系统,A497武汉理工大学,4,17317
0Z管理科学与工程类,A054华北电力大学(北京),5,17407
0Q公共管理类,A054华北电力大学(北京),3,17528
01电信工程及管理(中外合作办学),H013北京邮电大学(宏福校区),15,17537
0N工商管理类,A054华北电力大学(北京),8,17552
2B工商管理类,B414中国石油大学(北京),3,17679
51公共管理类,A511华中师范大学,4,17731
2Q药事管理,A026北京中医药大学,1,17875
66工商管理类,A730兰州大学,10,17898
N2信息管理与信息系统,A294河海大学,3,18089
24公共管理类(文法),A491中国地质大学(武汉),6,18127
0A大数据管理与应用,A359合肥工业大学,2,18233
