专业代号及名称,院校代号及名称,投档计划数,投档最低位次
0F财政学类,A272上海财经大学,4,2609
35财政学(财政理论与政策),A034中央财经大学,3,2707
02财政学类,A034中央财经大学,7,3376
0E财政学类,A651西南财经大学,3,9853
06财政学类,A520中南财经政法大学,14,12875
11财政学,A559暨南大学,2,14000
05财政学,A697西北大学,2,16857
02财政学类,A173东北财经大学,2,19074
02财政学类,A327南京财经大学,6,21781
03财政学,B287南京审计大学,2,22183
04财政学类,B846广东外语外贸大学,1,26328
43财政学,A421江西财经大学,3,27856
1H财政学类,A657贵州大学,4,28204
24财政学类,A070天津财经大学,5,29331
01财政学类,B482浙江财经大学,6,29648
0B财政学类,B047上海立信会计金融学院,5,40388
03财政学类,B799重庆工商大学,1,42807
1Z财政学类,A456山东财经大学,135,52206
0P财政学,B065青岛大学,29,52952
10财政学,A125山西财经大学,2,53557
0L财政学类(地方专项计划),A456山东财经大学,20,55447
CA财政学类,A484河南财经政法大学,2,56444
19财政学类,A378安徽财经大学,4,56740
0H财政学,A207吉林财经大学,2,64032
6W财政学,A689云南财经大学,4,73660
07财政学类,B600湖北经济学院,4,75112
30财政学,A694西藏大学,3,78205
04财政学,A463河南工业大学,2,80205
04财政学,A741兰州财经大学,2,84496
1Q财政学(就读地点泰安，地方专项计划),Y018山东科技大学,15,100564
02财政学类,B532湖南财政经济学院,2,103488
0E财政学(就读地点泰安),Y018山东科技大学,103,111865
84财政学类(财政与公共管理学院),A240哈尔滨商业大学,22,118300
09财政学,B420河北金融学院,2,119882
86公共管理类(财政与公共管理学院),A240哈尔滨商业大学,13,127881
10财政学,B688山东工商学院,31,138643
01财政学,B652河南财政金融学院,2,143441
18财政学,A766新疆财经大学,2,147178
02财政学,B261吉林工商学院,2,165201
01财政学,D471集美大学诚毅学院,2,214988
24财政学类,D634武汉学院,10,217399
