专业代号及名称,院校代号及名称,投档计划数,投档最低位次
06金融学类(含双学士学位项目),A002中国人民大学,8,476
QX金融学类(弘毅学堂数理经济与数理金融试验班),A486武汉大学,2,1089
0Y金融学,A272上海财经大学,4,1378
3W金融学类,A055南开大学,8,1492
04金融学类,A034中央财经大学,7,1493
06金融学(双学士学位、统计学和金融学),A272上海财经大学,5,1534
G7国际经济与贸易(弘毅学堂数字贸易与金融试验班),A486武汉大学,2,1617
33经济学(数理经济与数理金融),A034中央财经大学,3,2075
A3计算机科学与技术(智能金融与区块链金融双A联合学位实验班),A614电子科技大学,2,2097
34金融学(国际金融与公司理财),A034中央财经大学,3,2246
61金融学(双学位),A269华东师范大学,2,2338
07金融工程(量化金融实验班),A036对外经济贸易大学,4,2878
41英语(中央财经大学金融学联合培养),A030北京外国语大学,2,3169
34金融学类,A036对外经济贸易大学,19,3525
31金融学类,A269华东师范大学,3,3674
0Y金融学(经管国际化创新实验班),A651西南财经大学,1,3942
32金融数学,A036对外经济贸易大学,4,4488
10金融学类,A610四川大学,5,4843
0C法学(涉外卓越国际金融法律人才实验班),A276华东政法大学,3,5400
26金融工程(成思危现代金融菁英班),A053中国政法大学,4,5728
03金融学(中外合作办学),H002中国人民大学(苏州校区),7,5832
05金融科技,A651西南财经大学,1,5949
01金融学,A030北京外国语大学,3,6014
A1金融学,A271上海外国语大学,2,6223
03金融学(双语实验班),A651西南财经大学,2,6303
0M法学(法学与金融学双学位),A651西南财经大学,1,6823
A0金融学类(经济管理类),A533中南大学,11,7371
0R金融学,A285苏州大学,2,7651
01金融学类,A651西南财经大学,5,7701
0U金融数学,A651西南财经大学,1,8399
1E金融数学,A285苏州大学,3,8635
13国际经济与贸易(中外合作办学)(国际贸易、金融风险管理),A034中央财经大学,8,8639
27金融学,A532湖南大学,11,9342
02金融学类(保险方向),A651西南财经大学,3,9798
0V计算金融,A651西南财经大学,1,10677
07金融学类,A520中南财经政法大学,12,11044
AD金融学,A423中国海洋大学,12,11431
0Z金融学类(保险精算),A520中南财经政法大学,4,11621
0T金融数学,A520中南财经政法大学,4,12688
76金融工程,A559暨南大学,3,13047
0Q金融学,A287南京航空航天大学,2,13705
56金融学,A590深圳大学,2,13894
5F数学类(金融与统计),A255东华大学,3,14906
A0金融科技,A590深圳大学,1,15220
25金融学,A022北京林业大学,3,15457
19金融学(中外合作办学),A280上海大学,3,15660
N7金融工程,A294河海大学,2,16258
04金融学,A273上海对外经贸大学,2,16484
05金融学类,A173东北财经大学,2,16829
02金融学(全英语),A273上海对外经贸大学,2,17745
52金融学,A295江南大学,7,17840
H5金融数学(中外合作办学)(金融服务与量化分析方向),A651西南财经大学,4,18581
05金融学类,B846广东外语外贸大学,1,18713
15金融学(中外合作办学),H422山东大学威海分校,39,19067
49金融学,A403南昌大学,5,19614
32金融学,A307南京农业大学,10,20479
16金融学,A357安徽大学,7,20884
17金融学类,A140辽宁大学,5,21664
1D金融学,A290中国矿业大学,4,21982
18金融工程,A151大连海事大学,4,22633
07金融学类,B482浙江财经大学,3,22965
34金融学类,A353浙江工商大学,2,22984
M2金融学(厦门大学马来西亚分校招生专业),A384厦门大学,3,23202
0A金融学,A217哈尔滨工程大学,9,23237
05金融学,B287南京审计大学,3,23568
0W金融工程,A359合肥工业大学,6,23672
38金融学(中外合作办学),A497武汉理工大学,5,24553
2Y金融学,A589海南大学,4,24601
44金融科技,A173东北财经大学,3,24826
60金融学,A626四川农业大学,3,24974
1A金融工程,A293南京邮电大学,6,25253
06金融学(CFA方向),A421江西财经大学,4,25656
86金融学(中外合作办学),A140辽宁大学,1,25897
01经济与金融,A009北方工业大学,1,26160
24金融学,A032北京语言大学,4,27043
03金融学类,A327南京财经大学,6,27473
40金融工程,A300南京信息工程大学,4,27476
41金融学,A421江西财经大学,3,27577
10金融学,A530湘潭大学,3,28058
20金融学(FRM方向),A421江西财经大学,4,28071
3A金融学(中外合作办学)(中加合作),A273上海对外经贸大学,3,28451
25金融学类,A070天津财经大学,10,28718
6D数学与应用数学(数学金融AI实验班),A270上海师范大学,7,28878
25经济学(经济金融统计与分析),A032北京语言大学,2,28890
H1市场营销(中外合作办学)(金融服务与营销),A651西南财经大学,6,28974
04金融数学,A327南京财经大学,2,29097
2Z金融数学,A070天津财经大学,3,30266
51金融工程,A421江西财经大学,2,30580
05金融学(国际投资与金融),A421江西财经大学,4,30819
23金融学类,A224东北农业大学,13,31073
8A金融学类,A270上海师范大学,8,32629
21金融学,A337浙江工业大学,6,32659
8B金融科技,A270上海师范大学,5,33025
32金融学,A126内蒙古大学,3,33386
A2金融学,A724西安外国语大学,3,34100
08金融学(中外合作办学),B482浙江财经大学,2,34547
01经济与金融,A216燕山大学,2,34644
22金融学类,A356中国计量大学,1,34791
31金融学,A385华侨大学,4,35437
05金融学类,B047上海立信会计金融学院,7,35832
1P计算机科学与技术(金融信息服务方向),A346杭州师范大学,2,36132
0H金融数学,B047上海立信会计金融学院,2,36572
51金融学,A755新疆大学,3,37778
20金融学,A068天津外国语大学,1,37785
DD金融科技(中外合作办学),A590深圳大学,3,37974
5A金融学,A743青海大学,2,39729
53金融学,A536长沙理工大学,2,39872
02金融工程,A346杭州师范大学,3,40655
06金融工程,B047上海立信会计金融学院,4,40667
50金融学,A650四川外国语大学,2,42456
04金融学,B560西安财经大学,2,42593
37数学与应用数学(金融统计、数据分析方向),A385华侨大学,4,42784
27信息管理与信息系统(金融智能),A421江西财经大学,4,43217
52金融学(中外合作办学)(与英国奥斯特大学合作办学),A173东北财经大学,7,44019
03金融工程,A320江苏师范大学,3,44110
16金融工程(中外合作办学),B287南京审计大学,2,44952
19金融学,A456山东财经大学,160,45092
36金融学类(中外合作办学),F302西交利物浦大学,31,45784
35金融学类,A057天津科技大学,4,46010
14金融学类,A456山东财经大学,145,46357
2T金融学类,A445山东师范大学,60,46422
51金融科技,A650四川外国语大学,1,46539
11劳动与社会保障(康养金融),A421江西财经大学,3,47754
05金融学,B065青岛大学,67,48250
04金融学类,B799重庆工商大学,5,49084
2P金融学(地方专项计划),A445山东师范大学,8,49351
0V金融科技,B047上海立信会计金融学院,4,49678
0S金融学,A404华东交通大学,2,49976
0Z经济学(金融与投资),A406南昌航空大学,2,49990
05金融学,A037北京物资学院,1,50377
1B金融学类(济南走读),Y014山东财经大学,25,53275
42金融学,A674昆明理工大学,3,53633
04金融学(期货与证券实验班),A037北京物资学院,2,53728
75金融学,B075三峡大学,4,54108
12金融学,A424山东科技大学,37,54479
02金融学,A378安徽财经大学,3,54587
03金融数学,A636四川师范大学,2,55091
11金融学,A125山西财经大学,6,55357
0K金融学,A207吉林财经大学,4,55423
01金融学,B258大连大学,2,55476
0L金融学,B417北京联合大学,7,55803
59金融学类,B660重庆理工大学,3,56158
08金融学(含荆楚卓越人才协同育人计划),A489长江大学,2,56621
02金融工程,A636四川师范大学,2,56641
27金融工程,E275浙江外国语学院,2,56677
0C金融学,A414江西师范大学,2,57280
16金融数学(地方专项计划),A456山东财经大学,10,57649
0W金融工程(中外合作办学)(中美合作),B047上海立信会计金融学院,7,57769
04金融学类,A656西南民族大学,3,58342
90金融学,A212黑龙江大学,2,58343
07金融学类,A484河南财经政法大学,2,58466
48经济学类(中美121双学位班、可接轨CFA金融分析师),A385华侨大学,8,58575
0Z金融数学,A456山东财经大学,45,58585
35金融数学,B540广东金融学院,1,59688
26金融学(中外合作办学)(能源金融),A070天津财经大学,13,59939
01金融学,B540广东金融学院,1,60186
24金融数学,B660重庆理工大学,3,61563
4A金融学(中外合作办学),B799重庆工商大学,2,61919
93金融学,A212黑龙江大学,5,62149
12金融工程,A125山西财经大学,2,62251
42金融数学,A125山西财经大学,2,62823
81金融学,A081华北理工大学,4,63086
39金融学类,A538中南林业科技大学,4,63133
25金融学(大数据金融实验班),A496武汉轻工大学,3,63195
