专业代号及名称,院校代号及名称,投档计划数,投档最低位次
05工科试验班(土木与环境类),A247同济大学,22,2919
10工科试验班(土木交通材料实验班),A286东南大学,30,4787
08土木工程(卓越全英班),A561华南理工大学,1,5654
29土木类,A384厦门大学,2,6044
09工科试验班(智慧土木与数字建造),A561华南理工大学,2,6178
53土木工程,A610四川大学,5,8935
41土木工程(智能土木实验班),A532湖南大学,2,10256
Y9土木类,A422山东大学,30,12005
96土木类(智慧基础设施与土木类创新班),A141大连理工大学,3,12936
1C土木类(智慧建造与智能工程),A004北京交通大学,17,16458
0J土木工程,A287南京航空航天大学,2,16662
40土木类,A532湖南大学,18,16716
A9土木类(土木安全类),A533中南大学,35,16868
9P土木类,A423中国海洋大学,28,18442
13土木类,A008北京科技大学,9,18697
81土木类,A183吉林大学,15,18800
08土木类,A054华北电力大学(北京),1,19102
D1土木工程,A294河海大学,8,20398
89土木工程(卓越班),A590深圳大学,1,20654
26土木类,A005北京工业大学,9,22163
01土木工程,A613西南交通大学,13,22210
0E土木类,A079华北电力大学(保定),3,24635
H3土木类,A635西南大学,2,25493
0L土木工程,A080河北工业大学,2,25630
99土木工程(中外合作办学)(与蒙纳士大学中外合作办学项目),A533中南大学,10,25707
5G土木工程,A712西北农林科技大学,2,25742
35土木工程,A295江南大学,4,26012
15土木工程,A022北京林业大学,4,26210
2D土木工程(试验班),A112太原理工大学,1,26251
12土木类,A497武汉理工大学,30,26647
46土木工程,B415中国地质大学(北京),4,27177
98土木工程,B413中国矿业大学(北京),10,28006
5X土木工程,A425中国石油大学(华东),21,28208
36土木类,A459郑州大学,10,28262
19土木类,A359合肥工业大学,8,29830
65土木类,A403南昌大学,4,30039
1S土木类,A290中国矿业大学,14,30502
D2土木工程(全国人防工程建筑结构设计与施工工程师),P004陆军工程大学,1,30555
14土木工程,A386福州大学,4,30843
2H土木工程,A112太原理工大学,8,30894
1N土木工程,A673云南大学,3,31684
5F土木类,A710长安大学,28,32951
22土木工程(实验班),A016北京建筑大学,3,33779
72土木工程,A299江苏大学,2,34039
40土木工程,B646宁波大学,3,34923
2E土木类,A657贵州大学,4,34960
3A土木工程,A589海南大学,8,35324
23土木工程(建筑工程),A016北京建筑大学,2,35546
06土木工程,A703西安建筑科技大学,9,36809
73土木工程,A626四川农业大学,3,37234
89土木工程(中外合作办学),A280上海大学,2,37526
16土木类,A337浙江工业大学,5,38303
10土木类,A298南京林业大学,4,38679
53土木工程,B117扬州大学,2,39261
29土木工程,A225东北林业大学,18,39776
24土木工程(城市道路与桥梁工程),A016北京建筑大学,1,40232
YM土木工程(智能土木卓越班),A536长沙理工大学,1,40363
35土木工程,A184延边大学,3,40678
57土木工程(中外合作办学),A613西南交通大学,5,41919
10土木工程,A593广西大学,20,41962
41土木工程,A126内蒙古大学,8,42528
06土木工程,A616成都理工大学,8,42615
05土木类,A488武汉科技大学,4,42616
U1土木工程(中外合作办学)(河海里尔学院),A294河海大学,5,42638
13土木类,A291南京工业大学,12,42863
1F土木工程(中外合作办学),A290中国矿业大学,8,44042
21土木工程,A564华南农业大学,1,44208
46土木工程,A700西安理工大学,4,44506
80土木工程,A530湘潭大学,6,44801
16土木类,A338浙江理工大学,3,45975
10土木工程,A332苏州科技大学,4,46104
26土木工程,A536长沙理工大学,7,46599
30土木工程,A615西南石油大学,6,46904
27土木类,A216燕山大学,6,47618
28土木工程,A150大连交通大学,2,49247
91土木工程,A075河北大学,2,50328
07土木工程,A704西安科技大学,2,50441
04土木工程,A153沈阳建筑大学,2,50751
YN土木工程(创新人才培养班),A536长沙理工大学,1,51097
79土木类,B078广州大学,6,51621
50土木工程,A108山西大学,5,51635
Z3土木工程(中外合作办学),A151大连海事大学,8,52227
31土木工程,A289江苏科技大学,6,52279
2A土木工程,A107石家庄铁道大学,8,52732
0Q土木工程(中外合作办学),A217哈尔滨工程大学,7,52859
01土木类,A618重庆交通大学,6,53117
22土木工程,A560汕头大学,4,53179
10土木工程(卓越计划班),A732兰州交通大学,2,53893
38土木类(中外合作办学),F302西交利物浦大学,2,54396
0H土木工程,A059中国民航大学,4,55141
6V土木工程,A755新疆大学,11,55220
22土木类,A385华侨大学,12,58607
6J土木、水利与交通工程,A743青海大学,2,60764
4R土木工程,A341浙江农林大学,1,60842
21土木工程,A500湖北工业大学,4,60913
97土木工程,A304南通大学,2,62150
1V土木工程(中外合作办学),A291南京工业大学,3,62177
46土木工程,A351温州大学,2,63046
01土木工程,A404华东交通大学,12,63947
46土木工程,A743青海大学,12,66586
0E土木工程,A759石河子大学,7,68599
01土木类,A107石家庄铁道大学,28,69401
09土木工程,A732兰州交通大学,3,69505
22土木工程,A702西安工业大学,3,70420
7N土木工程(中外合作办学)(中英合作),A270上海师范大学,10,72871
60土木工程(中外合作办学),A332苏州科技大学,4,73421
67土木工程,A188东北电力大学,12,73454
1V土木工程(中外合作办学),A009北方工业大学,2,76561
27土木工程(中外合作办学),A536长沙理工大学,2,76801
55土木工程,A212黑龙江大学,4,77028
H2土木工程(中外合作办学),A703西安建筑科技大学,2,77935
31土木工程,B258大连大学,4,78045
41土木工程,A705西安石油大学,3,78256
25土木类,A110中北大学,9,78459
