专业代号及名称,院校代号及名称,投档计划数,投档最低位次
46地理空间信息工程(智慧城市),A590深圳大学,1,18131
69城市设计,A613西南交通大学,1,19640
02城市地下空间工程,A613西南交通大学,2,22760
42电气工程及其自动化(城市电网),A016北京建筑大学,1,26241
03城市地下空间工程,A710长安大学,2,26749
74城市地下空间工程,B413中国矿业大学(北京),3,26997
4C城市地下空间工程,B415中国地质大学(北京),2,27447
11城市地下空间工程,A112太原理工大学,4,31984
13城市地下空间工程,H359合肥工业大学(宣城校区),7,34216
05城市设计,A703西安建筑科技大学,3,34287
24土木工程(城市道路与桥梁工程),A016北京建筑大学,1,40232
28城市地下空间工程,A291南京工业大学,4,46103
49车辆工程(城市轨道交通车辆),A856上海工程技术大学,2,46464
08城市地下空间工程,A615西南石油大学,3,46779
51城市地下空间工程,A700西安理工大学,2,50144
72城市地下空间工程,A536长沙理工大学,2,52374
07城市地下空间工程,A703西安建筑科技大学,3,54684
53城市管理,A341浙江农林大学,1,55231
35城市管理,A703西安建筑科技大学,2,58549
11城市地下空间工程,A704西安科技大学,2,60327
47城市地下空间工程,A351温州大学,2,69152
24城市地下空间工程,A702西安工业大学,2,71792
0A城市管理,A426青岛科技大学,10,78023
54交通运输(师范类，城市轨道交通方向),A066天津职业技术师范大学,5,89722
1A城市地下空间工程,A361安徽理工大学,4,115647
0C城市地下空间工程,A555南华大学,8,116309
2R城市地下空间工程,A430山东建筑大学,44,127435
22城市管理,A191吉林建筑大学,2,137246
0C城市地下空间工程(济南走读),Y015山东建筑大学,10,148483
07城市地下空间工程,A148辽宁石油化工大学,2,152327
0D城市地下空间工程,B775防灾科技学院,3,163285
07城市地下空间工程,A191吉林建筑大学,4,173688
9L城市轨道交通设备与控制技术,A850南京工业职业技术大学,2,197743
JU城市管理,A758新疆农业大学,18,201224
U1城市轨道交通信号与控制技术,E030西安信息职业大学,1,230740
08城市轨道交通信号与控制技术,D738西安汽车职业大学,2,238942
09城市轨道交通智能运营,D738西安汽车职业大学,2,239683
09城市地下空间工程,B116成都工业学院,2,244852
0M城市地下空间工程,D500商丘工学院,20,246464
17城市地下空间工程,D605长春建筑学院,3,252241
