专业代号及名称,院校代号及名称,投档计划数,投档最低位次
S3软件工程(工业软件),H614电子科技大学(沙河校区),5,4863
52工业设计,A561华南理工大学,2,5837
35工业设计,A532湖南大学,5,12276
13工业设计,A287南京航空航天大学,3,13014
62工业设计,A183吉林大学,6,14583
29工业设计,A423中国海洋大学,6,14704
42工业设计,A295江南大学,2,14762
29工业设计,A251华东理工大学,2,14975
4G工业设计,A255东华大学,2,16628
9F工业设计(中外合作办学),A698西安交通大学,8,16946
31工业设计,A497武汉理工大学,3,17364
30工业设计(中外合作办学),A213哈尔滨工业大学,3,18330
86工业工程(中外合作办学),A610四川大学,4,18978
16工业设计,A425中国石油大学(华东),9,23110
0B工业工程类,A079华北电力大学(保定),1,23434
12工业工程,B413中国矿业大学(北京),2,23502
0U工业设计,A359合肥工业大学,2,24306
15工业设计,A058天津工业大学,2,26464
0H工业工程,A359合肥工业大学,3,27746
03工业设计,A112太原理工大学,3,28056
0P工业设计,A143沈阳航空航天大学,1,30346
1Z工业设计,A657贵州大学,2,30958
0E工业设计,A009北方工业大学,2,33063
15工业工程,A038首都经济贸易大学,3,33118
H9工业工程,A225东北林业大学,5,34400
35工业设计,A299江苏大学,2,35439
21工业设计,A225东北林业大学,4,36062
36工业设计,A356中国计量大学,1,37783
0J工业设计,A616成都理工大学,2,38801
16工业设计(中外合作办学)(中意设计双学位),A010北京化工大学,2,39001
13工业设计,A615西南石油大学,3,40231
75工业设计,A345浙江师范大学,2,40338
52工业设计,B845广东工业大学,4,41773
05工业工程,A291南京工业大学,6,42931
0W工业工程,A327南京财经大学,3,42938
04工业设计,B232北京信息科技大学,3,43940
68工业设计,A530湘潭大学,4,44146
1N工业设计,A490武汉工程大学,3,45102
35工业工程,A216燕山大学,2,46494
43工业设计,A703西安建筑科技大学,2,48075
0T工业工程,A755新疆大学,2,48210
02工业设计,A057天津科技大学,3,48753
08工业设计,A385华侨大学,3,51153
22工业设计,E655深圳技术大学,3,51336
5E工业设计,A341浙江农林大学,2,51843
1Y工业设计,B065青岛大学,23,53369
22工业设计,A655四川美术学院,2,53505
