专业代号及名称,院校代号及名称,投档计划数,投档最低位次
04工科试验班(建筑规划景观与设计类),A247同济大学,11,1808
0W建筑类,A286东南大学,7,2971
03建筑类,A056天津大学,8,3945
04建筑学,A561华南理工大学,2,5136
28建筑类,A384厦门大学,4,5463
DA建筑类,A611重庆大学,7,6674
52建筑学,A610四川大学,3,6741
27建筑学,A699西北工业大学,3,8503
44建筑类,A141大连理工大学,9,8962
A4建筑类(建筑城规类),A533中南大学,4,9808
25建筑学,A532湖南大学,6,10027
23建筑学(五年制),A422山东大学,18,10864
12建筑类(建筑与规划),A004北京交通大学,5,12377
30建筑学,A005北京工业大学,2,13251
42建筑环境与能源应用工程(低碳建筑实验班),A532湖南大学,3,13853
01建筑学,A703西安建筑科技大学,3,14851
33建筑学,A613西南交通大学,4,16165
48建筑学,A590深圳大学,2,16646
11建筑学(实验班),A016北京建筑大学,1,16754
30风景园林(景观建筑规划方向),A251华东理工大学,2,17253
1X建筑类,A145东北大学,7,17645
13建筑类,A497武汉理工大学,4,19056
32建筑类,A613西南交通大学,4,19558
73建筑学,B413中国矿业大学(北京),2,19899
0P建筑学,A359合肥工业大学,2,20518
4Y建筑环境与能源应用工程,A255东华大学,2,20889
9E建筑学(中外合作办学),A698西安交通大学,12,20995
20建筑学,A425中国石油大学(华东),12,23888
19建筑环境与能源应用工程,A425中国石油大学(华东),2,24357
1D建筑学,A080河北工业大学,2,24541
1R建筑学,A673云南大学,2,26171
26建筑类,A710长安大学,11,28195
01建筑学,A153沈阳建筑大学,1,28741
0P建筑类,A290中国矿业大学,12,29057
0R建筑学,A291南京工业大学,2,29586
66建筑类,A403南昌大学,3,29677
D2土木工程(全国人防工程建筑结构设计与施工工程师),P004陆军工程大学,1,30555
0M建筑学,A112太原理工大学,4,30559
0Y建筑环境与能源应用工程,A112太原理工大学,2,31550
D1建筑环境与能源应用工程(全国人防通风空调与给排水工程师),P004陆军工程大学,1,31703
27建筑学(五年),A385华侨大学,3,31740
10建筑学,A009北方工业大学,3,32076
D3工程管理(全国人防建筑施工组织管理与监理工程师),P004陆军工程大学,1,32235
4B建筑学,A589海南大学,4,32398
D4建筑学(全国人防工程建筑设计工程师),P004陆军工程大学,1,32809
41自动化(建筑智能控制与机器人),A016北京建筑大学,1,33172
44建筑电气与智能化(智能建筑),A016北京建筑大学,1,34264
04历史建筑保护工程,A703西安建筑科技大学,3,34517
30建筑学,A216燕山大学,2,35497
23土木工程(建筑工程),A016北京建筑大学,2,35546
2G建筑类,A657贵州大学,2,35837
01建筑学,A332苏州科技大学,2,36100
17建筑类,A338浙江理工大学,2,37307
58建筑类,A536长沙理工大学,2,38328
