专业代号及名称,院校代号及名称,投档计划数,投档最低位次
A3生物工程,A141大连理工大学,5,11791
60生物工程类,A183吉林大学,8,12855
1W生物工程类,A145东北大学,3,16042
18生物工程(生工、大数据双学士学位),A010北京化工大学,2,17706
13生物工程类,A251华东理工大学,23,18409
2H生物工程,A026北京中医药大学,2,19205
5U生物工程,A255东华大学,3,19255
56生物工程,A697西北大学,2,22620
35生物工程,A504华中农业大学,5,23195
27生物工程,A613西南交通大学,4,23750
03生物工程,A295江南大学,11,24201
99生物工程,A386福州大学,3,25456
0H生物工程,A080河北工业大学,3,25536
5B生物工程,A403南昌大学,2,27518
05生物工程,A626四川农业大学,3,32651
37生物工程类,A298南京林业大学,4,34669
Z5生物工程,A216燕山大学,2,36021
59生物工程,A564华南农业大学,2,36099
05生物工程类,A337浙江工业大学,5,36362
28生物工程,A356中国计量大学,1,37098
4A生物工程,A126内蒙古大学,2,37622
23生物工程,A512湖北大学,2,38667
14生物工程(中外合作办学)(中美双学位、生物过程工程),A010北京化工大学,5,40154
29生物工程,A057天津科技大学,4,41227
28生物工程(中外合作办学),A613西南交通大学,4,42221
56生物工程,A353浙江工商大学,4,44117
ZS生物工程,A163沈阳药科大学,1,45719
29生物工程,A332苏州科技大学,2,45999
12生物工程,A146辽宁科技大学,1,47202
4L生物工程,A755新疆大学,4,49362
0U生物工程,A011北京工商大学,5,49873
65生物工程类,A536长沙理工大学,4,50286
18生物工程,A289江苏科技大学,3,50631
15生物工程,A390集美大学,3,53162
51化学工程与工业生物工程,A188东北电力大学,3,55748
77生物工程(创新班),A674昆明理工大学,3,57082
1S生物工程,B417北京联合大学,2,58160
52生物工程,A743青海大学,4,58190
17生物工程,A541湖南中医药大学,3,61877
47生物工程,A534湖南科技大学,3,63108
C3生物工程,B075三峡大学,5,66345
0V生物工程,A424山东科技大学,50,67880
0H生物工程类,A573广东药科大学,3,70329
37生物工程,B258大连大学,4,74511
K3生物工程,A186长春理工大学,2,75057
11生物工程,A426青岛科技大学,56,76144
29生物工程,A537湖南农业大学,2,79617
19生物工程,A110中北大学,9,80979
0F生物工程,A446曲阜师范大学,29,83144
27生物工程,A152大连工业大学,4,84711
39生物工程,A463河南工业大学,3,85943
01生物工程,A020北京农学院,2,86274
1M生物工程(地方专项计划),A446曲阜师范大学,10,92875
45生物工程,A566广东海洋大学,3,99822
66生物工程类,A464河南科技大学,8,100662
W1生物工程(中外合作办学)(酿造与蒸馏),A057天津科技大学,4,101377
44生物工程,A373淮北师范大学,2,102206
1P生物工程,A731兰州理工大学,3,105221
1B生物工程,A431齐鲁工业大学,49,106603
01生物工程,A433山东理工大学,13,112468
63生物工程,A190长春工业大学,1,113421
0K生物工程(地方专项计划),A431齐鲁工业大学,10,114378
09生物工程,B066烟台大学,75,116336
0Y生物工程,A661遵义医科大学,2,119636
2G生物工程,A451鲁东大学,59,122640
2U生物工程,A434山东农业大学,28,124094
E6生物工程,A149沈阳化工大学,3,124253
1T生物工程(地方专项计划),A433山东理工大学,10,125685
21生物工程,A462郑州轻工业大学,2,130862
04生物工程,A430山东建筑大学,52,137763
30生物工程,A240哈尔滨商业大学,4,144499
36生物工程,A354嘉兴学院,4,146606
0B生物工程类,A193吉林农业大学,6,150603
15生物工程,A128内蒙古工业大学,2,151360
28生物工程,B059合肥学院,2,152077
0E生物工程(济南走读),Y015山东建筑大学,10,152658
08生物工程(地方专项计划),A447聊城大学,10,157871
2E生物工程,A447聊城大学,83,159255
31生物工程,A647长江师范学院,3,160507
L8生物工程,A742西北民族大学,2,161035
42生物工程,A192吉林化工学院,2,162282
0K生物工程,E432河北中医学院,3,165274
75生物工程,B049淮阴工学院,4,165558
74生物工程类,A347湖州师范学院,6,165901
H2生物工程,A223黑龙江八一农垦大学,2,169084
1A生物工程,A733甘肃农业大学,5,172924
24生物工程,B053徐州工程学院,10,173896
0V生物工程,A443济宁医学院,43,176229
49生物工程,A481南阳师范学院,6,176815
M2生物工程,A323淮阴师范学院,6,177368
28生物工程,A483商丘师范学院,4,177579
35生物工程,A548怀化学院,4,178591
1E生物工程,A455菏泽学院,19,179767
K5生物工程,A417宜春学院,2,182834
27生物工程,B653南阳理工学院,4,185089
14生物工程,A478周口师范学院,4,186505
K4生物工程(中外合作办学),A186长春理工大学,11,186749
0E生物工程,A454济宁学院,70,188508
23生物工程,B261吉林工商学院,2,189304
19生物工程,B360攀枝花学院,3,191456
26生物工程,B765河南城建学院,4,194275
01生物工程,C362武汉生物工程学院,2,195454
28生物工程,A740河西学院,2,196632
FA生物工程,A764伊犁师范大学,5,198850
0B生物工程,E001聊城大学东昌学院,18,208173
0F生物工程,D650贵阳信息科技学院,5,226505
11生物工程,B446黑龙江东方学院,5,228646
18生物工程,D359烟台理工学院,53,231102
17化学工程与工业生物工程,D995青岛工学院,58,239841
0Q生物工程,D998齐鲁理工学院,56,240289
