专业代号及名称,院校代号及名称,投档计划数,投档最低位次
12计算机科学与技术,E430中国科学院大学,3,278
01工科试验班类(计算机拔尖计划),A006北京航空航天大学,1,519
SC计算机科学与技术,A284南京大学,5,538
08计算机科学与技术(天河拔尖班),P002国防科技大学,4,1216
0P计算机类(计算机学院),A487华中科技大学,21,1284
R3计算机类(计算机学院),A486武汉大学,14,1430
QP计算机类(国家网络安全学院),A486武汉大学,13,1745
02计算机类(元班),A013北京邮电大学,8,2044
A3计算机科学与技术(智能金融与区块链金融双A联合学位实验班),A614电子科技大学,2,2097
01计算机类,P002国防科技大学,12,2312
B7计算机科学与技术(互联网交叉复合型精英人才双学位培养计划),A614电子科技大学,5,2626
14计算机类,A286东南大学,20,2641
05计算机类,A013北京邮电大学,14,2725
0W计算机类(广州),A558中山大学,12,2990
QQ计算机类,A614电子科技大学,12,2996
04计算机类(本研衔接班),A699西北工业大学,3,3343
83计算机科学与技术,A269华东师范大学,4,3433
43计算机类,A561华南理工大学,4,3551
0N计算机科学与技术,A272上海财经大学,3,3612
Q9计算机类,A699西北工业大学,6,3951
24计算机类,A384厦门大学,18,4326
21计算机类(深圳),A558中山大学,18,4327
32计算机类,A034中央财经大学,4,4480
50计算机类,A610四川大学,11,4643
32计算机类(网络安全),A699西北工业大学,7,4686
95计算机科学与技术(国家基础学科拔尖学生培养计划基地班),A141大连理工大学,3,5097
03计算机类,A004北京交通大学,8,5237
20计算机类,A019中国农业大学,3,5386
XQ计算机类(计算机与智能方向),A422山东大学,122,5389
54计算机科学与技术,A532湖南大学,3,5858
16计算机类,A613西南交通大学,4,6205
08电子信息类(电信、自动化与计算机新工科实验班),A141大连理工大学,24,6327
YU计算机类(软件数媒与大数据方向),A422山东大学,160,7050
09计算机类,A008北京科技大学,8,7062
1E计算机科学与技术,A287南京航空航天大学,4,7445
55计算机科学与技术(智能班),A532湖南大学,7,7510
9W计算机类,A183吉林大学,22,7978
12计算机类,H213哈尔滨工业大学(威海),48,8212
39计算机科学与技术(双学士学位项目),A251华东理工大学,4,8225
21计算机类,A251华东理工大学,3,8373
1Q计算机类,A145东北大学,7,8475
02计算机类,A701西安电子科技大学,65,8622
1X计算机科学与技术,A285苏州大学,2,8759
3J计算机类,A288南京理工大学,8,9451
9D计算机类,A423中国海洋大学,33,10329
T3计算机类(大禹强化班),A294河海大学,2,10522
65计算机科学与技术,A033中国传媒大学,2,10555
1T计算机类,A145东北大学,26,10941
G1计算机科学与技术,A294河海大学,5,11214
0J计算机类,A651西南财经大学,4,11307
38计算机类,A052中央民族大学,14,11357
0C计算机类(智能),A054华北电力大学(北京),3,11408
0B计算机类(计算机),A054华北电力大学(北京),8,11427
0D计算机类,H422山东大学威海分校,38,11606
2F计算机科学与技术,A559暨南大学,2,11774
44计算机类,A730兰州大学,7,11907
41计算机科学与技术,A590深圳大学,5,12300
91计算机科学与技术(中外合作办学),A610四川大学,4,12389
37计算机类,A511华中师范大学,2,12393
L2计算机科学与技术,A635西南大学,2,12569
4W计算机类,A255东华大学,7,12720
4H计算机科学与技术,B415中国地质大学(北京),3,12779
12计算机类(威海走读),Y011山东大学威海分校,3,12803
17计算机类,A497武汉理工大学,24,13262
0J计算机科学与技术,A359合肥工业大学,6,13312
0A计算机科学与技术,A293南京邮电大学,5,13980
45计算机科学与技术,A295江南大学,3,14127
51计算机科学与技术,B413中国矿业大学(北京),7,14149
06计算机类,A217哈尔滨工程大学,12,14424
1G计算机类,A010北京化工大学,17,14672
09计算机类,H145东北大学秦皇岛分校,12,14799
12计算机科学与技术,B414中国石油大学(北京),5,15024
53计算机类,A697西北大学,6,15034
1R计算机科学与技术,A319南京师范大学,3,15060
30计算机类,A300南京信息工程大学,2,15235
5E计算机类,A022北京林业大学,8,15397
6L计算机科学与技术,A425中国石油大学(华东),48,15643
14计算机类(计算机),A079华北电力大学(保定),10,16748
3F计算机类,A491中国地质大学(武汉),20,16757
0Z计算机科学与技术,H359合肥工业大学(宣城校区),5,16765
31计算机类,A459郑州大学,12,16901
19计算机类,A520中南财经政法大学,13,16993
12计算机类(智能),A079华北电力大学(保定),4,17008
6D计算机类(计算机与大数据),A403南昌大学,4,17180
01计算机类,A336杭州电子科技大学,10,17573
17计算机科学与技术(中外合作办学),H422山东大学威海分校,50,17791
45计算机科学与技术,A028首都师范大学,2,17945
24计算机科学与技术,A357安徽大学,11,18969
1R计算机科学与技术,A112太原理工大学,4,18974
6F计算机类(软件与网络空间),A403南昌大学,12,19143
40计算机科学与技术,A307南京农业大学,6,19353
0T计算机类,A357安徽大学,10,19625
11计算机类,A718陕西师范大学,10,19659
5J计算机类,A712西北农林科技大学,28,19747
0L计算机类,A290中国矿业大学,50,19869
V1计算机科学与技术,A542湖南师范大学,3,20173
74计算机科学与技术(师范类),A574华南师范大学,4,20535
39计算机科学与技术,B646宁波大学,1,20687
53计算机类,A710长安大学,17,21027
C6计算机类,A200东北师范大学,7,21213
Z8计算机类,A151大连海事大学,41,21402
47计算机科学与技术,A299江苏大学,2,21676
3F计算机类,A504华中农业大学,10,21825
26计算机科学与技术,A058天津工业大学,4,22555
12计算机科学与技术,A038首都经济贸易大学,3,22737
58计算机类(中外合作办学),A141大连理工大学,19,22890
A0计算机科学与技术,A060天津理工大学,2,22895
1R计算机科学与技术(创新实验班),A009北方工业大学,2,23368
25计算机科学与技术,A216燕山大学,2,23483
14计算机类,A337浙江工业大学,7,23485
0P计算机科学与技术,A009北方工业大学,2,23499
03计算机类(计算机与智能科学类),A617重庆邮电大学,12,23518
3W计算机科学与技术,A126内蒙古大学,2,23519
1H计算机科学与技术,A080河北工业大学,2,23737
11计算机类,A338浙江理工大学,2,24101
1L计算机类,A673云南大学,26,24586
0N计算机科学与技术,B287南京审计大学,2,24680
Z1计算机科学与技术(中外合作办学),H145东北大学秦皇岛分校,10,24915
XP计算机科学与技术,B664西安邮电大学,3,25057
2K计算机科学与技术,A589海南大学,7,25146
20计算机科学与技术,A173东北财经大学,2,25489
02计算机科学与技术,A143沈阳航空航天大学,1,25575
22计算机类(网络安全类),A617重庆邮电大学,5,25581
19计算机科学与技术,A108山西大学,3,25604
38计算机科学与技术(中外合作办学),A336杭州电子科技大学,3,25767
0N计算机类(勤信实验班),B232北京信息科技大学,3,25931
0Y计算机类,A616成都理工大学,4,26148
YG计算机科学与技术(卓越班),A536长沙理工大学,1,26332
4A计算机类,A593广西大学,10,26404
38计算机类,A032北京语言大学,7,26429
HH计算机类,A225东北林业大学,19,26561
49计算机类,A353浙江工商大学,4,26589
76计算机科学与技术,A530湘潭大学,4,26797
14计算机科学与技术,A298南京林业大学,2,26816
56计算机科学与技术(中外合作办学),A613西南交通大学,5,27201
02计算机类,A488武汉科技大学,6,27225
37计算机类,A224东北农业大学,9,27637
40计算机科学与技术,A536长沙理工大学,2,27979
65计算机科学与技术,A700西安理工大学,4,28083
1Z计算机类,A475河南大学,5,28095
33计算机科学与技术(师范类),A065天津师范大学,4,28358
X4计算机类(计算机与智能方向，非西藏生源定向西藏就业),Y001山东大学,2,28895
23计算机类,B845广东工业大学,4,29121
0P计算机类,A254上海海事大学,2,29192
22计算机科学与技术,D905南京工业大学浦江学院,2,29223
24计算机科学与技术(图灵班),A424山东科技大学,30,29530
45计算机类,A345浙江师范大学,5,29916
71计算机科学与技术(中外合作办学)(数据科学方向),A730兰州大学,26,29948
21计算机类,A264上海海洋大学,11,30031
M9计算机科学与技术(厦门大学马来西亚分校招生专业),A384厦门大学,4,30150
Z1计算机科学与技术(中外合作办学),A635西南大学,9,30540
08计算机科学与技术(中外合作办学),A423中国海洋大学,40,30550
17计算机类(大数据),B482浙江财经大学,3,30793
35计算机类,A512湖北大学,4,30853
8N计算机科学与技术,A755新疆大学,6,31156
3F计算机类,A749宁夏大学,8,31233
10计算机科学与技术,A057天津科技大学,5,31248
03计算机科学与技术(中外合作办学),H004北京交通大学(威海校区),12,31407
0T计算机科学与技术,A424山东科技大学,59,31439
J3计算机科学与技术,B845广东工业大学,3,31795
17计算机科学与技术,A385华侨大学,4,32324
26计算机类,A615西南石油大学,14,32607
29计算机科学与技术,A704西安科技大学,2,33003
79计算机科学与技术,A188东北电力大学,8,33008
27计算机科学与技术(中外合作办学)(大数据方向),A491中国地质大学(武汉),6,33550
G3计算机科学与技术(中外合作办学),A200东北师范大学,6,33559
13计算机科学与技术,A214哈尔滨理工大学,5,33705
27计算机科学与技术,A534湖南科技大学,2,33752
11计算机类,B482浙江财经大学,11,33939
E1计算机科学与技术,A186长春理工大学,4,34091
0H计算机科学与技术,A621成都信息工程大学,3,34234
11计算机类,A490武汉工程大学,5,34608
24计算机科学与技术(财经大数据管理),A421江西财经大学,3,34886
1L计算机类,A315南京中医药大学,8,34934
1N计算机科学与技术,A346杭州师范大学,10,35122
30计算机科学与技术,B065青岛大学,112,35231
20计算机类,A618重庆交通大学,3,35470
20计算机科学与技术,A703西安建筑科技大学,3,35951
1P计算机科学与技术(金融信息服务方向),A346杭州师范大学,2,36132
1Q工科试验班(智能与计算机),A059中国民航大学,9,36328
27计算机科学与技术,A150大连交通大学,2,36555
5H计算机科学与技术,A743青海大学,9,36807
45计算机类,A705西安石油大学,2,37944
0M计算机科学与技术,A406南昌航空大学,2,37971
10计算机科学与技术(中外合作办学)(2加2),F301宁波诺丁汉大学,5,38018
55计算机科学与技术,A304南通大学,2,38626
46计算机类,B846广东外语外贸大学,7,39755
10计算机类,A595桂林电子科技大学,4,40128
24计算机科学与技术,A674昆明理工大学,2,40226
A4计算机类,H414中国石油大学(北京)克拉玛依校区,23,40897
5E计算机类,B660重庆理工大学,4,40921
1S计算机类,A445山东师范大学,125,40960
0K计算机科学与技术,B047上海立信会计金融学院,4,41879
2J计算机科学与技术(中外合作办学)(与澳大利亚维多利亚大学合作办学),A475河南大学,6,42000
22计算机科学与技术,A144沈阳理工大学,1,42340
0J计算机科学与技术,A153沈阳建筑大学,1,42495
5H计算机科学与技术,A341浙江农林大学,3,42611
1P计算机类(地方专项计划),A445山东师范大学,8,42728
50计算机科学与技术,A212黑龙江大学,3,43070
22计算机科学与技术,A541湖南中医药大学,5,43368
17计算机科学与技术,A702西安工业大学,3,43381
34计算机科学与技术,A759石河子大学,2,43388
28计算机科学与技术,A344浙江中医药大学,2,43483
27计算机类,A708陕西科技大学,3,45001
H1计算机科学与技术(中外合作办学),A225东北林业大学,13,45090
0J计算机类,A404华东交通大学,5,45132
0D计算机科学与技术,B417北京联合大学,2,45836
28计算机类,A619西南科技大学,5,45969
11计算机类,A636四川师范大学,2,46026
19计算机类,B799重庆工商大学,3,46098
2F计算机科学与技术,A426青岛科技大学,62,46233
22计算机科学与技术,B276南京工程学院,2,46971
D5计算机科学与技术,A142沈阳工业大学,6,47453
12计算机科学与技术(实验班),A037北京物资学院,1,47807
Y3计算机科学与技术,A566广东海洋大学,2,48009
8K计算机科学与技术(中外合作办学)(中法合作),A270上海师范大学,6,48669
09计算机科学与技术(中外合作办学),F301宁波诺丁汉大学,9,49047
0Z计算机科学与技术,A361安徽理工大学,2,50343
31计算机科学与技术,A370安徽师范大学,2,50991
15计算机科学与技术,D257湖北文理学院理工学院,1,203833
0D计算机类,D386山东石油化工学院,175,203979
22计算机科学与技术(嵌入式培养),D989南京邮电大学通达学院,3,203998
01计算机科学与技术,C309武昌首义学院,1,204906
0G计算机科学与技术(校企合作，与浪潮集团有限公司合作),C331山东女子学院,35,206019
0L计算机科学与技术,A236绥化学院,4,206124
65计算机科学与技术,D744黑河学院,4,206515
12计算机科学与技术,E038天津仁爱学院,2,207393
32计算机科学与技术,D411河北师范大学汇华学院,2,208054
39计算机科学与技术(师范类),A763喀什大学,15,208489
07计算机科学与技术(华为云特色班),C309武昌首义学院,1,209026
Z1计算机科学与技术,A764伊犁师范大学,15,209440
0E计算机科学与技术,D897天津理工大学中环信息学院,1,209672
0B计算机科学与技术(校企合作，与浪潮集团有限公司合作),A448德州学院,70,210316
1H计算机科学与技术(校企合作，与淄博开创盛世网络有限公司合作),A443济宁医学院,40,211388
22计算机科学与技术,D986江苏大学京江学院,2,212662
0N计算机科学与技术(校企合作，与北京华晟经世信息技术公司合作),A453泰山学院,60,213494
0J计算机科学与技术,D471集美大学诚毅学院,2,213626
M0计算机科学与技术,D561新疆科技学院,6,213674
11计算机科学与技术,D593石家庄铁道大学四方学院,2,215098
0B计算机科学与技术,D578河北工程大学科信学院,2,215134
0K计算机科学与技术(软件技术),D898北京科技大学天津学院,2,215258
K1计算机科学与技术,D558新疆理工学院,10,215467
26计算机类,D590重庆财经学院,3,215997
CR计算机科学与技术,A997昌吉学院,10,216421
32计算机科学与技术,D262文华学院,2,217245
16计算机科学与技术,C362武汉生物工程学院,2,218199
0A计算机科学与技术(汽车智能化与信息化),D248湖北汽车工业学院科技学院,1,218265
22计算机科学与技术,D290浙江工商大学杭州商学院,4,218652
G0计算机科学与技术,D628新疆政法学院,20,219039
05计算机科学与技术(校企合作，与山东贝沃智能科技集团合作),A904枣庄学院,80,219115
10计算机科学与技术,D433南昌航空大学科技学院,3,219942
0Q计算机科学与技术(校企合作，与达内时代科技集团公司合作),A455菏泽学院,50,220958
0P计算机科学与技术(校企合作，与山东贝沃智能科技集团合作),A904枣庄学院,80,221314
0M计算机科学与技术(校企合作，与山东骏文信息科技公司合作),A455菏泽学院,50,221638
1A计算机科学与技术(校企合作，与慧与软件人才产业基地合作),A455菏泽学院,100,222381
1J计算机科学与技术(校企合作，与北京华晟经世信息技术公司合作),A904枣庄学院,95,222397
0A计算机科学与技术(师范类),D439赣南师范大学科技学院,5,222787
07计算机科学与技术(中外合作办学)(双证),B510山东交通学院,86,223839
01计算机科学与技术,D631大连东软信息学院,5,224816
33计算机科学与技术,C619广州南方学院,1,224957
60计算机科学与技术(嵌入式培养),D986江苏大学京江学院,2,225207
21计算机科学与技术,D668成都理工大学工程技术学院,3,225253
22计算机科学与技术,D440南昌应用技术师范学院,1,225398
0L计算机科学与技术,D441江西财经大学现代经济管理学院,2,225409
0G计算机科学与技术,D992常州大学怀德学院,3,225664
04计算机科学与技术(国际班),D675北京理工大学珠海学院,4,225745
0C计算机科学与技术,C658湖南理工学院南湖学院,3,225833
16计算机科学与技术(中软国际华为云学院大数据技术与应用特色班),E038天津仁爱学院,1,226065
09计算机科学与技术,D507郑州工商学院,4,226624
21计算机科学与技术,E202沧州交通学院,6,226855
04计算机科学与技术,D383山东财经大学燕山学院,80,228150
0X计算机科学与技术,C332烟台南山学院,32,228425
19计算机科学与技术,D677西安交通大学城市学院,8,229871
06计算机类,D594河北地质大学华信学院,2,230053
02计算机科学与技术,D283浙江农林大学暨阳学院,2,230278
07计算机科学与技术,D997青岛农业大学海都学院,75,230413
04计算机科学与技术(校企合作，与华为ICT学院合作),D997青岛农业大学海都学院,25,230564
14计算机科学与技术(嵌入式培养),D571无锡太湖学院,5,230581
01计算机类,C636成都东软学院,10,230808
0G计算机科学与技术,C843潍坊科技学院,82,230837
15计算机科学与技术(中外合作办学),A669凯里学院,10,231166
42计算机类,C784河北传媒学院,5,232493
09计算机类,D816四川工业科技学院,5,233001
07计算机科学与技术,D605长春建筑学院,2,233406
08计算机类,B798武汉东湖学院,6,233998
01计算机科学与技术,D613安徽信息工程学院,5,234667
0G计算机类,C544宁夏理工学院,4,234804
0E计算机科学与技术,D215辽宁师范大学海华学院,1,235070
0E计算机科学与技术,D324山东协和学院,27,235384
31计算机科学与技术,D681陕西科技大学镐京学院,2,236085
0J计算机科学与技术,D614马鞍山学院,5,236138
0V计算机科学与技术,E040郑州商学院,8,236393
01计算机科学与技术,D626昆明理工大学津桥学院,4,236544
02计算机科学与技术,D359烟台理工学院,86,237360
16计算机科学与技术,E203皖江工学院,5,237845
1D计算机科学与技术,E000潍坊理工学院,50,238053
0X计算机科学与技术,D378青岛城市学院,64,238102
16计算机科学与技术,D245荆州学院,3,238340
0E计算机科学与技术,D995青岛工学院,19,238877
U6计算机应用工程,E030西安信息职业大学,1,239800
0P计算机科学与技术,D998齐鲁理工学院,54,240222
0P计算机科学与技术,D830广西外国语学院,1,241431
30计算机科学与技术,D241武昌工学院,5,242119
69计算机科学与技术,D641桂林学院,4,242379
