专业代号及名称,院校代号及名称,投档计划数,投档最低位次
09工科试验班(计算机与电子通信),A213哈尔滨工业大学,28,2848
QK电子信息类(信息与通信),A614电子科技大学,16,3261
0K通信工程(大类招生),A013北京邮电大学,22,3719
97通信工程(双学位),A269华东师范大学,2,4106
81通信工程,A269华东师范大学,2,4581
B5计算机类(计算机与通信类),A533中南大学,23,5460
02电子信息类(通信与控制),A004北京交通大学,17,6875
XN电子信息类(通信电子与光电方向),A422山东大学,120,7423
5F通信工程,A532湖南大学,4,8464
10通信工程,A008北京科技大学,6,10212
G2电子信息类(中外合作办学)(通信、微电子),H614电子科技大学(沙河校区),9,10954
73通信工程,A183吉林大学,16,11144
41电子信息类(通信本硕实验班),A497武汉理工大学,4,11878
56通信工程,A033中国传媒大学,3,12182
12通信工程,A613西南交通大学,6,13830
Y1通信工程(常州校区),A294河海大学,4,14637
12通信工程,A590深圳大学,1,15138
01通信工程,A293南京邮电大学,9,16093
14轨道交通信号与控制,A613西南交通大学,4,16098
0L通信工程,A359合肥工业大学,4,18267
34通信工程,A425中国石油大学(华东),38,20452
06电子信息类(通信学院),A336杭州电子科技大学,6,21163
0C通信工程,D654南京理工大学紫金学院,1,21780
0D通信工程,A112太原理工大学,4,23143
11通信工程(中外合作办学),A701西安电子科技大学,15,23608
V4通信工程,A542湖南师范大学,4,23667
01电子信息类(通信与信息类),A617重庆邮电大学,12,26230
22通信工程,A058天津工业大学,6,26746
0K通信工程,A009北方工业大学,3,29011
Z2通信工程(中外合作办学),H145东北大学秦皇岛分校,10,30627
07通信工程,A143沈阳航空航天大学,2,30913
XC通信工程,B664西安邮电大学,6,31862
73通信工程,A530湘潭大学,5,32317
T2通信工程,A060天津理工大学,8,33259
39通信工程,A536长沙理工大学,2,33425
22通信工程,A704西安科技大学,2,33542
29通信工程,A615西南石油大学,4,34212
50轨道交通信号与控制,A856上海工程技术大学,1,34220
02通信工程(中外合作办学),H004北京交通大学(威海校区),8,34347
87通信工程,A075河北大学,2,34428
24轨道交通信号与控制,A150大连交通大学,2,35937
6Q通信工程,A755新疆大学,3,38034
06通信工程,A057天津科技大学,4,38426
19通信工程,A332苏州科技大学,2,38491
41通信工程,A445山东师范大学,12,40589
0E通信工程(融合通信与智慧互联方向),A490武汉工程大学,3,40673
21通信工程,A703西安建筑科技大学,2,40972
25通信工程,A150大连交通大学,2,40993
04通信工程,A621成都信息工程大学,3,42440
18通信工程,A144沈阳理工大学,1,42668
38轨道交通信号与控制,A536长沙理工大学,2,43171
21通信工程,A674昆明理工大学,3,43225
14通信工程,A188东北电力大学,5,43382
0F通信工程,A406南昌航空大学,2,45243
21通信工程,B065青岛大学,77,45712
23通信工程(中外合作办学),A058天津工业大学,12,45930
2Q通信工程(地方专项计划),B065青岛大学,5,46907
21通信工程(地方专项计划),A445山东师范大学,8,46974
D3通信工程,A186长春理工大学,2,47836
17通信工程,A214哈尔滨理工大学,2,48266
0G通信工程,A404华东交通大学,5,49441
1G通信工程,A424山东科技大学,58,50215
34通信工程,A918黄淮学院,10,204242
02通信工程,A124忻州师范学院,5,205456
46通信工程,A757塔里木大学,10,205981
66通信工程,D534山西工学院,6,206232
42通信工程,D434赣南科技学院,2,207128
0K轨道交通信号与控制,B807兰州工业学院,3,208603
63通信工程,D744黑河学院,4,210394
68轨道交通信号与控制,D534山西工学院,3,211276
41通信工程(中外合作办学),B629北华航天工业学院,5,212182
4P通信工程,A763喀什大学,10,212286
0Q通信工程,B838贺州学院,4,212985
28轨道交通信号与控制,E092滇西科技师范学院,2,213958
10轨道交通信号与控制,D593石家庄铁道大学四方学院,8,215582
12轨道交通信号与控制,A994新疆工程学院,4,218145
0K通信工程(校企合作，与北京华晟经世信息技术公司合作),A453泰山学院,60,218343
33通信工程,D986江苏大学京江学院,2,219954
44通信工程,D684珠海科技学院,3,220634
20通信工程,D989南京邮电大学通达学院,4,221324
J1通信工程,D558新疆理工学院,20,222526
0B通信工程,D897天津理工大学中环信息学院,1,222616
09通信工程,D578河北工程大学科信学院,2,223263
27通信工程,A994新疆工程学院,10,223459
E1通信工程,D903成都锦城学院,4,224353
34通信工程(智能技术与5G应用),D262文华学院,2,225498
31光电信息科学与工程(5G通信智能光网络技术),D262文华学院,2,227920
53通信工程(中外合作办学),A547邵阳学院,3,227973
U1城市轨道交通信号与控制技术,E030西安信息职业大学,1,230740
13通信工程,D571无锡太湖学院,5,232497
03通信工程,D605长春建筑学院,2,233083
07通信工程,E038天津仁爱学院,2,233596
13通信工程(移动通信方向),D239武汉工程大学邮电与信息工程学院,6,233732
31轨道交通信号与控制,E202沧州交通学院,7,233734
17通信工程,C843潍坊科技学院,70,234615
08通信工程,C709厦门华厦学院,1,234996
UH现代通信工程,E030西安信息职业大学,1,236120
06通信工程,D682西安工商学院,3,238723
08城市轨道交通信号与控制技术,D738西安汽车职业大学,2,238942
21轨道交通信号与控制,D431南昌交通学院,4,239218
1L通信工程,D326云南大学滇池学院,2,240776
14通信工程,D894西安明德理工学院,3,241285
