专业代号及名称,院校代号及名称,投档计划数,投档最低位次
30广告学,A033中国传媒大学,3,7085
31广告学(计算广告双学士学位复合型人才培养项目),A033中国传媒大学,3,7848
04广告学,A559暨南大学,2,12185
68广告学(中外合作办学),A033中国传媒大学,4,22028
4X广告学,A504华中农业大学,7,25435
05广告学,A065天津师范大学,1,27327
28广告学,A626四川农业大学,3,31130
34广告学,A530湘潭大学,3,31947
45广告学,A225东北林业大学,5,33817
08广告学,A009北方工业大学,2,34602
33广告学,A068天津外国语大学,2,35458
39广告学,B647浙江传媒学院,3,41898
0M广告学,C658湖南理工学院南湖学院,3,208688
29广告学,D659天津传媒学院,5,214710
0N广告学,E002烟台科技学院,40,219763
05广告学,D686武汉传媒学院,3,224037
37广告学,D605长春建筑学院,4,229868
C5广告学,D418江西服装学院,2,232473
10广告学,D600长春光华学院,3,233659
0T广告学,A868青岛滨海学院,23,236696
