专业代号及名称,院校代号及名称,投档计划数,投档最低位次
5C应用生物科学(农学),A335浙江大学,25,2891
03农学,A019中国农业大学,4,8118
31农村区域发展,A019中国农业大学,2,9827
4C农业工程类,A019中国农业大学,3,10251
9S农业机械化及其自动化,A183吉林大学,1,17250
52农林经济管理(卓越班),A712西北农林科技大学,4,19565
3R园林(国家卓越农林人才计划),A504华中农业大学,1,20594
53农林经济管理,A635西南大学,1,20657
Z7农业水利工程,A294河海大学,6,21557
15农林经济管理,A307南京农业大学,7,21908
08智慧农业,A712西北农林科技大学,2,22612
24农林经济管理(本硕博班),A224东北农业大学,3,22704
01农学,A307南京农业大学,7,23813
3U园艺(国家卓越农林人才计划),A504华中农业大学,3,24267
02农学(本硕博班),A224东北农业大学,3,24568
35农林经济管理(中外合作办学),A019中国农业大学,5,25350
56农学(农学类),A712西北农林科技大学,11,26028
53农业机械化及其自动化,A712西北农林科技大学,4,26530
14设施农业科学与工程,A712西北农林科技大学,2,26618
35农业智能装备工程,A712西北农林科技大学,3,27919
65农林经济管理,A626四川农业大学,3,28278
37农业工程类,A307南京农业大学,2,28649
4J智慧农业,A504华中农业大学,20,29082
44设施农业科学与工程,A504华中农业大学,1,29556
49动物科学(国家卓越农林人才计划),A504华中农业大学,8,30157
03智慧农业,A307南京农业大学,3,30442
20农业机械化及其自动化(本硕博班),A224东北农业大学,3,30604
3L农业工程类,A504华中农业大学,4,30817
69农业资源与环境,A300南京信息工程大学,3,32384
2A农业机械化及其自动化,A657贵州大学,2,32874
37设施农业科学与工程,A019中国农业大学,74,33516
2C农林经济管理,A589海南大学,4,33690
30农学,A626四川农业大学,3,34873
X3智慧农业,A626四川农业大学,3,35255
1M农学,A589海南大学,2,36492
51农业资源与环境,A626四川农业大学,3,37705
09农业机械化及其自动化,A626四川农业大学,4,38518
03智慧农业,A224东北农业大学,4,38900
81农学,A564华南农业大学,2,39763
57农业电气化,A299江苏大学,2,40480
85农业资源与环境(低碳农业),A564华南农业大学,2,41695
1W农学,B117扬州大学,3,42294
58农业机械化及其自动化,A299江苏大学,4,42382
1H设施农业科学与工程,A589海南大学,9,42991
0K农林经济管理,A749宁夏大学,2,44792
41动物科学(卓越农林人才计划),A749宁夏大学,4,46902
44农学,A341浙江农林大学,1,48387
1V农业资源与环境,A589海南大学,2,48404
43农业资源与环境,A749宁夏大学,3,48960
15农学,A537湖南农业大学,3,50438
59农业智能装备工程,A299江苏大学,4,51183
48智慧农业,A341浙江农林大学,2,54116
4J农业资源与环境,A341浙江农林大学,2,58703
5W设施农业科学与工程,A341浙江农林大学,1,60090
1M农林经济管理,A759石河子大学,7,61529
0A农业机械化及其自动化,A759石河子大学,5,64564
68农业资源与环境,A212黑龙江大学,2,68235
0R农业资源与环境,A759石河子大学,6,71766
38农业水利工程,A759石河子大学,4,76158
12农学,A389福建农林大学,4,77384
48动物医学类(含教育部卓越农林人才教育培养计划),A489长江大学,11,82953
55园林(教育部卓越农林培养计划),A489长江大学,2,84812
08农林经济管理,A125山西财经大学,4,85142
61农业水利工程,A212黑龙江大学,5,86548
28农村区域发展(规划),A020北京农学院,2,87173
20智慧农业,A389福建农林大学,2,88091
08农业机械化及其自动化,A537湖南农业大学,2,96028
1A农学(新农科实验班),A434山东农业大学,126,101501
42植物生产类(含教育部卓越农林、省支柱产业人才培养计划),A489长江大学,11,101849
45园艺(教育部卓越农林、省荆楚卓越人才计划),A489长江大学,6,103476
43农业资源与环境(生态农业),A489长江大学,4,104179
0S农林经济管理,A157沈阳农业大学,2,104755
41农业资源与环境,A389福建农林大学,3,105223
0X农业机械化及其自动化,A364安徽农业大学,2,105907
38农林经济管理,A434山东农业大学,69,107311
03农学(卓越计划实验班),A157沈阳农业大学,3,117562
02农学,A157沈阳农业大学,4,118071
17农林经济管理,A741兰州财经大学,2,121476
48农林经济管理(卓越人才实验班),A113山西农业大学,2,122866
QU农业资源与环境(中外合作办学),A389福建农林大学,2,123029
25设施农业科学与工程,A020北京农学院,2,123080
0C农业资源与环境,A434山东农业大学,40,123477
56农业工程类,A464河南科技大学,8,123971
1S农业机械化及其自动化,A434山东农业大学,10,124360
46农学,A566广东海洋大学,3,125022
2W林学(新农科实验班),A434山东农业大学,60,127972
D4农业机械化及其自动化,A410江西农业大学,2,129644
01农学(卓越人才实验班),A113山西农业大学,3,130034
49农林经济管理,A113山西农业大学,2,131692
