专业代号及名称,院校代号及名称,投档计划数,投档最低位次
93地理信息科学,A269华东师范大学,1,3702
35人文地理与城乡规划,A269华东师范大学,2,4931
32地理科学类,A019中国农业大学,4,11423
19地理科学类,A319南京师范大学,5,13020
G2地理科学类,A635西南大学,3,15970
C9地理科学类,A200东北师范大学,3,16727
12地理信息科学,B415中国地质大学(北京),3,17924
46地理空间信息工程(智慧城市),A590深圳大学,1,18131
14自然地理与资源环境,A022北京林业大学,3,19031
A4地理信息科学,A294河海大学,4,19070
14地理信息科学,A497武汉理工大学,6,19936
5E地理信息科学,A712西北农林科技大学,3,20136
6E地理信息科学,A425中国石油大学(华东),8,20986
A3自然地理与资源环境,A294河海大学,2,21433
R4地理信息科学,A542湖南师范大学,4,21646
44地理科学类,A697西北大学,4,21971
1H地理信息科学,A359合肥工业大学,2,22205
86人文地理与城乡规划,A574华南师范大学,3,22582
4P地理信息科学,A504华中农业大学,3,23252
18地理科学类,A491中国地质大学(武汉),9,23817
63地理信息科学,A300南京信息工程大学,2,23848
R5人文地理与城乡规划,A542湖南师范大学,4,24311
21人文地理与城乡规划,A307南京农业大学,5,24987
64人文地理与城乡规划,A300南京信息工程大学,2,25141
18地理信息科学,A673云南大学,3,26084
09地理科学类,A300南京信息工程大学,3,26304
17地理科学,A673云南大学,5,27511
65自然地理与资源环境,A300南京信息工程大学,2,27579
12地理空间信息工程,A300南京信息工程大学,2,28395
1F地理科学类,A475河南大学,5,29791
04地理信息科学,A225东北林业大学,5,32196
04地理信息科学,A616成都理工大学,6,34178
3Y人文地理与城乡规划,A749宁夏大学,2,36401
3X地理科学类,A749宁夏大学,4,37253
0U地理科学(师范类),A320江苏师范大学,5,37840
07地理信息科学,A615西南石油大学,3,37950
30地理科学类,A512湖北大学,3,38352
43地理科学类,A184延边大学,8,40082
0U人文地理与城乡规划,A616成都理工大学,5,40151
2S地理科学类,A445山东师范大学,140,42155
95地理信息科学(中外合作办学),A300南京信息工程大学,2,43319
0T地理科学类,A636四川师范大学,4,43540
46地理科学(师范类),A370安徽师范大学,2,43764
29自然地理与资源环境,A108山西大学,3,44664
36地理科学类(地方专项计划),A445山东师范大学,15,44958
9M地理信息科学,A755新疆大学,5,45270
0V地理信息科学,A320江苏师范大学,2,45397
1P地理科学类,A094河北师范大学,4,45408
6M自然地理与资源环境,A755新疆大学,2,45492
53地理科学类,A637重庆师范大学,2,46551
59人文地理与城乡规划(中外合作办学)(中法合作),B646宁波大学,6,47311
0U地理信息科学,A636四川师范大学,2,47623
4G地理信息科学,A341浙江农林大学,3,48192
03地理信息科学,A736西北师范大学,2,48577
1H地理科学(师范类),A759石河子大学,3,48943
4S人文地理与城乡规划(中外合作办学),A589海南大学,7,51131
0J地理科学类,A414江西师范大学,17,52299
0R地理科学,A427济南大学,40,52931
1Z地理科学(师范类),A118山西师范大学,2,53534
47地理信息科学,A370安徽师范大学,2,54524
36地理信息科学,A704西安科技大学,3,54917
74地理信息科学,A536长沙理工大学,2,55243
37自然地理与资源环境,A704西安科技大学,4,55744
2D地理科学类,A681云南师范大学,7,59680
09地理科学(师范类),A694西藏大学,2,62805
56地理信息科学(含省支柱产业人才计划),A489长江大学,6,63385
8R地理信息科学,A231哈尔滨师范大学,3,63918
07地理科学(师范类),A446曲阜师范大学,177,64530
2V地理科学(师范类),Y017青岛大学,40,64780
0P地理信息科学,A424山东科技大学,73,64820
44人文地理与城乡规划,A125山西财经大学,2,66286
50地理科学类,A513湖北师范大学,4,67074
36地理信息科学,A792天津城建大学,1,67077
36地理信息科学,A538中南林业科技大学,4,67886
06地理信息科学,B641江苏海洋大学,1,68508
53地理信息科学,A125山西财经大学,2,69137
12人文地理与城乡规划,A118山西师范大学,2,70816
43自然地理与资源环境,A125山西财经大学,2,71080
01地理科学(师范类),A205长春师范大学,4,71094
13地理信息科学,A118山西师范大学,2,71176
1L地理科学(师范兼非师范类，济南走读),Y016济南大学,10,71822
18地理科学类,B658海南师范大学,3,73816
61地理信息科学,A732兰州交通大学,2,75059
68地理科学(师范类),A602广西师范大学,3,75985
B3地理信息科学,A203吉林师范大学,1,77239
25地理信息科学,A460河南理工大学,2,78907
2R地理科学(师范类，非西藏生源定向西藏就业),Y006山东师范大学,2,80407
11自然地理与资源环境,A118山西师范大学,2,84359
1S地理科学(师范类),A451鲁东大学,118,85319
35地理科学(师范类),A546衡阳师范学院,1,88766
06地理科学,B775防灾科技学院,2,89708
B2地理信息科学,A407江西理工大学,2,92103
04自然地理与资源环境(旅游地学方向),A405东华理工大学,5,93198
0K地理科学(师范类),A447聊城大学,78,95436
0F地理信息科学,A076河北工程大学,3,97640
26自然地理与资源环境,A460河南理工大学,2,98083
4K地理信息科学,A077河北地质大学,4,98142
37地理信息科学,A434山东农业大学,60,99014
3A地理科学(师范类),A452临沂大学,64,99160
02地理信息科学,A205长春师范大学,3,100316
60地理科学(师范类),A746青海师范大学,3,100701
1K地理信息科学,A451鲁东大学,62,101756
25地理信息科学,A377滁州学院,1,103247
0M地理科学(师范类),B607北部湾大学,2,103511
25地理科学(师范类),A232齐齐哈尔大学,2,103528
51地理信息科学,A418赣南师范大学,1,103786
27人文地理与城乡规划,A460河南理工大学,2,104342
1G地理空间信息工程,A361安徽理工大学,8,108006
0J地理信息科学,A430山东建筑大学,47,112224
0V地理科学(师范类),A119太原师范学院,4,112240
29人文地理与城乡规划,A741兰州财经大学,2,113530
0P地理空间信息工程,A433山东理工大学,67,113794
22地理信息科学,A596桂林理工大学,3,114599
05地理科学(师范类),E276齐鲁师范学院,40,117957
4E地理信息科学,A741兰州财经大学,2,118058
3W地理信息科学(地方专项计划),A447聊城大学,5,118544
28地理信息科学,A113山西农业大学,3,120236
A9地理科学(师范类),A762新疆师范大学,4,120796
54地理科学类,A603南宁师范大学,4,123944
11地理科学(师范类),A399泉州师范学院,6,124928
1K人文地理与城乡规划,A395闽江学院,1,126250
56地理科学(师范类),A482洛阳师范学院,6,126461
49人文地理与城乡规划,A418赣南师范大学,2,128789
46地理科学(师范类),A483商丘师范学院,3,130863
F3地理信息科学,A410江西农业大学,4,130920
3D地理信息科学,A447聊城大学,96,131109
0S人文地理与城乡规划,A452临沂大学,16,131130
0N地理信息科学,B607北部湾大学,2,133099
H2人文地理与城乡规划(中外合作办学),A484河南财经政法大学,4,133235
0W自然地理与资源环境,A119太原师范学院,2,135371
39地理科学(师范类),G127内蒙古科技大学包头师范学院,1,138149
01地理科学(师范类),A124忻州师范学院,2,139041
13人文地理与城乡规划,A124忻州师范学院,1,139324
12地理科学(师范类),A453泰山学院,77,139550
26地理科学(师范类),A721宝鸡文理学院,4,140194
42地理信息科学,A191吉林建筑大学,2,144042
1J地理信息科学,A879安徽科技学院,4,145697
0P地理科学(师范类),A646阿坝师范学院,1,146047
22人文地理与城乡规划,A399泉州师范学院,2,146069
14地理科学(师范类),A099唐山师范学院,7,146727
40地理空间信息工程,A191吉林建筑大学,2,147991
B2地理信息科学,A762新疆师范大学,4,148380
1C地理科学(师范类),A904枣庄学院,45,151077
K1地理科学(师范类),A480许昌学院,5,151263
0Y地理科学(师范类),A448德州学院,110,152413
11地理科学(师范类),A379宿州学院,4,155283
09地理信息科学,E527山西工程技术学院,1,155894
1L地理科学类,A670黔南民族师范学院,1,159767
1G地理信息科学,A234哈尔滨学院,2,159892
92人文地理与城乡规划,A096保定学院,1,161405
1C地理科学(师范类),A739天水师范学院,4,163183
23人文地理与城乡规划,A448德州学院,13,168022
0X人文地理与城乡规划,A477信阳师范学院,5,169815
24地理信息科学,B527湖南城市学院,2,171395
L1人文地理与城乡规划,A417宜春学院,1,171548
0X地理科学(师范类),B391楚雄师范学院,7,173985
30地理科学(师范类),D411河北师范大学汇华学院,2,174716
Q1地理科学(师范类),A764伊犁师范大学,5,175480
F5地理信息科学,A206白城师范学院,3,176874
49地理科学(师范类),A819呼伦贝尔学院,4,180445
10地理空间信息工程,E623滇西应用技术大学,2,182291
2C地理科学(师范类),A763喀什大学,12,182348
1S人文地理与城乡规划,A455菏泽学院,40,183134
2N人文地理与城乡规划,A758新疆农业大学,15,187508
0Y自然地理与资源环境,B391楚雄师范学院,2,194502
R1自然地理与资源环境,A764伊犁师范大学,9,195147
24人文地理与城乡规划,A666兴义民族师范学院,1,196889
1K地理信息科学(校企合作，与北京中科特瑞科技有限公司合作),A904枣庄学院,35,197409
0H人文地理与城乡规划,A738陇东学院,2,198806
12地理空间信息工程,E203皖江工学院,3,244951
