专业代号及名称,院校代号及名称,投档计划数,投档最低位次
06金融学(双学士学位、统计学和金融学),A272上海财经大学,5,1534
78统计学(双学位),A269华东师范大学,2,2240
10统计学类,A384厦门大学,2,2486
77统计学类,A269华东师范大学,2,2749
10统计学类,A034中央财经大学,4,2907
33经济统计学,A036对外经济贸易大学,3,4344
0F统计学类,A651西南财经大学,1,7005
09理科试验班(数学与统计),A004北京交通大学,4,8410
30统计学类,A532湖南大学,2,8481
0G经济统计学,A651西南财经大学,2,9459
0L应用统计学,A287南京航空航天大学,2,11706
17统计学类,A520中南财经政法大学,11,13758
29统计学类,A052中央民族大学,8,13833
5F数学类(金融与统计),A255东华大学,3,14906
26统计学,A022北京林业大学,2,15718
0T经济统计学,A652西南政法大学,2,16349
30统计学,A613西南交通大学,4,17397
M3统计学,A542湖南师范大学,2,18582
03应用统计学,A080河北工业大学,2,19212
10经济统计学,A386福州大学,2,21210
28统计学,A307南京农业大学,5,21890
18统计学,A359合肥工业大学,3,22513
14经济统计学,A357安徽大学,4,22855
33经济统计学,A353浙江工商大学,2,25029
35应用统计学,A300南京信息工程大学,2,25466
6D经济统计学(中外合作办学),A559暨南大学,4,25624
1A统计学,A112太原理工大学,4,26194
1H统计学,A673云南大学,3,26823
23应用统计学(生物统计学),A312南京医科大学,2,27435
22应用统计学,A421江西财经大学,3,28409
25经济学(经济金融统计与分析),A032北京语言大学,2,28890
21经济统计学,A421江西财经大学,3,31680
Z3应用统计学(中外合作办学),H145东北大学秦皇岛分校,5,31707
16统计学类,B482浙江财经大学,6,32949
11应用统计学,A631重庆医科大学,1,33693
02经济统计学,B846广东外语外贸大学,3,33774
14统计学,A216燕山大学,2,33902
04统计学,B078广州大学,3,35664
18统计学,A108山西大学,6,36004
07统计学(民航大数据),A059中国民航大学,4,37676
2L统计学,A445山东师范大学,12,38419
16应用统计学,A536长沙理工大学,2,38427
33应用统计学,A063天津中医药大学,4,39496
08应用统计学,A304南通大学,2,40566
9F统计学,A755新疆大学,4,41310
21应用统计学,A289江苏科技大学,2,42489
2F应用统计学(中外合作办学),A357安徽大学,8,42644
37数学与应用数学(金融统计、数据分析方向),A385华侨大学,4,42784
11统计学,A621成都信息工程大学,2,44442
0F应用统计学,B047上海立信会计金融学院,4,45389
43统计学(地方专项计划),A445山东师范大学,6,46453
C2统计学,H414中国石油大学(北京)克拉玛依校区,6,48251
5F应用统计学,A341浙江农林大学,1,48596
15应用统计学,A037北京物资学院,1,49424
32应用统计学,A214哈尔滨理工大学,2,51257
15统计学(中外合作办学)(2加2),F301宁波诺丁汉大学,4,54120
0X统计学,A636四川师范大学,2,54888
0H经济统计学,A456山东财经大学,65,55266
37应用统计学,B065青岛大学,64,55330
15应用统计学(地方专项计划),B065青岛大学,5,55496
1N统计学,A456山东财经大学,70,56384
2M统计学,A424山东科技大学,62,57642
20经济统计学,B560西安财经大学,2,57804
0B统计学(中外合作办学),F401北京师范大学-香港浸会大学联合国际学院,2,57962
2C统计学,A414江西师范大学,1,58959
39统计学,A212黑龙江大学,3,59180
05应用统计学,A125山西财经大学,2,59771
0P经济统计学(地方专项计划),A456山东财经大学,20,60379
03统计学,A125山西财经大学,4,60509
29统计学,A370安徽师范大学,2,60530
01经济统计学,A378安徽财经大学,2,60571
23应用统计学,B560西安财经大学,4,61226
04经济统计学,A125山西财经大学,3,63914
28统计学,A378安徽财经大学,2,64176
27统计学,A110中北大学,4,65398
40应用统计学,A534湖南科技大学,3,65961
0C经济统计学,A207吉林财经大学,4,69034
35应用统计学,A595桂林电子科技大学,5,70078
0P统计学,A429青岛理工大学,27,71077
01经济统计学,A110中北大学,5,71365
1Y应用统计学,A426青岛科技大学,60,72830
57应用统计学,A463河南工业大学,1,72969
24经济统计学,A736西北师范大学,2,73520
0C应用统计学,A361安徽理工大学,2,75977
0K应用统计学,A364安徽农业大学,5,76737
09应用统计学,C453中国劳动关系学院,2,77700
N9经济统计学,A360安徽工业大学,2,77831
58统计学,A602广西师范大学,1,77837
