专业代号及名称,院校代号及名称,投档计划数,投档最低位次
27食品科学与工程类,A561华南理工大学,2,7080
14食品科学与工程类,A019中国农业大学,8,8209
60工科试验班(食品健康与安全),A610四川大学,6,9015
9U食品科学与工程类,A183吉林大学,10,17015
17食品科学与工程类,A423中国海洋大学,28,17071
H3食品科学与工程,A295江南大学,5,19062
06环境生态工程(生态与食品工科实验班),H141大连理工大学(盘锦校区),6,20317
1L食品科学与工程,A319南京师范大学,3,21522
02食品质量与安全,A295江南大学,5,22456
J1食品科学与工程类,A635西南大学,2,23117
39食品营养与健康(卓越班),A712西北农林科技大学,6,23643
58食品科学与工程,A022北京林业大学,5,23899
5L食品科学与工程类,A712西北农林科技大学,19,25527
18食品科学与工程类,A307南京农业大学,13,26361
57食品科学与工程,A697西北大学,3,27248
19食品营养与健康,A307南京农业大学,3,27622
3J食品科学与工程类,A504华中农业大学,12,28269
29食品科学与工程(本硕博班),A224东北农业大学,3,28951
48食品科学与工程,B646宁波大学,2,30922
15食品科学与工程类,A359合肥工业大学,15,31141
1H食品科学与工程类,A718陕西师范大学,9,31461
5A食品科学与工程类,A403南昌大学,10,31487
11食品质量与安全,H359合肥工业大学(宣城校区),6,32347
0T食品卫生与营养学,A631重庆医科大学,1,32635
03食品科学与工程,A225东北林业大学,3,33335
12食品科学与工程,A626四川农业大学,3,35174
0U食品科学与工程类,A291南京工业大学,2,35335
2W食品科学与工程类,A657贵州大学,4,35936
28食品科学与工程类,A298南京林业大学,6,36661
09食品科学与工程类,A264上海海洋大学,7,36878
01食品科学与工程类,A589海南大学,12,37551
28食品科学与工程类,A224东北农业大学,14,37587
ZD食品质量与安全(中外合作办学),A635西南大学,2,37982
57食品科学与工程(中外合作办学),A423中国海洋大学,40,38406
13食品质量与安全,A626四川农业大学,4,38905
50食品科学与工程,A184延边大学,3,39253
47食品科学与工程,A749宁夏大学,3,39406
74食品安全与检测,A270上海师范大学,4,39490
66食品科学与工程类,A299江苏大学,3,39647
X2食品营养与健康,A626四川农业大学,3,40060
55食品科学与工程(中外合作办学),A712西北农林科技大学,5,40144
63食品质量与安全,A564华南农业大学,1,40703
62食品科学与工程,A564华南农业大学,1,40711
18食品卫生与营养学,A063天津中医药大学,4,41566
47食品科学与工程(食品酿造),A108山西大学,1,42231
H1食品科学与工程(中外合作办学),A295江南大学,12,42376
48食品科学与工程,A126内蒙古大学,1,42649
0P食品科学与工程类,A011北京工商大学,5,44054
30食品科学与工程,A445山东师范大学,8,45131
21食品卫生与营养学,A344浙江中医药大学,2,46310
28食品科学与工程,A108山西大学,3,46937
3S食品科学与工程(地方专项计划),A445山东师范大学,3,48316
0J食品科学与工程类,A327南京财经大学,8,49113
26食品科学与工程,A057天津科技大学,5,49754
0D食品科学与工程,B065青岛大学,20,50204
13食品科学与工程,A390集美大学,3,51064
08食品科学与工程,A340浙江海洋大学,2,54025
28食品营养与健康,A057天津科技大学,4,56692
7L食品科学与工程,A755新疆大学,4,56786
