专业代号及名称,院校代号及名称,投档计划数,投档最低位次
01中医学(领军人才培养计划),A026北京中医药大学,1,454
01中医学(屠呦呦班),A268上海中医药大学,4,4132
22中医学(卓越5+3一体化),A026北京中医药大学,14,5945
05中医学(5+3一体化，卓越中医儿科班),A026北京中医药大学,1,6018
07中医学(实验班),A026北京中医药大学,5,7159
11中医学(中医拔尖创新人才培养模式改革9年制),A063天津中医药大学,2,7599
02中医学(5+3一体化),A268上海中医药大学,3,7902
03中医学(5+3一体化，针灸推拿英语方向),A268上海中医药大学,2,9018
24中医学,A026北京中医药大学,9,9061
05中医学(5+3一体化，中医拔尖创新人才培养模式改革),A315南京中医药大学,5,10035
02中医学(5+3一体化),A572广州中医药大学,2,10427
12中医学(5+3一体化),A063天津中医药大学,4,11002
08中医骨伤科学,A026北京中医药大学,2,11411
01中医学(5+3一体化),A344浙江中医药大学,1,12354
05中医学(中医临床医师),P020海军军医大学,1,12415
13中医学(5+3一体化中医儿科学),A063天津中医药大学,2,12438
02中医学(5+3一体化),A633成都中医药大学,4,12932
01中医学(5+3一体化，卓越1班),A541湖南中医药大学,2,16198
0C中医学,A315南京中医药大学,12,17895
04中医学,A572广州中医药大学,3,18390
0F中医学,A631重庆医科大学,1,18395
03中医学,A633成都中医药大学,4,20626
15中医养生学,A572广州中医药大学,1,20890
2V英语(中医药国际传播),A026北京中医药大学,1,21067
14中医学类,A063天津中医药大学,8,21805
06中医骨伤科学,A572广州中医药大学,1,22025
03中医学,A344浙江中医药大学,2,22242
04中医骨伤科学,A344浙江中医药大学,1,22781
28中医学(5+3一体化，卓越2班),A541湖南中医药大学,1,26063
29中医学(5+3一体化，卓越3班),A541湖南中医药大学,2,26538
01中医学,A507湖北中医药大学,2,27562
14中医儿科学,A633成都中医药大学,4,33240
05中医学(5+3一体化),A441山东中医药大学,120,33941
68中医学,A184延边大学,3,34765
32中医学(5+3一体化，中医儿科班),A541湖南中医药大学,1,35037
MC中医学(厦门大学马来西亚分校招生专业),A384厦门大学,1,35115
0E中医康复学,A633成都中医药大学,2,35128
01中医学(5+3一体化),A228黑龙江中医药大学,9,36219
17中医学,A743青海大学,1,36862
02中医学(美容与康复方向),A507湖北中医药大学,3,39028
0X中医学(5+3一体化，针推方向),A441山东中医药大学,30,39067
02中医学,A541湖南中医药大学,13,41161
06中医学(5+3一体化),A199长春中医药大学,6,41251
1Z中医学(5+3一体化，儿科方向),A441山东中医药大学,30,41676
5C中医学(5+3一体化),A600广西中医药大学,1,42169
08中医学,A632西南医科大学,1,43276
02中医学(5+3一体化，专业硕士儿科学),A228黑龙江中医药大学,2,44693
03中医学,A809山西中医药大学,4,46851
01中医学(5+3一体化),A735甘肃中医药大学,3,47362
01中医学(5+3一体化),E432河北中医学院,4,47445
30中医儿科学,A541湖南中医药大学,2,49323
86中医学,A081华北理工大学,3,53135
27中医康复学,A541湖南中医药大学,1,53171
1P中医学,A441山东中医药大学,124,54161
83中医学,B075三峡大学,2,54705
31中医骨伤科学,A541湖南中医药大学,2,56546
09中医儿科学,A199长春中医药大学,2,56549
03中医学,A369安徽中医药大学,5,58806
16中医学,A716陕西中医药大学,3,58947
06中医学(地方专项计划),A441山东中医药大学,10,59452
05中医学,A199长春中医药大学,4,61114
0F中医骨伤科学,A441山东中医药大学,22,61555
26中医养生学,A541湖南中医药大学,3,61823
0R中医学,A680云南中医药大学,1,62562
03中医学,A228黑龙江中医药大学,23,62702
01中医学,A412江西中医药大学,6,63894
0N中医学,A573广东药科大学,4,63955
02中医学,E432河北中医学院,2,64422
02中医学,A735甘肃中医药大学,1,65783
2D中医学,A600广西中医药大学,3,66777
E1中医学,A752宁夏医科大学,2,66957
06中医儿科学,A369安徽中医药大学,2,68050
0A中医骨伤科学,A199长春中医药大学,2,80821
07中医骨伤科学,E432河北中医学院,2,81293
0W中医儿科学,A680云南中医药大学,1,85643
05中医骨伤科学,A228黑龙江中医药大学,13,85936
01中医学,A809山西中医药大学,27,86726
0X中医骨伤科学,A680云南中医药大学,1,86910
0J中医骨伤科学,A412江西中医药大学,5,90035
03中医骨伤科学,A735甘肃中医药大学,1,92255
0F中医养生学,A412江西中医药大学,3,92906
10中医康复学,A369安徽中医药大学,2,94578
10中医康复学,A228黑龙江中医药大学,10,97566
0T中医学,A438潍坊医学院,50,98213
0P中医康复学,A441山东中医药大学,55,98258
08中医康复学,A199长春中医药大学,3,100658
08中医学,A132内蒙古医科大学,5,102614
06中医康复学,A735甘肃中医药大学,2,102991
0N中医骨伤科学,A653成都体育学院,3,103348
0H中医学,A440滨州医学院,81,104025
0M中医学,D437南昌医学院,1,105421
0U中医康复学,A680云南中医药大学,1,106379
07中医学,A653成都体育学院,4,106829
06中医学,A760新疆医科大学,22,107856
10中医养生学,A809山西中医药大学,2,111955
0N中医养生学,A441山东中医药大学,85,114156
1U中医养生学(地方专项计划),A441山东中医药大学,10,114321
03中医学,A823长沙医学院,2,114729
0V中医养生学,A680云南中医药大学,1,115308
65中医学,A120山西大同大学,10,115873
17中医康复学,A760新疆医科大学,4,118290
1B中医康复学,A440滨州医学院,40,119153
01中医学,D899北京中医药大学东方学院,6,145493
01中医学,D643广西中医药大学赛恩斯新医药学院,2,156966
21中医学,D606长春科技学院,2,198114
