专业代号及名称,院校代号及名称,投档计划数,投档最低位次
38临床医学类,A003清华大学,8,114
02临床医学,H001北京大学医学部,8,161
03临床医学,H001北京大学医学部,2,175
01临床医学(本博连读八年制),H248上海交通大学医学院,4,267
61临床医学(8年制本博连读，卓越医生计划),H246复旦大学医学院,3,282
72临床医学(5年制，卓越医生计划),H246复旦大学医学院,6,489
0Z临床医学(八年制),A558中山大学,2,707
9A临床医学(5+3一体化培养),H335浙江大学医学院,7,739
3F临床医学(本博贯通培养),A487华中科技大学,3,742
69临床医学(八年),A610四川大学,2,820
83临床医学(八年制),A533中南大学,3,970
9C临床医学(5+3一体化培养，儿科方向),H335浙江大学医学院,3,1008
G8临床医学(八年制，弘毅学堂),A486武汉大学,2,1015
01临床医学(阶平班),A025首都医科大学,2,1088
QZ临床医学(八年制),A486武汉大学,2,1172
02中西医临床医学(华佗班),A026北京中医药大学,1,1200
02临床医学(5+3一体化),A025首都医科大学,5,1263
69临床医学(5+3一体化),A247同济大学,5,1471
1E临床医学(侯宗濂班本博),A698西安交通大学,2,1590
R1临床医学(5+3一体化),A486武汉大学,7,1718
3G临床医学类,A487华中科技大学,14,1807
68临床医学(五年),A610四川大学,3,2134
10临床医学(广州),A558中山大学,20,2157
44临床医学(本博连读，齐鲁医学堂),A422山东大学,30,2170
8A临床医学(5+3一体化),A698西安交通大学,5,2382
05临床医学,A025首都医科大学,3,2430
01临床医学(本硕博连读),C121南方医科大学,3,2643
3Y临床医学(5+3一体化),A055南开大学,8,2703
1F临床医学(5+3一体化),A286东南大学,7,3052
B7临床医学类(临床及口腔五年制医学类),A533中南大学,16,3759
26临床医学(5+3一体化),A422山东大学,100,4159
01临床医学(5+3一体化),A312南京医科大学,3,4348
87临床医学(5+3一体化),A183吉林大学,4,4387
01临床医学(高级临床医师),P020海军军医大学,6,4421
2A临床医学(5+3一体化),A062天津医科大学,6,4483
02临床医学,P030空军军医大学,4,4611
06临床医学,A159中国医科大学,2,4663
31临床医学(5+3一体化),A285苏州大学,3,4851
C1临床医学,A384厦门大学,3,4898
90临床医学(5+3一体化),A183吉林大学,4,4926
