专业代号及名称,院校代号及名称,投档计划数,投档最低位次
07药学,H001北京大学医学部,5,253
01药学(本博贯通强基拔尖实验班),A316中国药科大学,2,4710
25化工与制药类,A561华南理工大学,1,5082
9D化工与制药类(化工能源与生命医药试验班),A056天津大学,20,5548
30药学,A384厦门大学,3,5696
84临床药学,A610四川大学,2,6035
03中药学(时珍国药班),A026北京中医药大学,1,6130
02药学(基础药学理科基地),A316中国药科大学,3,6372
83药学,A610四川大学,6,6394
43生物医药数据科学,A422山东大学,4,7342
A2化工与制药类(创新班),A141大连理工大学,6,8609
06药学(国家生命科学与技术人才培养基地),A316中国药科大学,3,9449
YL药学类,A422山东大学,34,9751
A6化工与制药类(化学生物环境类),A533中南大学,15,10912
13临床药学,A025首都医科大学,2,11660
2Y药学,A285苏州大学,2,12135
A7化工与制药类(智能化工、新材料与安全新工科实验班),A141大连理工大学,12,12553
2F药学,A026北京中医药大学,2,12615
03工科试验班(生物医药),A251华东理工大学,9,13183
14临床药学,A312南京医科大学,2,13518
14临床药学,A316中国药科大学,2,13704
11化工与制药类(国际卓越工程师班),A251华东理工大学,3,13747
20药学,A423中国海洋大学,28,14712
A2药学,A183吉林大学,10,15709
2S法学(医药卫生),A026北京中医药大学,1,16659
2M药学类,A062天津医科大学,3,17482
31化工与制药类,A288南京理工大学,14,17711
03药学类,A316中国药科大学,45,17774
2Q药事管理,A026北京中医药大学,1,17875
48化工与制药类,A730兰州大学,6,18060
10生物制药,A316中国药科大学,10,18150
16药学,A251华东理工大学,7,18201
09海洋药学,A316中国药科大学,4,18352
10药学,H141大连理工大学(盘锦校区),5,18622
06药学(药剂师),P020海军军医大学,2,18744
08药学,P030空军军医大学,2,18746
B8药学,A590深圳大学,1,19160
2A中药学,A026北京中医药大学,9,19408
46药学,A559暨南大学,2,19467
X1药学,A635西南大学,3,19564
41中药学,A559暨南大学,2,19883
0F药学,C121南方医科大学,2,20558
2D中药制药,A026北京中医药大学,2,20561
17中药学类,A316中国药科大学,12,20751
1A工科试验班(绿色化工与生物医药),A010北京化工大学,22,21028
2V英语(中医药国际传播),A026北京中医药大学,1,21067
