专业代号及名称,院校代号及名称,投档计划数,投档最低位次
06预防医学,H001北京大学医学部,3,222
79预防医学,A610四川大学,3,7235
YF预防医学(五年制),A422山东大学,30,9627
B8公共卫生与预防医学类(非临床五年制医学类),A533中南大学,8,10619
2J预防医学,A062天津医科大学,2,11651
2W预防医学,A285苏州大学,2,12768
11预防医学,A025首都医科大学,4,12858
11预防医学,A312南京医科大学,2,14676
86预防医学,A183吉林大学,12,14926
0C预防医学,C121南方医科大学,3,16556
08预防医学,A631重庆医科大学,2,23721
52预防医学,A459郑州大学,12,24891
0C预防医学,A226哈尔滨医科大学,2,25635
U5预防医学,A542湖南师范大学,4,27157
86预防医学,A299江苏大学,2,31467
34预防医学,A063天津中医药大学,3,33420
67预防医学,A184延边大学,3,36588
1S公共卫生与预防医学类,A089河北医科大学,3,36806
24预防医学,A571广东医科大学,3,39234
09预防医学,A392福建医科大学,2,41646
06预防医学,A678昆明医科大学,1,41649
16预防医学,A743青海大学,2,42066
12预防医学,B065青岛大学,49,43030
30预防医学,A313徐州医科大学,2,44913
1Z预防医学,A346杭州师范大学,10,46566
10预防医学,A598广西医科大学,2,46879
35预防医学,A160锦州医科大学,2,50820
0Z预防医学,A759石河子大学,6,51211
12预防医学,A114山西医科大学,3,55762
14预防医学,A716陕西中医药大学,2,61250
0M预防医学,A573广东药科大学,5,62440
D1预防医学,A752宁夏医科大学,4,63724
0G预防医学,A439山东第一医科大学,109,64687
0Z预防医学,A555南华大学,2,67724
23预防医学,A361安徽理工大学,2,72059
63预防医学,A081华北理工大学,5,72226
06预防医学,A164沈阳医学院,1,74979
86预防医学,B075三峡大学,2,76025
0P预防医学,A929湖北医药学院,1,76347
T5预防医学,A201北华大学,2,76670
0G预防医学,A661遵义医科大学,4,86392
54预防医学,A694西藏大学,3,88267
10预防医学,A735甘肃中医药大学,2,94870
02预防医学,A471河南中医药大学,3,101413
05预防医学,A601桂林医学院,2,101844
1G预防医学,A440滨州医学院,79,102038
07预防医学,A117长治医学院,1,106260
09预防医学,A472新乡医学院,8,109660
0A预防医学,A413赣南医学院,2,111108
0C预防医学,A438潍坊医学院,138,111645
09预防医学,A679大理大学,2,112378
0B预防医学,A443济宁医学院,52,115699
04预防医学,D706吉林医药学院,3,121548
0B预防医学,B230齐齐哈尔医学院,4,125167
A1预防医学,A136内蒙古民族大学,1,127571
0B临床医学(预防方向),A695西藏民族大学,3,129802
34预防医学,A545湘南学院,2,130682
0B预防医学,H127内蒙古科技大学包头医学院,2,136996
14预防医学,A760新疆医科大学,28,137393
05预防医学,A823长沙医学院,2,140191
03预防医学,A222佳木斯大学,25,148004
66预防医学,A763喀什大学,4,164047
04预防医学,D980南京医科大学康达学院,4,170993
60预防医学,A757塔里木大学,9,179553
07预防医学,A825齐鲁医药学院,55,211376
0B预防医学,A868青岛滨海学院,83,240880
专业代号及名称,院校代号及名称,投档计划数,投档最低位次
B8公共卫生与预防医学类(非临床五年制医学类),A533中南大学,8,10619
2S法学(医药卫生),A026北京中医药大学,1,16659
21公共事业管理(卫生管理),A025首都医科大学,2,20055
0J卫生检验与检疫,A631重庆医科大学,1,30571
30卫生检验与检疫,A356中国计量大学,1,32542
0T食品卫生与营养学,A631重庆医科大学,1,32635
1S公共卫生与预防医学类,A089河北医科大学,3,36806
18食品卫生与营养学,A063天津中医药大学,4,41566
21食品卫生与营养学,A344浙江中医药大学,2,46310
26卫生检验与检疫,A344浙江中医药大学,2,47612
21公共事业管理(卫生事业管理方向),A346杭州师范大学,6,49902
0B卫生检验与检疫,A660贵州医科大学,1,51809
0F卫生检验与检疫,A392福建医科大学,2,54812
0P卫生检验与检疫,A507湖北中医药大学,3,61076
64卫生检验与检疫,A081华北理工大学,4,85981
07卫生检验与检疫,A164沈阳医学院,1,96995
26公共事业管理(卫生事业管理方向),A114山西医科大学,3,118043
11卫生检验与检疫,A262上海健康医学院,5,120390
18卫生检验与检疫,B810海南医学院,3,121256
17卫生检验与检疫,A438潍坊医学院,54,122956
20卫生检验与检疫,A114山西医科大学,1,123880
D5卫生检验与检疫,A735甘肃中医药大学,1,125291
0Y卫生检验与检疫,A443济宁医学院,26,133263
1F食品卫生与营养学,A441山东中医药大学,60,142043
3B卫生检验与检疫,A452临沂大学,36,142470
35卫生检验与检疫,A545湘南学院,2,145612
0G卫生检验与检疫,H127内蒙古科技大学包头医学院,2,148007
20职业卫生工程,A361安徽理工大学,4,156809
HW卫生检验与检疫,D560新疆第二医学院,2,176144
18兽医公共卫生,A113山西农业大学,2,176897
16公共事业管理(卫生事业管理),D980南京医科大学康达学院,2,200111
60公共卫生管理,F206贵阳康养职业大学,1,206439
V1食品卫生与营养学,D558新疆理工学院,15,210812
03卫生检验与检疫,A825齐鲁医药学院,20,212435
