院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
北京中医药大学,中医学(领军人才培养计划),2,671,1115,1,654,1288,1,661,454,211,一流学科,公办,952
北京中医药大学,中医学(卓越中医京华班5+3一体化),1,670,1293,none,none,none,none,none,none,211,一流学科,公办,1293
上海中医药大学,中医学(屠呦呦班),3,651,4263,3,640,3136,4,631,4132,省重点,一流学科,公办,3844
北京中医药大学,中医学(卓越中医班5+3一体化),7,649,4870,none,none,none,none,none,none,211,一流学科,公办,4870
北京中医药大学,中医学(5+3一体化，卓越班),none,none,none,14,630,5174,none,none,none,211,一流学科,公办,5174
北京中医药大学,中医学(卓越针推班5+3一体化),1,646,5528,none,none,none,none,none,none,211,一流学科,公办,5528
北京中医药大学,中医学(5+3一体化，卓越中医儿科班),none,none,none,1,629,5433,1,623,6018,211,一流学科,公办,5726
北京中医药大学,中医学(卓越5+3一体化),none,none,none,none,none,none,14,624,5945,211,一流学科,公办,5945
北京中医药大学,中医学(卓越中西医班5+3一体化),2,644,6098,none,none,none,none,none,none,211,一流学科,公办,6098
北京中医药大学,中医学(卓越中医儿科班5+3一体化),1,642,6533,none,none,none,none,none,none,211,一流学科,公办,6533
北京中医药大学,中医学(实验班),6,639,7375,4,627,5978,5,620,7159,211,一流学科,公办,6837
北京中医药大学,中医学(卓越中医骨伤班5+3一体化),1,640,7093,none,none,none,none,none,none,211,一流学科,公办,7093
天津中医药大学,中医学(中医拔尖创新人才培养模式改革9年制),2,635,8856,2,620,8144,2,618,7599,省重点,一流学科,公办,8200
上海中医药大学,中医学(5+3一体化),4,633,9550,4,622,7401,3,617,7902,省重点,一流学科,公办,8284
北京中医药大学,中医学,11,629,10902,8,620,8078,9,614,9061,211,一流学科,公办,9347
上海中医药大学,中医学(5+3一体化，针灸推拿英语方向),none,none,none,2,614,10365,2,614,9018,省重点,一流学科,公办,9692
北京中医药大学,中医骨伤科学,none,none,none,2,616,9391,2,608,11411,211,一流学科,公办,10401
南京中医药大学,中医学(5+3一体化，中医拔尖创新人才培养模式改革),2,629,11019,4,613,10663,5,612,10035,省重点,一流学科,公办,10572
广州中医药大学,中医学(5+3一体化),2,625,12715,2,615,9675,2,611,10427,省重点,一流学科,公办,10939
天津中医药大学,中医学(5+3一体化),4,627,11825,4,611,11295,4,609,11002,省重点,一流学科,公办,11374
海军军医大学,中医学(中医临床医师),1,627,11955,1,610,11863,1,606,12415,211,一流学科,军校,12078
浙江中医药大学,中医学(5+3一体化),none,none,none,none,none,none,1,606,12354,省重点,none,公办,12354
天津中医药大学,中医学(5+3一体化中医儿科学),2,620,14708,2,606,13752,2,606,12438,省重点,一流学科,公办,13633
成都中医药大学,中医学(5+3一体化),4,619,15495,4,604,14515,4,605,12932,省重点,一流学科,公办,14314
南京中医药大学,中医学,3,623,13301,6,603,15064,12,595,17895,省重点,一流学科,公办,15420
暨南大学,中医学,3,617,16419,none,none,none,none,none,none,211,一流学科,公办,16419
重庆医科大学,中医学,1,618,15791,1,602,15570,1,594,18395,none,none,公办,16585
