院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
清华大学,临床医学类,3,695,59,5,683,70,8,674,114,"C9,985,211",一流大学,公办,81
北京大学医学部,临床医学(八年制),8,688,192,10,677,172,8,671,161,"C9,985,211",一流大学,公办,175
北京大学医学部,临床医学(五年制),2,688,205,2,676,187,2,671,175,"C9,985,211",一流大学,公办,189
复旦大学医学院,临床医学(8年制本博连读，卓越医生计划),3,685,262,3,672,291,3,667,282,"C9,985,211",一流大学,公办,278
上海交通大学医学院,临床医学(本博连读八年制),5,684,288,4,672,280,4,667,267,"C9,985,211",一流大学,公办,278
复旦大学医学院,临床医学(5年制，卓越医生计划),none,none,none,6,663,623,6,661,489,"C9,985,211",一流大学,公办,556
华中科技大学,临床医学(本博贯通培养),none,none,none,none,none,none,3,656,742,"985,211",一流大学,公办,742
浙江大学医学院,临床医学(5+3一体化培养),none,none,none,7,660,815,7,656,739,"C9,985,211",一流大学,公办,777
中山大学,临床医学(八年制),2,675,811,4,658,946,2,656,707,"985,211",一流大学,公办,821
华中科技大学,临床医学(本硕博贯通培养),3,674,912,3,659,881,none,none,none,"985,211",一流大学,公办,897
四川大学,临床医学(八年),2,672,1013,2,657,1016,2,654,820,"985,211",一流大学,公办,950
浙江大学医学院,临床医学(5+3一体化培养，儿科方向),none,none,none,3,657,1014,3,652,1008,"C9,985,211",一流大学,公办,1011
中南大学,临床医学(八年制),3,673,979,3,656,1110,3,653,970,"985,211",一流大学,公办,1020
武汉大学,临床医学(八年制，弘毅学堂),none,none,none,3,653,1310,2,652,1015,"985,211",一流大学,公办,1163
武汉大学,临床医学(八年制),none,none,none,2,652,1479,2,650,1172,"985,211",一流大学,公办,1326
首都医科大学,临床医学(阶平班),none,none,none,1,649,1736,2,651,1088,省重点,none,公办,1412
首都医科大学,临床医学(5+3一体化),5,668,1506,5,651,1542,5,649,1263,省重点,none,公办,1437
同济大学,临床医学(5+3一体化),none,none,none,none,none,none,5,648,1471,"985,211",一流大学,公办,1471
