院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
上海财经大学,会计学,4,673,970,3,656,1104,3,645,1767,211,一流学科,公办,1280
中央财经大学,工商管理类(会计学院),7,665,1925,6,646,2135,7,639,2586,211,一流学科,公办,2215
西安交通大学,会计学(ACCA),3,655,3535,2,638,3373,2,638,2693,"C9,985,211",一流大学,公办,3200
厦门大学,会计学(含会计、财务、审计),7,656,3388,7,640,3040,7,636,3179,"985,211",一流大学,公办,3202
厦门大学,外国语言文学类(外国语言文学加会计或财务),3,651,4270,3,632,4756,3,629,4626,"985,211",一流大学,公办,4551
华南理工大学,会计学,1,650,4622,1,631,4867,1,630,4396,"985,211",一流大学,公办,4628
西南财经大学,会计学(注册会计师专门化方向),2,646,5510,2,629,5536,2,622,6358,211,一流学科,公办,5801
上海外国语大学,会计学,2,644,6055,2,624,6872,none,none,none,211,一流学科,公办,6464
西南财经大学,会计学(双语实验班),2,641,6903,2,625,6439,2,621,6745,211,一流学科,公办,6696
西南财经大学,法学(法学与会计学双学位),1,643,6162,2,623,7159,2,619,7305,211,一流学科,公办,6875
西南财经大学,工商管理类(会计学院),none,none,none,4,624,6936,4,618,7767,211,一流学科,公办,7352
暨南大学,会计学,2,634,9166,none,none,none,none,none,none,211,一流学科,公办,9166
湖南大学,会计学,7,634,9276,7,617,9083,7,613,9426,"985,211",一流大学,公办,9262
北京理工大学,会计学(中外合作办学),none,none,none,none,none,none,4,613,9493,"985,211",一流大学,公办,9493
中国海洋大学,会计学,17,632,9921,17,615,9806,17,610,10690,"985,211",一流大学,公办,10139
中南财经政法大学,工商管理类(会计学院),10,630,10453,10,613,10490,10,609,11212,211,一流学科,公办,10718
吉林大学,会计学,20,629,10980,20,611,11276,20,606,12307,"985,211",一流大学,公办,11521
华东政法大学,会计学,none,none,none,3,608,12796,none,none,none,省重点,none,公办,12796
深圳大学,会计学,1,623,13381,1,608,12687,2,600,15107,none,none,公办,13725
河海大学,会计学,4,621,14539,2,607,13021,3,603,13906,211,一流学科,公办,13822
东北财经大学,会计学(注册会计师方向),1,622,13983,2,606,13477,2,602,14314,省重点,none,公办,13925
南京航空航天大学,会计学,none,none,none,none,none,none,3,602,14227,211,一流学科,公办,14227
上海对外经贸大学,审计学(注册会计师方向),2,618,16100,2,600,16717,none,none,none,none,none,公办,16409
东北财经大学,会计学(国际会计方向),2,615,17368,2,602,15696,2,597,17061,省重点,none,公办,16708
上海对外经贸大学,会计学(国际会计方向),3,619,15460,3,601,16269,3,594,18750,none,none,公办,16826
首都经济贸易大学,会计学,3,614,18316,3,598,17988,3,594,18703,省重点,none,公办,18336
江南大学,会计学,10,614,17930,10,597,18117,9,593,19094,211,一流学科,公办,18380
福州大学,会计学,none,none,none,2,595,19255,2,594,18418,211,一流学科,公办,18837
西南财经大学,会计学(中外合作办学),4,609,20848,4,598,18029,4,595,18278,211,一流学科,公办,19052
南京财经大学,会计学,2,611,19542,none,none,none,none,none,none,省重点,none,公办,19542
中国石油大学(华东),会计学,34,611,19625,34,594,19892,33,592,19876,211,一流学科,公办,19798
河北工业大学,会计学,3,610,20418,2,595,19438,2,591,20290,211,一流学科,公办,20049
南京审计大学,会计学,3,611,19424,3,594,19874,3,589,21519,none,none,公办,20272
