院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
上海财经大学,保险学(保险精算),3,665,1894,3,642,2751,3,634,3528,211,一流学科,公办,2724
对外经济贸易大学,数据科学与大数据技术(含与保险学专业双学士学位项目),4,654,3674,4,635,4011,4,628,4701,211,一流学科,公办,4129
对外经济贸易大学,保险学,2,654,3671,5,632,4727,none,none,none,211,一流学科,公办,4199
西南财经大学,金融学类(保险方向),none,none,none,3,618,8687,3,612,9798,211,一流学科,公办,9243
湖南大学,保险学(风险管理实验班),1,630,10443,1,616,9456,1,613,9513,"985,211",一流大学,公办,9804
中南财经政法大学,金融学类(保险精算),none,none,none,none,none,none,4,608,11621,211,一流学科,公办,11621
南京农业大学,保险学,2,598,28545,none,none,none,none,none,none,211,一流学科,公办,28545
江西财经大学,保险学,none,none,none,none,none,none,2,574,33157,省重点,none,公办,33157
上海立信会计金融学院,保险学,4,586,38367,3,566,42414,2,560,47476,none,none,公办,42752
河北大学,保险学,2,584,40427,2,567,41691,2,561,46475,省重点,none,公办,42864
西安财经大学,保险学,2,562,64305,2,550,60725,2,547,63603,none,none,公办,62878
山西财经大学,保险学,2,561,65937,2,547,64188,2,543,69324,省重点,none,公办,66483
山东财经大学,保险学(济南走读),none,none,none,none,none,none,10,537,77755,省重点,none,公办,77755
山东财经大学,保险学(地方专项计划),20,551,80101,20,537,78908,20,535,80977,省重点,none,公办,79995
山东财经大学,保险学,30,550,81363,none,none,none,none,none,none,省重点,none,公办,81363
吉林财经大学,保险学,4,550,81547,4,537,79983,4,533,84034,省重点,none,公办,81855
湖北中医药大学,保险学,1,547,86226,1,536,80444,2,531,88535,省重点,none,公办,85068
沈阳航空航天大学,保险学,4,554,75251,4,528,93417,4,521,105391,none,none,公办,91353
山东财经大学,保险学(校企合作，与德华安顾人寿保险有限公司合作),none,none,none,100,530,90948,100,528,92695,省重点,none,公办,91822
云南财经大学,保险学,none,none,none,none,none,none,4,526,97301,省重点,none,公办,97301
兰州财经大学,保险学,2,541,95209,2,523,103695,2,518,112352,none,none,公办,103752
江西中医药大学,保险学,2,519,133394,2,506,136955,none,none,none,省重点,none,公办,135175
山东第一医科大学,医疗保险,none,none,none,40,504,141652,none,none,none,none,none,公办,141652
河北金融学院,保险学,4,518,135288,4,503,144478,4,501,148128,none,none,公办,142631
安徽中医药大学,保险学,3,512,145763,3,502,145468,3,501,148162,省重点,none,公办,146464
甘肃中医药大学,医疗保险,none,none,none,2,495,161000,2,496,158377,none,none,公办,159689
山东工商学院,保险学,none,none,none,31,490,171919,31,487,178770,none,none,公办,175345
南京审计大学金审学院,保险学,2,494,181534,2,488,176945,2,482,191082,none,none,民办,183187
新疆财经大学,保险学,8,491,187691,8,486,182460,11,482,191626,省重点,none,公办,187259
南京医科大学康达学院,医疗保险,none,none,none,2,476,204919,2,474,210967,none,none,民办,207943
齐鲁医药学院,医疗保险,none,none,none,none,none,none,30,469,224696,none,none,民办,224696
