院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
北京大学,信息管理与信息系统,1,688,189,none,none,none,none,none,none,"C9,985,211",一流大学,公办,189
武汉大学,信息管理与信息系统,none,none,none,none,none,none,3,640,2497,"985,211",一流大学,公办,2497
武汉大学,社会科学试验班(信息管理类),8,657,3083,9,638,3441,none,none,none,"985,211",一流大学,公办,3262
北京外国语大学,信息管理与信息系统(大数据与商务分析方向),1,653,3972,none,none,none,none,none,none,211,一流学科,公办,3972
华东师范大学,信息管理与信息系统,1,653,3849,1,635,4027,1,629,4530,"985,211",一流大学,公办,4135
中国政法大学,信息管理与信息系统(法治信息管理实验班),none,none,none,2,625,6464,2,617,7916,211,一流学科,公办,7190
哈尔滨工业大学(威海),信息管理与信息系统,11,629,11003,12,611,11293,18,607,12113,"C9,985,211",一流大学,公办,11470
南京理工大学,信息管理与信息系统,10,623,13448,6,604,14546,6,599,15591,211,一流学科,公办,14528
武汉理工大学,信息管理与信息系统,4,618,16129,4,600,16580,4,596,17317,211,一流学科,公办,16675
河海大学,信息管理与信息系统,3,617,16207,3,599,16982,3,595,18089,211,一流学科,公办,17093
暨南大学,信息管理与信息系统,none,none,none,none,none,none,2,597,17128,211,一流学科,公办,17128
北京林业大学,信息管理与信息系统,3,615,17493,3,598,17979,3,593,19347,211,一流学科,公办,18273
北京林业大学,信息管理与信息系统(管理信息方向),3,614,17970,3,598,17960,2,593,19470,211,一流学科,公办,18467
中国石油大学(北京),信息管理与信息系统,3,613,18586,4,597,18361,4,594,18678,211,一流学科,公办,18542
合肥工业大学,信息管理与信息系统,4,613,18595,4,595,19473,5,590,20998,211,一流学科,公办,19689
中国地质大学(北京),信息管理与信息系统,2,613,18764,none,none,none,2,590,20793,211,一流学科,公办,19779
西北大学,信息管理与信息系统,2,610,20408,2,595,19290,3,591,20556,211,一流学科,公办,20085
上海大学,信息管理与信息系统(中外合作办学),4,609,20980,4,595,19418,3,590,21059,211,一流学科,公办,20486
南京农业大学,信息管理与信息系统,4,607,22190,4,590,22466,4,586,23575,211,一流学科,公办,22744
西南财经大学,信息管理与信息系统(中外合作办学)(信息系统与数据管理方向),4,603,24815,4,587,24765,5,581,26947,211,一流学科,公办,25509
宁波大学,信息管理与信息系统,3,599,27115,3,581,29158,2,579,28735,省重点,一流学科,公办,28336
南京审计大学,信息管理与信息系统,2,599,27333,2,579,30576,none,none,none,none,none,公办,28955
江苏大学,信息管理与信息系统,2,596,29762,none,none,none,none,none,none,"全国重点,省重点",none,公办,29762
西南大学(荣昌校区),信息管理与信息系统,7,593,31902,none,none,none,6,576,31716,211,一流学科,公办,31809
内蒙古大学,信息管理与信息系统,2,590,34622,none,none,none,1,575,32441,211,一流学科,公办,33532
重庆邮电大学,信息管理与信息系统,4,594,31337,none,none,none,2,571,35813,省重点,none,公办,33575
浙江理工大学,信息管理与信息系统,none,none,none,4,575,33676,none,none,none,省重点,none,公办,33676
中国计量大学,信息管理与信息系统,2,591,33442,2,574,35046,2,570,36941,省市共建,none,公办,35143
重庆邮电大学,管理科学与工程类(信息管理工程类),none,none,none,7,573,35469,none,none,none,省重点,none,公办,35469
湘潭大学,信息管理与信息系统,4,589,35640,3,572,36401,4,571,35774,全国重点,一流学科,公办,35938
西安理工大学,信息管理与信息系统,2,588,35888,2,571,37736,2,568,38609,省重点,none,公办,37411
延边大学,信息管理与信息系统,3,585,38676,3,571,37222,3,567,39727,211,一流学科,公办,38542
北京交通大学(威海校区),信息管理与信息系统(中外合作办学),12,583,40821,12,569,39446,12,569,37648,211,一流学科,公办,39305
重庆医科大学,信息管理与信息系统,1,587,37180,1,569,39183,1,564,42601,none,none,公办,39655
江西财经大学,信息管理与信息系统(金融智能),none,none,none,4,572,36105,4,564,43217,省重点,none,公办,39661
上海立信会计金融学院,信息管理与信息系统,2,586,37701,2,569,39504,2,559,48587,none,none,公办,41931
山东师范大学,信息管理与信息系统,5,580,44384,10,564,44456,5,567,39404,省重点,none,公办,42748
南京审计大学,信息管理与信息系统(中外合作办学),2,580,43562,2,564,44118,2,557,51161,none,none,公办,46280
青岛大学,信息管理与信息系统,28,577,46755,26,561,47718,23,559,48686,省重点,none,公办,47720
重庆工商大学,信息管理与信息系统,1,576,48389,1,559,49604,none,none,none,省重点,none,公办,48997
青岛大学,信息管理与信息系统(地方专项计划),5,574,49885,5,559,50157,5,557,50462,省重点,none,公办,50168
天津工业大学,信息管理与信息系统(中外合作办学),10,574,49960,10,556,52917,12,556,51544,省重点,一流学科,公办,51474
上海海洋大学,信息管理与信息系统(中外合作办学),15,572,52859,15,556,53221,15,556,51879,省重点,一流学科,公办,52653
东北电力大学,信息管理与信息系统,4,574,49999,3,556,53050,3,553,55245,省重点,none,公办,52765
