院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
安徽科技学院,农学,none,none,none,6,489,174465,none,none,none,none,none,公办,174465
安康学院,农学,2,491,188694,2,484,187364,2,481,195082,none,none,公办,190380
北京农学院,农学(作物遗传育种),3,547,84928,none,none,none,none,none,none,none,none,公办,84928
东北农业大学,农学,6,590,34636,none,none,none,none,none,none,211,一流学科,公办,34636
东北农业大学,农学(本硕博班),2,596,30116,3,583,27583,3,585,24568,211,一流学科,公办,27422
福建农林大学,农学,3,547,85746,5,534,84870,4,538,77384,省重点,none,公办,82667
甘肃农业大学,农学,5,503,163999,10,494,163556,10,491,170727,省重点,none,公办,166094
广东海洋大学,农学,none,none,none,4,512,125265,3,511,125022,省重点,none,公办,125144
海南大学,农学,3,587,37444,3,574,34645,2,570,36492,211,一流学科,公办,36194
河西学院,农学,2,497,176182,2,488,177092,2,484,187887,none,none,公办,180387
黑龙江八一农垦大学,农学(创新人才培养班),19,498,174351,8,493,165627,8,491,169375,none,none,公办,169784
湖南农业大学,农学,2,569,56002,2,559,50283,3,557,50438,省重点,none,公办,52241
华南农业大学,农学,2,578,45980,2,565,43103,2,567,39763,全国重点,一流学科,公办,42949
淮阴工学院,农学,none,none,none,none,none,none,2,488,177639,none,none,公办,177639
江西农业大学,农学,3,512,147012,none,none,none,none,none,none,全国重点,none,公办,147012
鲁东大学,农学,47,518,135519,55,507,135450,52,504,140893,none,none,公办,137287
南京农业大学,农学,7,606,23022,7,588,23786,7,586,23813,211,一流学科,公办,23540
南阳师范学院,农学,8,491,187625,12,484,187261,8,481,194569,none,none,公办,189818
内蒙古民族大学,农学,2,499,171037,2,492,168216,2,491,170608,省重点,none,公办,169954
内蒙古农业大学,农学,3,504,161379,3,496,157846,3,496,159230,省重点,none,公办,159485
青岛农业大学,农学(地方专项计划),none,none,none,none,none,none,10,498,153786,省重点,none,公办,153786
青岛农业大学,农学(含创新实验班30人),none,none,none,89,499,152891,80,500,150399,省重点,none,公办,151645
青岛农业大学,农学(中外合作办学),30,485,200836,30,478,200938,60,473,213029,省重点,none,公办,204934
山东农业大学,农学(新农科实验班),none,none,none,134,520,109734,126,523,101501,省重点,none,公办,105618
山西农业大学,农学,8,509,151622,10,504,140954,10,503,142428,全国重点,none,公办,145001
山西农业大学,农学(卓越人才实验班),none,none,none,3,511,126144,3,509,130034,全国重点,none,公办,128089
沈阳农业大学,农学,none,none,none,none,none,none,4,515,118071,全国重点,none,公办,118071
沈阳农业大学,农学(卓越计划实验班),none,none,none,3,516,116882,3,515,117562,全国重点,none,公办,117222
四川农业大学,农学,3,593,31845,4,575,33827,3,572,34873,211,一流学科,公办,33515
塔里木大学,农学,11,488,194537,11,481,194159,11,481,193884,省重点,none,公办,194193
西北农林科技大学,农学(农学类),13,602,25624,9,587,24887,11,583,26028,"985,211",一流大学,公办,25513
西藏农牧学院,农学,2,473,224959,3,470,217663,5,469,223322,省重点,none,公办,221981
西南林业大学,农学,3,516,138808,3,505,138230,3,506,136105,省重点,none,公办,137714
新疆农业大学,农学,none,none,none,10,485,183121,5,490,171736,省重点,none,公办,177429
扬州大学,农学,1,588,36252,1,571,37442,3,564,42294,省重点,none,公办,38663
宜春学院,农学,none,none,none,2,486,182097,1,487,180139,none,none,公办,181118
浙江大学,应用生物科学(农学),none,none,none,25,644,2362,25,637,2891,"C9,985,211",一流大学,公办,2627
浙江农林大学,农学,none,none,none,none,none,none,1,559,48387,省重点,none,公办,48387
中国农业大学,农学,4,636,8299,4,617,9157,4,617,8118,"985,211",一流大学,公办,8525
安徽科技学院,农业智能装备工程,none,none,none,none,none,none,3,481,195022,none,none,公办,195022
安徽农业大学,农业机械化及其自动化,2,533,107725,2,524,100714,2,521,105907,省重点,none,公办,104782
安徽农业大学,农业水利工程,2,521,129279,3,514,121503,none,none,none,省重点,none,公办,125391
安顺学院,设施农业科学与工程,1,489,193116,none,none,none,none,none,none,none,none,公办,193116
百色学院,设施农业科学与工程,none,none,none,2,479,198504,2,477,204768,none,none,公办,201636
北京农学院,农业资源与环境(中外合作办学),3,521,129563,3,506,135979,3,503,143933,none,none,公办,136492
北京农学院,设施农业科学与工程,none,none,none,none,none,none,2,512,123080,none,none,公办,123080
东北农业大学,农业电气化,3,587,37106,none,none,none,none,none,none,211,一流学科,公办,37106
东北农业大学,农业机械化及其自动化(本硕博班),2,597,28823,3,581,28983,3,577,30604,211,一流学科,公办,29470
东北农业大学,设施农业科学与工程,4,582,41624,none,none,none,none,none,none,211,一流学科,公办,41624
东北农业大学,智慧农业,none,none,none,4,570,38736,4,568,38900,211,一流学科,公办,38818
福建农林大学,农业资源与环境,3,538,99750,3,526,97053,3,521,105223,省重点,none,公办,100675
福建农林大学,农业资源与环境(中外合作办学),2,529,115859,2,517,114794,2,512,123029,省重点,none,公办,117894
福建农林大学,设施农业科学与工程,2,542,92623,none,none,none,none,none,none,省重点,none,公办,92623
福建农林大学,智慧农业,none,none,none,2,532,87175,2,531,88091,省重点,none,公办,87633
甘肃农业大学,农业资源与环境,5,502,166828,none,none,none,none,none,none,省重点,none,公办,166828
甘肃农业大学,设施农业科学与工程,none,none,none,none,none,none,7,489,174422,省重点,none,公办,174422
贵州大学,农业机械化及其自动化,2,584,40216,2,571,37634,2,574,32874,211,一流学科,公办,36908
贵州师范学院,农业资源与环境,3,491,188140,3,484,187500,3,480,197822,none,none,公办,191154
海南大学,农业资源与环境,3,588,36612,none,none,none,2,559,48404,211,一流学科,公办,42508
海南大学,设施农业科学与工程,6,580,44391,5,570,38434,9,564,42991,211,一流学科,公办,41939
河北工程大学,农业水利工程,2,514,141501,2,505,139479,2,508,132373,省重点,none,公办,137784
河北水利电力学院,农业水利工程,none,none,none,5,482,190481,5,479,199616,none,none,公办,195049
河海大学,农业水利工程,5,616,17176,5,596,18759,6,589,21557,211,一流学科,公办,19164
河南科技大学,农业工程类,10,529,114369,10,517,114641,8,512,123971,省重点,none,公办,117660
河西学院,农业水利工程,2,488,194751,2,481,194400,2,477,204527,none,none,公办,197893
菏泽学院,设施农业科学与工程,none,none,none,30,483,188313,40,480,197318,none,none,公办,192816
黑龙江八一农垦大学,农业电气化,none,none,none,4,490,173707,2,492,167386,none,none,公办,170547
黑龙江八一农垦大学,农业机械化及其自动化(创新人才培养班),19,495,180606,10,491,169921,12,490,172997,none,none,公办,174508
黑龙江八一农垦大学,农业资源与环境,none,none,none,4,489,175357,2,490,172165,none,none,公办,173761
黑龙江八一农垦大学,设施农业科学与工程,none,none,none,none,none,none,3,491,170703,none,none,公办,170703
黑龙江大学,农业水利工程,2,557,70531,2,538,77450,5,532,86548,none,none,公办,78176
黑龙江大学,农业资源与环境,none,none,none,none,none,none,2,544,68235,none,none,公办,68235
湖南农业大学,农业机械化及其自动化,none,none,none,none,none,none,2,526,96028,省重点,none,公办,96028
