院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
中国科学院大学,理论与应用力学,1,688,203,1,669,362,1,666,304,none,一流学科,公办,290
国防科技大学,理论与应用力学(航天力学拔尖班),none,none,none,none,none,none,3,637,2889,"985,211",一流大学,军校,2889
西北工业大学,工程力学(力学拔尖基地班),none,none,none,none,none,none,2,631,4081,"985,211",一流大学,公办,4081
华南理工大学,工程力学(创新班),1,646,5432,1,633,4596,1,631,4191,"985,211",一流大学,公办,4740
四川大学,工程力学,none,none,none,none,none,none,2,621,6649,"985,211",一流大学,公办,6649
大连理工大学,工程力学,4,636,8418,2,625,6623,6,620,7155,"985,211",一流大学,公办,7399
西北工业大学,力学类(工程应用力学试验班),8,640,7109,6,621,7821,5,619,7468,"985,211",一流大学,公办,7466
大连理工大学,工程力学(钱令希力学创新班、拔尖计划班),2,636,8356,2,620,8047,3,619,7253,"985,211",一流大学,公办,7885
中国农业大学,工程力学,none,none,none,2,619,8440,2,611,10184,"985,211",一流大学,公办,9312
湖南大学,工程力学(力学实验班),none,none,none,none,none,none,2,612,10008,"985,211",一流大学,公办,10008
南京航空航天大学,工程力学,3,631,10335,3,614,10388,3,609,10878,211,一流学科,公办,10534
河海大学,工程力学(大禹徐芝纶班),2,620,14770,2,603,15227,2,598,16036,211,一流学科,公办,15344
兰州大学,理论与应用力学(基地班),8,618,15686,8,601,15903,8,598,16345,"985,211",一流大学,公办,15978
河海大学,工程力学,3,618,15728,4,601,16332,3,597,17025,211,一流学科,公办,16362
西南交通大学,工程力学,10,611,19622,10,592,21232,3,589,21839,211,一流学科,公办,20898
中国石油大学(华东),工程力学,9,603,24623,9,586,25136,9,585,24010,211,一流学科,公办,24590
中国矿业大学(北京),工程力学,5,602,25178,5,585,25910,5,583,25748,211,一流学科,公办,25612
郑州大学,力学类,6,603,24407,6,583,27767,none,none,none,211,一流大学,公办,26087
太原理工大学,工程力学(试验班),none,none,none,2,585,25924,2,582,26340,211,一流学科,公办,26132
大连理工大学,工程力学(中外合作办学),6,599,27403,6,586,25473,6,580,27763,"985,211",一流大学,公办,26880
太原理工大学,工程力学,3,598,28406,1,582,27958,1,582,26261,211,一流学科,公办,27542
中国矿业大学,力学类,4,599,27476,4,582,28070,4,581,27316,211,一流学科,公办,27621
江苏大学,工程力学,1,598,27923,none,none,none,none,none,none,"全国重点,省重点",none,公办,27923
合肥工业大学,工程力学,none,none,none,none,none,none,3,579,28614,211,一流学科,公办,28614
西安建筑科技大学,工程力学,2,582,42483,2,562,46243,2,556,51595,省重点,none,公办,46774
沈阳航空航天大学,工程力学,2,579,45470,2,560,49059,2,556,51947,none,none,公办,48825
江苏科技大学,工程力学,2,576,47720,5,556,52973,5,551,58306,省重点,none,公办,53000
昆明理工大学,工程力学,2,570,54662,2,555,54630,3,544,67845,省重点,none,公办,59046
哈尔滨理工大学,工程力学,1,574,50071,5,554,55187,8,538,75885,省重点,none,公办,60381
西安科技大学,工程力学,none,none,none,2,546,66077,2,544,67988,省重点,none,公办,67033
石家庄铁道大学,工程力学,3,561,65424,3,545,67088,5,540,72945,全国重点,none,公办,68486
中北大学,工程力学,4,561,65355,4,543,70013,4,538,75997,省重点,none,公办,70455
山东科技大学,工程力学,45,557,70865,42,542,71679,42,539,74702,省重点,none,公办,72415
湖南科技大学,工程力学,2,554,75654,2,544,68842,2,540,73225,省重点,none,公办,72574
兰州交通大学,工程力学,1,551,79417,none,none,none,2,529,90940,省重点,none,公办,85179
青岛理工大学,工程力学,none,none,none,none,none,none,23,529,90912,省重点,none,公办,90912
安徽理工大学,工程力学,4,544,89795,4,528,93545,8,521,105929,省重点,none,公办,96423
河南理工大学,工程力学,2,532,109739,2,520,109210,2,519,109560,省重点,none,公办,109503
青岛理工大学,工程力学(地方专项计划),none,none,none,none,none,none,15,516,115776,省重点,none,公办,115776
河北工程大学,工程力学,2,524,123355,2,517,113761,2,515,117469,省重点,none,公办,118195
太原科技大学,工程力学,2,526,119726,2,515,118058,2,515,117754,none,none,公办,118513
东北石油大学,工程力学,2,521,129612,6,507,135420,5,507,133303,全国重点,none,公办,132778
辽宁工程技术大学,工程力学,3,513,143979,3,512,124486,3,509,130594,全国重点,none,公办,133020
吉林建筑大学,工程力学,4,505,160382,4,494,163969,4,491,169599,省重点,none,公办,164650
内蒙古工业大学,工程力学,9,501,167952,9,492,167701,7,491,171073,省重点,none,公办,168909
河北建筑工程学院,理论与应用力学,2,479,212224,2,483,188898,2,483,188323,none,none,公办,196482
