院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
北京大学,化学类,2,690,158,none,none,none,none,none,none,"C9,985,211",一流大学,公办,158
中国科学院大学,化学,3,682,392,3,668,415,3,662,418,none,一流学科,公办,408
复旦大学,自然科学试验班(物理化学方向，拔尖学生培养基地),none,none,none,15,663,605,14,659,569,"C9,985,211",一流大学,公办,587
南京大学,理科试验班类(化学与生命科学类),4,676,735,4,658,915,5,653,962,"C9,985,211",一流大学,公办,871
南开大学,化学类,10,666,1766,none,none,none,none,none,none,"985,211",一流大学,公办,1766
华中科技大学,化学类,2,662,2287,none,none,none,none,none,none,"985,211",一流大学,公办,2287
武汉大学,化学类(含化学国家拔尖学生培养基地),none,none,none,7,640,3113,7,639,2559,"985,211",一流大学,公办,2836
华东师范大学,化学,2,653,3887,2,638,3519,2,631,4029,"985,211",一流大学,公办,3812
中山大学,化学类,4,656,3400,none,none,none,10,629,4589,"985,211",一流大学,公办,3995
厦门大学,化学类(含化学化工材料类),7,655,3517,6,635,4044,18,628,4893,"985,211",一流大学,公办,4151
大连理工大学,应用化学(理学、张大煜化学基础科学拔尖计划班),4,644,5982,2,625,6413,2,622,6439,"985,211",一流大学,公办,6278
四川大学,化学类,12,643,6420,12,624,6771,12,621,6625,"985,211",一流大学,公办,6605
山东大学,化学类,50,637,8119,50,617,8911,50,612,9764,"985,211",一流大学,公办,8931
中南大学,化工与制药类(化学生物环境类),12,636,8518,15,616,9442,15,609,10912,"985,211",一流大学,公办,9624
中国农业大学,化学类,5,633,9324,4,615,9951,4,612,9887,"985,211",一流大学,公办,9721
吉林大学,化学类,18,631,10077,18,612,11046,18,606,12417,"985,211",一流大学,公办,11180
湖南大学,化学类,6,630,10738,6,612,11013,5,607,12106,"985,211",一流大学,公办,11286
华中师范大学,化学类,10,628,11342,9,608,12895,9,606,12496,211,一流学科,公办,12244
华东理工大学,应用化学(双学士学位项目),2,629,11085,2,608,12886,2,605,12949,211,一流学科,公办,12307
苏州大学,化学类,3,624,12948,3,607,13259,none,none,none,211,一流学科,公办,13104
