院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
厦门大学,化学工程与工艺,6,647,5241,5,629,5547,none,none,none,"985,211",一流大学,公办,5394
湖南大学,化学工程与工艺,1,646,5498,1,628,5715,1,624,5946,"985,211",一流大学,公办,5720
华东理工大学,化学工程与工艺(双学士学位项目),4,627,11823,4,610,11938,4,613,9521,211,一流学科,公办,11094
中国海洋大学,化学工程与工艺,11,620,14921,8,601,16087,8,598,16202,"985,211",一流大学,公办,15737
北京化工大学,化学工程与工艺(化工、大数据双学士学位),11,617,16354,none,none,none,2,598,16416,211,一流学科,公办,16385
大连理工大学(盘锦校区),能源化学工程(能源、资源与生物化工工科实验班),7,616,16788,9,598,17623,none,none,none,"985,211",一流大学,公办,17206
大连理工大学(盘锦校区),能源化学工程(能源、资源与生物化工新工科实验班),none,none,none,none,none,none,10,595,18241,"985,211",一流大学,公办,18241
江南大学,化学工程与工艺,9,609,21005,8,590,22705,8,583,25724,211,一流学科,公办,23145
中国石油大学(华东),能源化学工程,10,604,23736,10,587,24532,10,586,23312,211,一流学科,公办,23860
太原理工大学,化学工程与工艺(试验班),2,600,26515,1,585,25781,1,589,21521,211,一流学科,公办,24606
中国石油大学(华东),化学工程与工艺,48,604,23962,48,585,26157,45,581,27169,211,一流学科,公办,25763
湖南师范大学,化学工程与工艺,6,600,26433,none,none,none,none,none,none,211,一流学科,公办,26433
长安大学,化学工程与工艺,3,600,26461,3,584,26767,4,581,27459,211,一流学科,公办,26896
中国矿业大学(北京),化学工程与工艺,8,602,25442,7,583,27815,7,578,29464,211,一流学科,公办,27574
合肥工业大学,化学工程与工艺,5,603,24398,5,582,28404,4,578,29950,211,一流学科,公办,27584
太原理工大学,化学工程与工艺,6,598,27937,6,582,28495,8,578,29917,211,一流学科,公办,28783
