院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
北京大学,历史学类,1,692,119,none,none,none,none,none,none,"C9,985,211",一流大学,公办,119
北京师范大学,历史学类,6,656,3399,3,637,3612,3,639,2575,"985,211",一流大学,公办,3195
南开大学,历史学类,4,656,3405,6,636,3923,3,634,3394,"985,211",一流大学,公办,3574
华东师范大学,历史学,2,652,4155,2,635,4120,2,632,3794,"985,211",一流大学,公办,4023
四川大学,历史学类,2,647,5309,none,none,none,1,633,3696,"985,211",一流大学,公办,4503
中山大学,历史学(广州),none,none,none,19,629,5529,5,630,4223,"985,211",一流大学,公办,4876
中国社会科学院大学,历史学,4,645,5697,4,628,5624,4,622,6556,none,none,公办,5959
湖南大学,历史学,1,644,6099,1,625,6429,1,618,7633,"985,211",一流大学,公办,6720
华中师范大学,历史学类,2,640,7268,2,622,7565,2,615,8859,211,一流学科,公办,7897
山东大学,历史学类,25,637,8225,26,618,8805,26,616,8438,"985,211",一流大学,公办,8489
中央民族大学,历史学类,2,636,8459,2,617,8934,3,614,9240,"985,211",一流大学,公办,8878
上海大学,历史学类,none,none,none,2,611,11290,none,none,none,211,一流学科,公办,11290
南京师范大学,历史学类,3,629,11126,5,611,11403,5,606,12198,211,一流学科,公办,11576
西北大学,历史学类,2,626,12248,4,607,12949,4,604,13364,211,一流学科,公办,12854
西南大学,历史学,none,none,none,2,603,15012,1,606,12623,211,一流学科,公办,13818
兰州大学,历史学类,8,620,15076,9,607,13026,9,602,14260,"985,211",一流大学,公办,14121
东北师范大学,历史学(师范类),4,618,15891,2,604,14485,3,603,13580,211,一流学科,公办,14652
陕西师范大学,历史学类,7,619,15455,8,603,15334,9,601,14950,211,一流学科,公办,15246
郑州大学,历史学类,2,617,16262,2,601,16070,2,599,15795,211,一流大学,公办,16042
华南师范大学,历史学(师范类),none,none,none,5,599,17485,7,597,17066,211,一流学科,公办,17276
云南大学,历史学,4,612,19308,3,597,18532,4,593,19464,211,一流大学,公办,19101
天津师范大学,历史学(师范类),none,none,none,1,596,18809,1,593,19402,省重点,none,公办,19106
安徽大学,历史学类,6,611,20032,6,594,20079,3,591,20425,211,一流学科,公办,20179
内蒙古大学,历史学,1,603,24795,1,584,26744,1,587,23276,211,一流学科,公办,24938
江苏师范大学,历史学(师范类),1,605,23628,3,585,25841,5,580,28521,省重点,none,公办,25997
河南大学,历史学类,4,601,26257,6,585,25952,6,583,26087,省重点,一流学科,公办,26099
贵州大学,历史学,3,601,26073,3,585,26310,3,581,27618,211,一流学科,公办,26667
杭州师范大学,历史学(师范类),none,none,none,1,583,27795,none,none,none,省重点,none,公办,27795
宁夏大学,历史学(师范),2,598,28322,2,583,27514,3,579,29059,211,一流学科,公办,28298
湘潭大学,历史学,3,596,29750,3,580,29644,4,580,28002,全国重点,一流学科,公办,29132
湖北大学,历史学(师范类),2,598,28543,3,580,29762,3,576,31738,省重点,none,公办,30014
西安建筑科技大学,历史建筑保护工程,2,597,28991,2,582,28465,3,573,34517,省重点,none,公办,30658
山东师范大学,中国共产党历史,none,none,none,none,none,none,4,574,33294,省重点,none,公办,33294
湘潭大学,中国共产党历史,2,588,36581,3,572,36948,3,578,30050,全国重点,一流学科,公办,34526
山东师范大学,历史学(师范类),none,none,none,none,none,none,150,571,35597,省重点,none,公办,35597
重庆师范大学,历史学(师范类),none,none,none,2,569,39494,2,576,31943,省重点,none,公办,35719
山东师范大学,历史学(师范类，地方专项计划),none,none,none,none,none,none,6,570,36571,省重点,none,公办,36571
山西大学,历史学,6,587,37606,8,569,39824,4,574,33624,省重点,一流学科,公办,37018
四川师范大学,历史学,4,585,38945,2,571,37600,3,571,36420,省重点,none,公办,37655
山东师范大学,历史学类,131,585,39419,115,571,37119,none,none,none,省重点,none,公办,38269
河北师范大学,历史学类,6,582,41574,3,569,39242,5,567,39688,省重点,none,公办,40168
山东师范大学,历史学类(地方专项计划),4,580,44531,6,570,38857,none,none,none,省重点,none,公办,41694
安徽师范大学,历史学(师范类),5,581,43544,4,567,41770,2,567,40053,省重点,none,公办,41789
苏州科技大学,历史学(师范类),none,none,none,4,567,41152,4,564,43312,none,none,公办,42232
西北师范大学,历史学(师范类),none,none,none,3,566,42820,none,none,none,省重点,none,公办,42820
山东师范大学,中国共产党历史(地方专项计划),none,none,none,none,none,none,6,564,42827,省重点,none,公办,42827
新疆大学,历史学,4,572,52960,2,568,40365,2,570,37130,211,一流大学,公办,43485
湖北师范大学,历史学(师范类),2,580,44517,2,565,43936,1,562,45147,none,none,公办,44533
江西师范大学,历史学类,7,579,45531,8,563,45481,12,561,45780,省重点,none,公办,45597
石河子大学,历史学(师范类),none,none,none,4,560,48707,4,560,47678,211,一流学科,公办,48193
济南大学,历史学(师范类),11,572,52548,4,565,43813,33,559,48788,省重点,none,公办,48383
长江大学,历史学(师范),none,none,none,none,none,none,1,559,48521,省重点,none,公办,48521
湖南科技大学,历史学(师范类),1,574,50740,1,560,48805,1,560,47237,省重点,none,公办,48927
长江大学,历史学(师范类),none,none,none,2,559,50194,none,none,none,省重点,none,公办,50194
哈尔滨师范大学,历史学(师范类),2,572,52742,2,558,51370,3,556,51739,省重点,none,公办,51950
山西师范大学,历史学(师范类),none,none,none,2,555,54274,2,555,52954,省重点,none,公办,53614
曲阜师范大学,历史学(地方专项计划),4,571,53922,none,none,none,none,none,none,省重点,none,公办,53922
云南师范大学,历史学(师范类),none,none,none,2,556,53618,2,553,55948,省重点,none,公办,54783
广西师范大学,历史学(师范类),2,569,56235,2,556,53406,4,554,54837,省重点,none,公办,54826
