院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
北京大学医学部,口腔医学(八年制),2,695,68,2,679,126,1,671,159,"C9,985,211",一流大学,公办,118
北京大学医学部,口腔医学(五年制),1,686,236,1,676,176,1,670,184,"C9,985,211",一流大学,公办,199
上海交通大学医学院,口腔医学(5+3一体化),none,none,none,3,670,349,4,662,430,"C9,985,211",一流大学,公办,390
复旦大学医学院,口腔医学,none,none,none,2,664,573,2,660,520,"C9,985,211",一流大学,公办,547
四川大学,口腔医学(八年),none,none,none,2,666,464,2,658,633,"985,211",一流大学,公办,549
浙江大学医学院,口腔医学(5+3一体化培养),none,none,none,8,657,986,8,653,927,"C9,985,211",一流大学,公办,957
武汉大学,口腔医学(八年制),none,none,none,2,656,1086,2,654,867,"985,211",一流大学,公办,977
四川大学,口腔医学(五年),4,668,1449,3,655,1131,3,649,1278,"985,211",一流大学,公办,1286
首都医科大学,口腔医学(阶平班),none,none,none,1,650,1672,none,none,none,省重点,none,公办,1672
首都医科大学,口腔医学(5+3一体化),1,664,1957,1,648,1898,1,649,1320,省重点,none,公办,1725
武汉大学,口腔医学(五年制),none,none,none,2,649,1702,2,644,1895,"985,211",一流大学,公办,1799
中南大学,口腔医学(5+3一体化),2,665,1860,2,647,2016,2,642,2196,"985,211",一流大学,公办,2024
首都医科大学,口腔医学,1,663,2169,none,none,none,1,643,2066,省重点,none,公办,2118
空军军医大学,口腔医学,1,659,2791,1,643,2556,1,648,1416,211,一流学科,军校,2254
中南大学,临床医学类(临床及口腔五年制医学类),16,657,3031,16,638,3400,16,632,3759,"985,211",一流大学,公办,3397
山东大学,口腔医学(5+3一体化),26,651,4434,30,636,3816,30,634,3463,"985,211",一流大学,公办,3904
天津医科大学,口腔医学(5+3一体化),2,648,4930,2,633,4395,3,630,4227,211,一流学科,公办,4517
山东大学,口腔医学(五年制),24,646,5501,18,632,4704,20,629,4597,"985,211",一流大学,公办,4934
南京医科大学,口腔医学(5+3一体化),2,645,5670,2,630,5158,2,630,4353,省重点,一流学科,公办,5060
吉林大学,口腔医学,2,642,6509,2,630,5224,2,626,5329,"985,211",一流大学,公办,5687
南京医科大学,口腔医学,2,640,7135,2,626,6140,2,623,6136,省重点,一流学科,公办,6470
南方医科大学,口腔医学,1,639,7511,2,625,6471,2,622,6277,"全国重点,省重点",none,公办,6753
中国医科大学,口腔医学,2,639,7366,2,624,6950,2,620,7010,none,none,公办,7109
哈尔滨医科大学,口腔医学,1,639,7601,1,621,7802,1,620,7072,省重点,none,公办,7492
暨南大学,口腔医学,none,none,none,2,621,7861,2,619,7295,211,一流学科,公办,7578
重庆医科大学,口腔医学,2,630,10408,2,624,6974,2,622,6366,none,none,公办,7916
大连医科大学,口腔医学,2,633,9606,2,617,9234,2,613,9510,省重点,none,公办,9450
兰州大学,口腔医学,12,630,10438,10,614,10105,11,610,10490,"985,211",一流大学,公办,10344
南昌大学,口腔医学,2,630,10583,3,614,10193,4,609,10880,211,一流学科,公办,10552
郑州大学,口腔医学,4,622,14147,4,609,12139,4,609,11254,211,一流大学,公办,12513
西北大学,口腔医学,none,none,none,none,none,none,2,604,13104,211,一流学科,公办,13104
安徽医科大学,口腔医学,2,616,16716,2,605,14040,2,606,12532,省重点,none,公办,14429
福建医科大学,口腔医学,none,none,none,2,596,18860,2,599,15761,省重点,none,公办,17311
湖南中医药大学,口腔医学,1,604,24084,1,605,14151,8,596,17432,省重点,none,公办,18556
昆明医科大学,口腔医学,1,609,20731,1,596,18808,1,593,19099,省重点,none,公办,19546
广东医科大学,口腔医学,3,605,23644,2,594,20228,2,596,17370,省重点,none,公办,20414
浙江中医药大学,口腔医学,none,none,none,none,none,none,1,590,20820,省重点,none,公办,20820
青岛大学,口腔医学,35,608,21583,35,593,20943,35,591,20179,省重点,none,公办,20902
南通大学,口腔医学,none,none,none,none,none,none,2,590,21185,省重点,none,公办,21185
锦州医科大学,口腔医学,1,599,27633,1,591,21981,1,590,21068,none,none,公办,23561
山西医科大学,口腔医学,4,603,24749,2,589,23239,2,587,23060,省重点,none,公办,23683
温州医科大学仁济学院,口腔医学,1,608,21434,1,585,26146,1,583,25568,none,none,民办,24383
大连大学,口腔医学,4,597,28849,4,588,23865,4,587,23220,省重点,none,公办,25311
河南大学,口腔医学,2,600,26994,2,584,26447,none,none,none,省重点,一流学科,公办,26721
重庆医科大学,口腔医学技术,2,605,23414,2,582,27858,2,578,30016,none,none,公办,27096
华北理工大学,口腔医学,2,593,32151,4,584,26801,2,585,24386,省重点,none,公办,27779
青海大学,口腔医学,none,none,none,1,580,29975,1,581,27390,211,一流学科,公办,28683
广西医科大学,口腔医学,none,none,none,none,none,none,2,574,33080,省重点,none,公办,33080
沈阳医学院,口腔医学,1,570,54370,1,582,28117,1,580,28016,none,none,公办,36834
宁夏医科大学,口腔医学,2,582,41559,2,571,37652,2,571,35766,none,none,公办,38326
石河子大学,口腔医学,4,578,46417,4,572,36646,4,575,31960,211,一流学科,公办,38341
山东第一医科大学,口腔医学,125,577,47264,120,563,45083,120,564,42312,none,none,公办,44886
滨州医学院,口腔医学,80,575,49404,76,564,44334,76,564,42964,none,none,公办,45567
潍坊医学院,口腔医学,48,569,55456,48,560,48168,72,560,47035,none,none,公办,50220
湖北医药学院,口腔医学,none,none,none,1,556,52766,1,557,50213,none,none,公办,51490
西藏大学,口腔医学,none,none,none,1,544,69396,1,568,39000,211,一流学科,公办,54198
长沙医学院,口腔医学,2,561,65356,2,551,59772,2,552,57367,none,none,民办,60832
长治医学院,口腔医学,1,558,69717,1,551,59323,1,554,53899,none,none,公办,60980
济宁医学院,口腔医学,46,559,68994,44,552,58565,60,552,56470,none,none,公办,61343
丽水学院,口腔医学,2,555,73805,2,552,58758,2,556,52255,none,none,公办,61606
内蒙古医科大学,口腔医学,2,564,62406,none,none,none,none,none,none,省重点,none,公办,62406
桂林医学院,口腔医学,2,558,70326,2,547,64315,1,552,56466,none,none,公办,63702
海南医学院,口腔医学,2,556,71945,3,547,64244,3,551,58297,none,none,公办,64829
山东第一医科大学,口腔医学技术,25,557,71734,25,542,72215,25,544,67141,none,none,公办,70363
新疆医科大学,口腔医学,10,546,86470,8,546,65462,8,549,60229,省重点,none,公办,70720
川北医学院,口腔医学,5,551,79289,5,543,70381,5,546,64738,none,none,公办,71469
天津医科大学临床医学院,口腔医学,4,558,69161,4,541,73421,4,537,77984,none,none,民办,73522
昆明医科大学海源学院,口腔医学,2,545,88020,2,531,89604,2,530,89975,none,none,民办,89200
新疆第二医学院,口腔医学,none,none,none,3,522,104846,8,528,93200,none,none,公办,99023
