院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
北京大学,哲学类,1,688,198,none,none,none,none,none,none,"C9,985,211",一流大学,公办,198
河南大学,哲学,2,593,31778,2,579,30910,5,574,33508,省重点,一流学科,公办,32065
黑龙江大学,哲学,3,582,42432,3,572,36670,3,569,37693,none,none,公办,38932
湖北大学,哲学,3,591,33508,none,none,none,none,none,none,省重点,none,公办,33508
湖南师范大学,哲学,2,612,19250,4,595,19488,5,593,19075,211,一流学科,公办,19271
华东师范大学,哲学,1,650,4546,1,635,4012,2,632,3904,"985,211",一流大学,公办,4154
华侨大学,哲学(中西人文综合试验班),none,none,none,none,none,none,4,569,38073,"全国重点,省重点",none,公办,38073
吉林大学,哲学,2,633,9581,2,618,8755,4,612,9974,"985,211",一流大学,公办,9437
聊城大学,哲学,40,524,123860,40,513,123377,35,514,119700,none,none,公办,122312
聊城大学,哲学(地方专项计划),none,none,none,none,none,none,5,509,130764,none,none,公办,130764
聊城大学,政治学、经济学与哲学,73,521,128841,71,511,127298,66,510,128554,none,none,公办,128231
聊城大学,政治学、经济学与哲学(地方专项计划),none,none,none,none,none,none,5,517,114407,none,none,公办,114407
南昌大学,哲学,2,608,21739,2,590,22524,3,590,21273,211,一流学科,公办,21845
南京师范大学,哲学,2,627,11921,2,610,11962,2,608,11413,211,一流学科,公办,11765
内蒙古大学,哲学,1,597,28873,1,588,23904,1,584,25425,211,一流学科,公办,26067
内蒙古大学,政治学、经济学与哲学,none,none,none,1,575,34283,1,578,30082,211,一流学科,公办,32183
曲阜师范大学,哲学,48,549,82535,46,537,79744,48,536,79791,省重点,none,公办,80690
山东大学,哲学类,12,633,9414,12,617,8990,12,616,8294,"985,211",一流大学,公办,8899
山东师范大学,哲学,5,585,39502,15,570,38544,18,568,39108,省重点,none,公办,39051
山东师范大学,哲学(地方专项计划),5,569,56040,4,566,42773,4,563,44196,省重点,none,公办,47670
山西大学,哲学类,3,588,36591,5,568,39930,5,574,33594,省重点,一流学科,公办,36705
陕西师范大学,哲学(新文科班),none,none,none,none,none,none,4,597,17126,211,一流学科,公办,17126
深圳大学,哲学,1,611,19619,1,598,17570,1,591,20519,none,none,公办,19236
四川大学,哲学,1,646,5525,1,629,5570,2,624,5937,"985,211",一流大学,公办,5677
四川师范大学,哲学,none,none,none,none,none,none,2,564,43077,省重点,none,公办,43077
武汉大学,哲学类(含哲学国家拔尖学生培养基地),none,none,none,3,637,3728,2,643,2098,"985,211",一流大学,公办,2913
西北大学,哲学,2,615,17470,2,598,18040,2,594,18478,211,一流学科,公办,17996
西北师范大学,哲学,3,569,55411,2,556,53810,none,none,none,省重点,none,公办,54611
西北政法大学,哲学,2,606,22550,3,594,20427,3,590,21045,none,none,公办,21341
西藏民族大学,哲学,5,504,161201,10,496,158448,10,502,144460,none,none,公办,154703
西南政法大学,哲学,2,615,17692,2,599,17467,2,596,17700,全国重点,none,公办,17620
湘潭大学,哲学,3,588,36344,3,574,34345,3,574,33059,全国重点,一流学科,公办,34583
云南师范大学,哲学,none,none,none,none,none,none,2,549,60915,省重点,none,公办,60915
浙江工商大学,哲学,1,603,24451,2,582,28172,2,580,27778,省重点,none,公办,26800
中国社会科学院大学,哲学,3,645,5889,3,626,6406,3,618,7805,none,none,公办,6700
中国政法大学,哲学(拔尖创新人才培养实验班),none,none,none,3,625,6555,3,621,6617,211,一流学科,公办,6586
中山大学,哲学类(广州),2,651,4445,none,none,none,5,629,4547,"985,211",一流大学,公办,4496
中央民族大学,哲学类,2,639,7463,2,618,8567,5,610,10834,"985,211",一流大学,公办,8955
