院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
同济大学,工科试验班(土木与环境类),27,667,1631,29,644,2461,22,637,2919,"985,211",一流大学,公办,2337
哈尔滨工业大学,工科试验班(智能土木与智能交通本硕博连读),none,none,none,2,638,3343,none,none,none,"C9,985,211",一流大学,公办,3343
东南大学,工科试验班(土木交通材料实验班),27,654,3756,none,none,none,30,628,4787,"985,211",一流大学,公办,4272
华南理工大学,土木工程(卓越全英班),1,650,4494,1,629,5391,1,625,5654,"985,211",一流大学,公办,5180
厦门大学,土木类,2,646,5561,2,627,5887,2,623,6044,"985,211",一流大学,公办,5831
华南理工大学,土木类,none,none,none,2,627,5872,none,none,none,"985,211",一流大学,公办,5872
华南理工大学,工科试验班(智慧土木与数字建造),none,none,none,none,none,none,2,623,6178,"985,211",一流大学,公办,6178
四川大学,土木工程,6,641,6950,6,621,7866,5,615,8935,"985,211",一流大学,公办,7917
湖南大学,土木工程(智能土木实验班),none,none,none,none,none,none,2,611,10256,"985,211",一流大学,公办,10256
山东大学,土木类,20,632,9670,18,614,10421,30,607,12005,"985,211",一流大学,公办,10699
大连理工大学,土木类(智慧基础设施与土木类创新班),16,630,10755,16,609,12222,3,605,12936,"985,211",一流大学,公办,11971
北京交通大学,土木类(智慧建造与智能工程),18,631,10319,20,608,12735,17,598,16458,211,一流学科,公办,13171
北京工业大学,土木工程(茅以升班),2,623,13337,none,none,none,none,none,none,211,一流学科,公办,13337
哈尔滨工业大学(威海),土木工程,17,623,13526,none,none,none,none,none,none,"C9,985,211",一流大学,公办,13526
中南大学,土木类(土木安全类),40,629,10882,40,605,13882,35,597,16868,"985,211",一流大学,公办,13877
湖南大学,土木类,20,626,12236,20,605,13945,18,597,16716,"985,211",一流大学,公办,14299
南京航空航天大学,土木工程,3,623,13663,3,604,14638,2,597,16662,211,一流学科,公办,14988
北京科技大学,土木类,9,624,12993,9,603,14928,9,594,18697,211,一流学科,公办,15539
华北电力大学(北京),土木类,1,622,13749,1,603,14958,1,593,19102,211,一流学科,公办,15936
中国海洋大学,土木类,28,620,14818,28,601,16375,28,594,18442,"985,211",一流大学,公办,16545
吉林大学,土木类,15,620,14982,15,600,16423,15,594,18800,"985,211",一流大学,公办,16735
北京工业大学,土木类,3,621,14381,4,602,15830,9,588,22163,211,一流学科,公办,17458
河海大学,土木工程,8,616,16890,8,598,17640,8,591,20398,211,一流学科,公办,18309
深圳大学,土木工程,1,612,18914,1,596,19042,none,none,none,none,none,公办,18978
西南交通大学,土木工程,20,611,19509,15,594,20059,13,588,22210,211,一流学科,公办,20593
深圳大学,土木工程(卓越班),none,none,none,none,none,none,1,591,20654,none,none,公办,20654
中南大学,土木工程(中外合作办学),10,607,21899,none,none,none,none,none,none,"985,211",一流大学,公办,21899
华北电力大学(保定),土木类,2,610,20118,2,592,21352,3,585,24635,211,一流学科,公办,22035
西南大学,土木类,2,610,20199,2,590,22847,2,583,25493,211,一流学科,公办,22846
北京林业大学,土木工程,4,611,19903,4,590,22540,4,582,26210,211,一流学科,公办,22884
武汉理工大学,土木类,26,611,20026,25,591,22160,30,582,26647,211,一流学科,公办,22944
江南大学,土木工程,9,608,21405,4,589,23042,4,583,26012,211,一流学科,公办,23486
中国地质大学(北京),土木工程,3,608,21259,4,590,22395,4,581,27177,211,一流学科,公办,23610
中南大学,土木工程(中外合作办学)(与蒙纳士大学中外合作办学项目),none,none,none,10,590,22439,10,583,25707,"985,211",一流大学,公办,24073
郑州大学,土木类,8,606,22757,8,587,24636,10,580,28262,211,一流大学,公办,25218
河北工业大学,土木工程,none,none,none,none,none,none,2,583,25630,211,一流学科,公办,25630
陆军工程大学,土木工程(全国人防工程建筑结构设计与施工工程师),1,609,20863,1,585,25810,1,577,30555,none,none,军校,25743
中国矿业大学(北京),土木工程,10,603,24553,9,586,25268,10,580,28006,211,一流学科,公办,25942
太原理工大学,土木工程(试验班),2,600,26512,1,586,25286,1,582,26251,211,一流学科,公办,26016
福州大学,土木工程,2,607,22025,4,585,25983,4,577,30843,211,一流学科,公办,26284
中国地质大学(武汉),土木类,6,601,25879,6,583,27241,none,none,none,211,一流学科,公办,26560
西北农林科技大学,土木工程,8,599,27432,7,584,26999,2,583,25742,"985,211",一流大学,公办,26724
中国石油大学(华东),土木工程,28,601,26235,24,583,27095,21,580,28208,211,一流学科,公办,27179
大连海事大学,土木工程,3,599,27251,none,none,none,none,none,none,211,一流学科,公办,27251
南昌大学,土木类,5,600,27035,3,584,26929,4,578,30039,211,一流学科,公办,28001
合肥工业大学,土木类,29,601,26249,24,582,28374,8,578,29830,211,一流学科,公办,28151
中国矿业大学,土木类,20,598,28271,20,581,28979,14,577,30502,211,一流学科,公办,29251
太原理工大学,土木工程,5,597,28556,6,581,29131,8,577,30894,211,一流学科,公办,29527
云南大学,土木工程,3,597,28933,3,580,29909,3,576,31684,211,一流大学,公办,30175
长安大学,土木类,30,598,28305,29,580,29676,28,574,32951,211,一流学科,公办,30311
北京建筑大学,土木工程(实验班),1,596,29487,3,578,31389,3,573,33779,省重点,none,公办,31552
江苏大学,土木工程,2,596,29597,2,577,31920,2,573,34039,"全国重点,省重点",none,公办,31852
西南交通大学,土木类(中外合作办学),4,593,32054,3,577,32304,none,none,none,211,一流学科,公办,32179
海南大学,土木工程,3,594,31013,4,578,31337,8,572,35324,211,一流学科,公办,32558
贵州大学,土木类,4,593,31861,4,577,32105,4,572,34960,211,一流学科,公办,32975
宁波大学,土木工程,3,594,31027,5,575,33447,3,572,34923,省重点,一流学科,公办,33132
西安建筑科技大学,土木工程,8,594,31008,7,576,33235,9,570,36809,省重点,none,公办,33684
北京建筑大学,土木工程(城市道路与桥梁工程),2,596,29613,3,577,32206,1,567,40232,省重点,none,公办,34017
浙江工业大学,土木类,5,595,30207,5,573,35555,5,569,38303,省重点,none,公办,34688
北京建筑大学,土木工程(建筑工程),none,none,none,none,none,none,2,571,35546,省重点,none,公办,35546
四川农业大学,土木工程,3,588,36091,3,575,33628,3,570,37234,211,一流学科,公办,35651
南京林业大学,土木类,8,590,34592,4,575,34060,4,568,38679,省重点,一流学科,公办,35777
扬州大学,土木工程,1,591,33458,2,572,36145,2,568,39261,省重点,none,公办,36288
南京工业大学,土木类,12,594,31475,12,574,35120,12,564,42863,省重点,none,公办,36486
东北林业大学,土木工程,17,590,34575,18,572,36447,18,567,39776,211,一流学科,公办,36933
河南大学,土木工程,3,587,37083,3,572,36847,none,none,none,省重点,一流学科,公办,36965
延边大学,土木工程,3,590,34855,3,572,36776,3,566,40678,211,一流学科,公办,37436
上海大学,土木工程(中外合作办学),none,none,none,none,none,none,2,569,37526,211,一流学科,公办,37526
广西大学,土木工程,20,590,34368,20,572,36540,20,565,41962,211,一流学科,公办,37623
武汉科技大学,土木类,4,589,35269,4,572,36617,4,564,42616,省重点,none,公办,38167
成都理工大学,土木工程,10,590,34228,8,571,37793,8,564,42615,省重点,一流学科,公办,38212
浙江理工大学,土木类,6,592,33161,6,572,36723,3,561,45975,省重点,none,公办,38620
河海大学,土木工程(中外合作办学)(河海里尔学院),none,none,none,4,572,36671,5,564,42638,211,一流学科,公办,39655
上海师范大学,土木工程(道桥工程),5,588,36099,5,565,43284,none,none,none,省重点,none,公办,39692
西安理工大学,土木工程,4,589,35764,4,569,39043,4,562,44506,省重点,none,公办,39771
长沙理工大学,土木工程(智能土木卓越班),none,none,none,none,none,none,1,566,40363,省重点,none,公办,40363
内蒙古大学,土木工程,none,none,none,3,570,38391,8,564,42528,211,一流学科,公办,40460
湘潭大学,土木工程,3,587,36794,3,568,40138,6,562,44801,全国重点,一流学科,公办,40578
燕山大学,土木类,12,589,35334,12,568,39991,6,560,47618,全国重点,none,公办,40981
苏州科技大学,土木工程,2,585,38730,4,569,39686,4,561,46104,none,none,公办,41507
长沙理工大学,土木工程,9,585,38745,7,568,39974,7,561,46599,省重点,none,公办,41773
西南交通大学,土木工程(中外合作办学),none,none,none,none,none,none,5,565,41919,211,一流学科,公办,41919
中国矿业大学,土木工程(中外合作办学),none,none,none,none,none,none,8,563,44042,211,一流学科,公办,44042
华南农业大学,土木工程,none,none,none,none,none,none,1,563,44208,全国重点,一流学科,公办,44208
三峡大学,土木工程,2,580,44291,none,none,none,none,none,none,省重点,none,公办,44291
汕头大学,土木工程,2,587,37312,2,564,44062,4,555,53179,省重点,none,公办,44851
河北大学,土木工程,5,583,40960,5,564,44793,2,557,50328,省重点,none,公办,45360
西南石油大学,土木工程,6,577,47459,6,566,42464,6,560,46904,省重点,一流学科,公办,45609
大连交通大学,土木工程,2,582,42225,2,562,46286,2,558,49247,省重点,none,公办,45919
广州大学,土木类,6,584,39898,6,562,46282,6,556,51621,none,none,公办,45934
江苏科技大学,土木工程,3,583,41176,6,562,46047,6,556,52279,省重点,none,公办,46501
湖北工业大学,土木类,2,579,45298,5,560,49087,none,none,none,省重点,none,公办,47193
西安科技大学,土木工程,2,578,45702,2,561,47339,2,557,50441,省重点,none,公办,47827
西交利物浦大学,土木类(中外合作办学),1,583,40630,2,560,49073,2,554,54396,省重点,none,中外合作办学,48033
哈尔滨工程大学,土木工程(中外合作办学),6,577,47382,7,563,45518,7,555,52859,211,一流学科,公办,48586
重庆交通大学,土木类,7,577,46876,6,561,48113,6,555,53117,省重点,none,公办,49369
兰州交通大学,土木工程(卓越计划班),1,573,51569,1,565,43440,2,554,53893,省重点,none,公办,49634
石家庄铁道大学,土木工程,7,574,50451,8,562,46325,8,555,52732,全国重点,none,公办,49836
大连海事大学,土木工程(中外合作办学),7,575,49588,8,560,48319,8,556,52227,211,一流学科,公办,50045
沈阳建筑大学,土木工程,3,575,48943,2,558,50840,2,557,50751,省重点,none,公办,50178
华侨大学,土木类,6,581,42933,9,559,50054,12,551,58607,"全国重点,省重点",none,公办,50531
长沙理工大学,土木工程(创新人才培养班),none,none,none,none,none,none,1,557,51097,省重点,none,公办,51097
山西大学,土木工程,none,none,none,none,none,none,5,556,51635,省重点,一流学科,公办,51635
浙江农林大学,土木工程,1,579,45306,1,558,50831,1,549,60842,省重点,none,公办,52326
中国民航大学,土木工程,6,573,51978,4,557,51702,4,553,55141,省重点,none,公办,52940
常州大学,土木工程,2,569,55396,none,none,none,none,none,none,省重点,none,公办,55396
华东交通大学,土木工程,4,575,48912,10,555,54134,12,547,63947,省重点,none,公办,55664
南通大学,土木工程,2,572,52747,2,555,53956,2,548,62150,省重点,none,公办,56284
温州大学,土木工程,3,569,55849,2,553,56482,2,547,63046,省市共建,none,公办,58459
南京工业大学,土木工程(中外合作办学),none,none,none,3,554,56118,3,548,62177,省重点,none,公办,59148
新疆大学,土木工程,10,557,71782,11,557,52081,11,553,55220,211,一流大学,公办,59694
青海大学,土木、水利与交通工程,none,none,none,none,none,none,2,549,60764,211,一流学科,公办,60764
湖北工业大学,土木工程,none,none,none,none,none,none,4,549,60913,省重点,none,公办,60913
长沙理工大学,土木工程(中外合作办学),2,569,55582,2,556,52704,2,538,76801,省重点,none,公办,61696
西安建筑科技大学,土木工程(中外合作办学),2,569,55374,2,556,53198,2,537,77935,省重点,none,公办,62169
东北电力大学,土木工程,12,569,56060,13,550,60366,12,540,73454,省重点,none,公办,63293
兰州交通大学,土木工程,3,565,60146,3,548,63082,3,543,69505,省重点,none,公办,64244
石家庄铁道大学,土木类,none,none,none,23,551,59715,28,543,69401,全国重点,none,公办,64558
河南大学,土木工程(中外合作办学)(与美国迈阿密大学合作办学),5,558,69244,5,549,61578,none,none,none,省重点,一流学科,公办,65411
黑龙江大学,土木类,2,561,65869,2,546,65934,none,none,none,none,none,公办,65902
青海大学,土木工程,12,559,68687,12,549,62656,12,545,66586,211,一流学科,公办,65976
苏州科技大学,土木工程(中外合作办学),2,567,58754,2,546,65897,4,540,73421,none,none,公办,66024
上海师范大学,土木工程(中外合作办学)(中英合作),8,561,65299,6,547,64275,10,540,72871,省重点,none,公办,67482
石河子大学,土木工程,none,none,none,8,544,68645,7,543,68599,211,一流学科,公办,68622
北方工业大学,土木工程(中外合作办学),none,none,none,2,550,60875,2,538,76561,省重点,none,公办,68718
西安工业大学,土木工程,3,558,69282,3,545,67866,3,542,70420,none,none,公办,69189
中北大学,土木类,10,562,64800,8,542,71658,9,537,78459,省重点,none,公办,71639
湖南科技大学,土木工程,6,559,68070,6,543,70783,9,535,82224,省重点,none,公办,73692
安徽理工大学,土木工程,6,559,68181,10,541,72782,10,536,80321,省重点,none,公办,73761
沈阳工业大学,土木工程,4,555,74036,4,539,75822,none,none,none,省重点,none,公办,74929
山东科技大学,土木类,196,558,69209,196,540,75165,118,535,81269,省重点,none,公办,75214
西安石油大学,土木工程,2,554,75386,2,539,75960,3,537,78256,none,none,公办,76534
黑龙江大学,土木工程,none,none,none,none,none,none,4,538,77028,none,none,公办,77028
大连大学,土木工程,3,553,77112,4,538,77043,4,537,78045,省重点,none,公办,77400
长江大学,土木类(含省荆楚卓越人才协同育人计划),none,none,none,4,537,79631,none,none,none,省重点,none,公办,79631
华北理工大学,土木工程,5,553,76635,6,537,78837,4,533,84960,省重点,none,公办,80144
桂林电子科技大学,土木工程,4,556,72875,5,537,78855,2,528,92958,省重点,none,公办,81563
安徽工业大学,土木工程,2,552,78271,5,536,81061,5,531,87890,省重点,none,公办,82407
西南科技大学,土木类,5,552,78161,5,536,80758,5,529,91408,省重点,none,公办,83442
南京工程学院,土木类,5,550,80514,5,535,82770,6,530,89263,none,none,公办,84182
华北水利水电大学,土木工程,10,551,79334,10,535,82775,10,529,91144,省重点,none,公办,84418
山东科技大学,土木类(地方专项计划),21,552,77647,20,535,81813,40,526,96458,省重点,none,公办,85306
西华大学,土木工程,none,none,none,6,536,81329,6,529,91079,省重点,none,公办,86204
天津城建大学,土木类,7,551,80293,8,533,85583,7,528,93187,none,none,公办,86354
河北科技大学,土木工程,5,546,86699,none,none,none,none,none,none,省重点,none,公办,86699
中南林业科技大学,土木类,6,549,82692,6,533,85722,6,524,99897,省重点,none,公办,89437
西安科技大学,土木工程(中外合作办学),6,549,82427,6,529,91831,2,526,96284,省重点,none,公办,90181
西安理工大学,土木工程(中外合作办学),none,none,none,3,534,84116,3,526,96920,省重点,none,公办,90518
安徽建筑大学,土木工程,2,544,89650,2,531,89460,2,528,92969,省重点,none,公办,90693
长江大学,土木类,none,none,none,none,none,none,10,529,91816,省重点,none,公办,91816
大连海洋大学,土木工程,2,546,86723,4,530,90566,2,525,98432,省重点,none,公办,91907
青岛理工大学,土木类,259,548,83931,242,530,90457,222,522,103218,省重点,none,公办,92535
厦门理工学院,土木工程,5,542,92879,5,528,93465,none,none,none,省重点,none,公办,93172
河北科技大学,土木类,none,none,none,5,531,89133,5,524,100586,省重点,none,公办,94860
河南工业大学,土木工程,4,545,87742,4,529,92235,4,521,105297,省重点,none,公办,95091
西安工程大学,土木类,7,541,94204,5,529,91665,5,524,99880,none,none,公办,95250
兰州理工大学,土木工程,3,541,95024,3,528,93847,3,525,98266,none,none,公办,95712
江西理工大学,软件工程(土木方向),2,538,100500,1,528,94351,2,527,94706,省重点,none,公办,96519
西藏大学,土木工程,3,533,108102,3,527,96638,4,529,90799,211,一流学科,公办,98513
浙江科技学院,土木工程,3,540,95990,3,525,99018,2,524,100645,none,none,公办,98551
湖南工业大学,土木类,2,543,91320,5,527,96751,6,520,108053,省重点,none,公办,98708
济南大学,土木类,114,543,91719,160,526,97221,99,520,108371,省重点,none,公办,99104
河南理工大学,土木类,3,538,99236,3,526,97954,3,520,108140,省重点,none,公办,101777
河北工程大学,土木工程,4,536,102561,4,524,101860,3,521,105879,省重点,none,公办,103433
东北电力大学,土木工程(中外合作办学),none,none,none,5,529,92128,5,516,116046,省重点,none,公办,104087
济南大学,土木类(地方专项计划),8,540,96411,10,523,102419,21,516,115198,省重点,none,公办,104676
金陵科技学院,土木工程,1,537,101791,1,525,99189,1,517,114600,none,none,公办,105193
山东建筑大学,土木工程,221,538,99591,189,524,102024,199,517,114574,省重点,none,公办,105396
东莞理工学院,土木工程,2,534,107039,none,none,none,none,none,none,省重点,none,公办,107039
湖南农业大学,土木工程,none,none,none,none,none,none,4,520,107054,省重点,none,公办,107054
江西理工大学,土木类,4,538,99778,2,521,106326,3,515,116850,省重点,none,公办,107651
山东建筑大学,土木工程(地方专项计划),5,538,99571,10,521,107291,20,516,116197,省重点,none,公办,107686
浙大城市学院,土木工程,5,537,100854,10,521,106176,15,515,118573,none,none,公办,108534
南华大学,土木类,20,539,98312,20,522,104255,20,511,126199,none,none,公办,109589
东华理工大学,土木类,none,none,none,10,523,103084,10,513,121017,省重点,none,公办,112051
辽宁工业大学,土木工程,2,531,111430,2,519,109991,2,515,117178,none,none,公办,112866
山东建筑大学,土木工程(济南走读),none,none,none,10,520,108259,15,513,122449,省重点,none,公办,115354
江苏海洋大学,土木工程,1,529,115577,none,none,none,none,none,none,none,none,公办,115577
烟台大学,土木工程,115,530,112755,95,517,114067,95,512,123675,省重点,none,公办,116832
昆明理工大学,土木工程(中外合作办学),10,530,112697,10,517,113700,5,509,129504,省重点,none,公办,118634
大连交通大学,土木工程(中外合作办学),3,531,111344,2,514,120125,2,510,127559,省重点,none,公办,119676
河北地质大学,土木类,3,521,128859,3,514,119529,3,512,122966,省重点,none,公办,123785
沈阳大学,土木工程,none,none,none,7,513,122097,8,509,130105,省重点,none,公办,126101
北华大学,土木工程,3,522,128043,3,510,128134,3,508,131927,省重点,none,公办,129368
江西农业大学,土木工程,none,none,none,2,511,126441,2,507,133580,全国重点,none,公办,130011
辽宁工程技术大学,土木工程,2,520,130653,2,509,130393,2,509,129299,全国重点,none,公办,130115
济南大学,土木类(济南走读),none,none,none,none,none,none,35,508,132418,省重点,none,公办,132418
山东理工大学,土木工程(地方专项计划),10,522,126871,11,507,135389,10,505,137753,省重点,none,公办,133338
山东理工大学,土木工程,154,521,129841,155,507,134371,164,504,141546,省重点,none,公办,135253
东北石油大学,土木工程,7,519,133378,9,506,136148,12,503,143000,全国重点,none,公办,137509
云南农业大学,土木工程,2,516,137711,1,505,138088,1,505,137982,省重点,none,公办,137927
山东农业大学,土木类,128,515,140693,80,506,137600,40,506,136208,省重点,none,公办,138167
桂林理工大学,土木工程,8,518,135547,6,506,136167,4,503,143597,省重点,none,公办,138437
黑龙江科技大学,土木工程,5,516,138541,3,504,142125,none,none,none,省重点,none,公办,140333
湖南理工学院,土木工程,2,517,136214,2,504,140677,2,501,147102,none,none,公办,141331
嘉兴学院,土木工程,4,514,141711,none,none,none,none,none,none,none,none,公办,141711
哈尔滨理工大学,土木工程,34,515,139998,50,503,143813,38,501,147105,省重点,none,公办,143639
辽宁石油化工大学,土木工程,2,514,142626,2,502,146116,none,none,none,省重点,none,公办,144371
鲁东大学,土木工程,212,517,136012,248,502,144530,255,497,155529,none,none,公办,145357
广西科技大学,土木工程,2,511,147963,2,505,139428,3,500,149560,none,none,公办,145650
东北石油大学,土木工程(国际实验班),1,512,146887,none,none,none,none,none,none,全国重点,none,公办,146887
吉林建筑大学,土木工程,14,516,138448,14,502,144840,15,497,157623,省重点,none,公办,146970
湖北工程学院,土木工程,1,511,147415,none,none,none,none,none,none,none,none,公办,147415
北华航天工业学院,土木工程,1,510,149933,1,503,144255,2,497,155556,none,none,公办,149915
江西科技师范大学,土木工程(含职教师范),2,510,149258,2,501,147061,2,497,155870,none,none,公办,150730
内蒙古工业大学,土木工程(交通土建方向),2,509,151547,none,none,none,none,none,none,省重点,none,公办,151547
青岛农业大学,土木工程,130,513,144534,196,500,149821,196,495,160455,省重点,none,公办,151603
河北农业大学,土木类,none,none,none,none,none,none,10,499,151705,省重点,none,公办,151705
齐齐哈尔大学,土木工程,2,510,149491,3,500,150003,3,497,156760,省重点,none,公办,152085
