院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
北京大学,环境科学(环境、生态、地理与资源环境),2,690,145,none,none,none,none,none,none,"C9,985,211",一流大学,公办,145
华东师范大学,地理信息科学,2,651,4374,1,637,3700,1,633,3702,"985,211",一流大学,公办,3925
华东师范大学,人文地理与城乡规划,2,650,4602,2,634,4215,2,627,4931,"985,211",一流大学,公办,4583
中国农业大学,地理科学类,3,636,8316,4,616,9425,4,608,11423,"985,211",一流大学,公办,9721
南京师范大学,地理科学类,5,625,12605,5,606,13772,5,605,13020,211,一流学科,公办,13132
西南大学,地理科学类,2,616,16947,2,603,15113,3,599,15970,211,一流学科,公办,16010
东北师范大学,地理科学类,5,617,16330,3,600,16714,3,597,16727,211,一流学科,公办,16590
湖南师范大学,地理科学(师范类),2,616,17045,2,598,17734,none,none,none,211,一流学科,公办,17390
北京林业大学,自然地理与资源环境,3,619,15484,3,598,17737,3,593,19031,211,一流学科,公办,17417
河海大学,地理信息科学,3,616,17135,3,597,18187,4,593,19070,211,一流学科,公办,18131
深圳大学,地理空间信息工程(智慧城市),none,none,none,none,none,none,1,595,18131,none,none,公办,18131
武汉理工大学,地理科学类,5,614,18158,none,none,none,none,none,none,211,一流学科,公办,18158
中国地质大学(北京),地理信息科学,3,612,19037,3,595,19346,3,595,17924,211,一流学科,公办,18769
河海大学,自然地理与资源环境,2,617,16507,2,596,18642,2,589,21433,211,一流学科,公办,18861
武汉理工大学,地理信息科学,none,none,none,6,595,19503,6,592,19936,211,一流学科,公办,19720
中国石油大学(华东),地理信息科学,4,613,18784,8,593,20720,8,590,20986,211,一流学科,公办,20163
合肥工业大学,地理信息科学,2,609,21224,2,593,20896,2,588,22205,211,一流学科,公办,21442
西北农林科技大学,地理信息科学,3,606,22885,3,592,21413,3,592,20136,"985,211",一流大学,公办,21478
南京信息工程大学,地理信息科学(与中国科学院大学联合培养),2,608,21502,none,none,none,none,none,none,全国重点,一流学科,公办,21502
西北大学,地理科学类,none,none,none,6,592,21087,4,589,21971,211,一流学科,公办,21529
湖南师范大学,地理信息科学,2,606,22672,2,592,21284,4,589,21646,211,一流学科,公办,21867
华南师范大学,人文地理与城乡规划,none,none,none,none,none,none,3,588,22582,211,一流学科,公办,22582
湖南师范大学,人文地理与城乡规划,2,606,22725,4,590,22741,4,585,24311,211,一流学科,公办,23259
华中农业大学,地理信息科学,3,604,24335,3,591,22268,3,587,23252,211,一流学科,公办,23285
南京农业大学,人文地理与城乡规划,5,606,22775,5,590,22960,5,584,24987,211,一流学科,公办,23574
中国地质大学(武汉),地理科学类,9,604,24151,9,588,23936,9,586,23817,211,一流学科,公办,23968
南京信息工程大学,地理信息科学,3,601,25777,2,589,23391,2,586,23848,全国重点,一流学科,公办,24339
南京信息工程大学,人文地理与城乡规划,2,602,25376,2,587,24677,2,584,25141,全国重点,一流学科,公办,25065
南京信息工程大学,地理科学类,none,none,none,3,584,26676,3,582,26304,全国重点,一流学科,公办,26490
南京信息工程大学,自然地理与资源环境,2,602,25366,2,584,26995,2,581,27579,全国重点,一流学科,公办,26647
云南大学,地理信息科学,4,599,27630,4,584,26608,3,583,26084,211,一流大学,公办,26774
云南大学,地理科学,6,599,27634,4,584,26878,5,581,27511,211,一流大学,公办,27341
北京第二外国语学院,人文地理与城乡规划(旅游规划与开发),2,599,27721,none,none,none,none,none,none,省重点,none,公办,27721
南京信息工程大学,地理空间信息工程,none,none,none,2,582,28420,2,580,28395,全国重点,一流学科,公办,28408
河南大学,地理科学类,4,594,31533,5,578,31617,5,578,29791,省重点,一流学科,公办,30980
