院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
安徽理工大学,地质工程,6,535,104691,6,521,106621,8,512,123854,省重点,none,公办,111722
成都理工大学,地质工程,10,585,38959,8,567,41213,8,561,46023,省重点,一流学科,公办,42065
成都理工大学,地质学类,10,591,33395,4,574,35025,6,569,37918,省重点,一流学科,公办,35446
东北石油大学,地质学类,6,533,108964,3,519,109959,3,521,105626,全国重点,none,公办,108183
东华理工大学,地质类,none,none,none,6,520,107866,6,509,129912,省重点,none,公办,118889
东华理工大学,地质学类,none,none,none,6,516,115656,6,516,115195,省重点,none,公办,115426
防灾科技学院,地质工程,3,505,159551,3,494,163866,3,499,151379,none,none,公办,158265
防灾科技学院,地质学,2,535,105315,4,522,105875,2,521,106937,none,none,公办,106042
贵州理工学院,地质工程,none,none,none,2,476,204563,2,474,211749,none,none,公办,208156
桂林理工大学,地质工程,2,515,139660,2,503,143011,2,501,147812,省重点,none,公办,143494
合肥工业大学,地质类,4,600,26598,2,581,28913,2,578,30059,211,一流学科,公办,28523
河北地质大学,地质类,4,529,114907,6,520,108332,6,516,115336,省重点,none,公办,112858
河北地质大学,地质学类,2,541,95500,none,none,none,none,none,none,省重点,none,公办,95500
河北工程大学,地质工程,2,531,111172,2,519,111148,2,514,120807,省重点,none,公办,114376
河海大学,地质工程,4,612,18867,4,595,19593,3,589,21835,211,一流学科,公办,20098
河南理工大学,地质工程,3,535,105070,3,521,106818,2,516,115242,省重点,none,公办,109043
黑龙江科技大学,地质工程,5,508,154621,none,none,none,none,none,none,省重点,none,公办,154621
华北科技学院,地质工程,3,504,161790,none,none,none,none,none,none,none,none,公办,161790
华北理工大学,地质工程,none,none,none,none,none,none,5,508,131507,省重点,none,公办,131507
华北水利水电大学,地质工程,5,550,80801,5,533,85724,5,528,92488,省重点,none,公办,86338
华北水利水电大学,地质工程(中外合作办学)(灾害管理),5,506,157846,5,495,160814,5,489,174042,省重点,none,公办,164234
吉林大学,地质类,22,614,17960,25,596,18670,24,591,20497,"985,211",一流大学,公办,19042
吉林建筑大学,地质工程,none,none,none,5,493,165210,4,492,167581,省重点,none,公办,166396
吉林建筑大学,地质类,6,505,159294,none,none,none,none,none,none,省重点,none,公办,159294
江西理工大学,地质工程,2,534,107259,2,519,110782,3,510,127349,省重点,none,公办,115130
昆明理工大学,地质工程,2,568,57299,2,548,63734,2,538,76523,省重点,none,公办,65852
内蒙古工业大学,地质工程,4,497,175497,3,492,168367,3,491,170405,省重点,none,公办,171423
内蒙古科技大学,地质工程,5,503,163766,none,none,none,none,none,none,none,none,公办,163766
青海大学,地质工程,2,558,69250,2,545,67585,2,547,63366,211,一流学科,公办,66734
三峡大学,地质工程,3,568,57651,none,none,none,none,none,none,省重点,none,公办,57651
山东科技大学,地质工程,13,560,66828,39,542,71800,36,537,77439,省重点,none,公办,72022
山西工程技术学院,地质工程,none,none,none,2,483,188909,2,478,201831,none,none,公办,195370
宿州学院,地质类,none,none,none,4,482,190120,none,none,none,none,none,公办,190120
太原理工大学,地质工程,2,597,28578,2,578,31415,4,574,33653,211,一流学科,公办,31215
天津城建大学,地质工程,1,541,94624,1,536,80878,1,533,84313,none,none,公办,86605
西安科技大学,地质工程,2,575,49039,2,557,52011,2,554,54523,省重点,none,公办,51858
西安石油大学,地质工程,1,556,72707,1,545,67302,1,543,69027,none,none,公办,69679
西安石油大学,地质学,1,567,58122,1,556,53383,1,556,52397,none,none,公办,54634
西北大学,地质类,none,none,none,4,583,27574,4,579,28705,211,一流学科,公办,28140
西北大学,地质学,2,612,19201,2,594,19851,2,589,21547,211,一流学科,公办,20200
西南交通大学,地质工程,6,609,20899,6,584,26402,6,580,28019,211,一流学科,公办,25107
西南石油大学,地质学,3,582,42394,3,566,42394,4,563,43667,省重点,一流学科,公办,42818
新疆大学,地质工程,4,553,76917,5,547,64378,5,549,60605,211,一流大学,公办,67300
新疆工程学院,地质工程,6,479,213238,7,471,215740,7,470,221434,none,none,公办,216804
云南大学,地质学,5,596,29373,4,579,30734,4,577,31006,211,一流大学,公办,30371
长安大学,地质工程,4,599,27612,4,579,30372,5,576,31699,211,一流学科,公办,29894
长安大学,地质学类,3,599,27475,5,580,29934,none,none,none,211,一流学科,公办,28705
长春工程学院,地质工程,2,499,172261,2,491,169222,none,none,none,none,none,公办,170742
长江大学,地质学,none,none,none,none,none,none,5,540,73105,省重点,none,公办,73105
长江大学,地质学类,none,none,none,6,541,72709,none,none,none,省重点,none,公办,72709
中国地质大学(北京),地质工程,4,603,24650,4,584,26857,2,579,28801,211,一流学科,公办,26769
中国地质大学(北京),地质类(能源类),none,none,none,9,579,30434,9,577,30690,211,一流学科,公办,30562
中国地质大学(北京),地质学(基地班),2,617,16498,2,598,17555,none,none,none,211,一流学科,公办,17027
中国地质大学(北京),地质学(理科基地班),none,none,none,none,none,none,2,593,19040,211,一流学科,公办,19040
中国地质大学(北京),地质学类(地质地矿类),12,605,23558,10,585,26128,10,579,28743,211,一流学科,公办,26143
中国地质大学(武汉),地质类,7,599,27351,7,582,28521,none,none,none,211,一流学科,公办,27936
