院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
苏州大学,城市管理,1,624,12965,1,605,13844,none,none,none,211,一流学科,公办,13405
深圳大学,地理空间信息工程(智慧城市),none,none,none,none,none,none,1,595,18131,none,none,公办,18131
西南交通大学,城市设计,none,none,none,1,595,19426,1,592,19640,211,一流学科,公办,19533
西南交通大学,城市地下空间工程,none,none,none,2,589,23250,2,587,22760,211,一流学科,公办,23005
中国矿业大学(北京),城市地下空间工程,3,602,25293,3,585,26203,3,581,26997,211,一流学科,公办,26164
北京建筑大学,电气工程及其自动化(城市电网),none,none,none,1,585,26230,1,582,26241,省重点,none,公办,26236
中国地质大学(北京),城市地下空间工程,none,none,none,2,586,25316,2,581,27447,211,一流学科,公办,26382
长安大学,城市地下空间工程,none,none,none,2,584,26785,2,582,26749,211,一流学科,公办,26767
北京建筑大学,城市管理(实验班),1,597,29026,none,none,none,none,none,none,省重点,none,公办,29026
太原理工大学,城市地下空间工程,4,596,29735,4,579,30298,4,575,31984,211,一流学科,公办,30672
西安建筑科技大学,城市设计,none,none,none,1,582,28391,3,573,34287,省重点,none,公办,31339
合肥工业大学(宣城校区),城市地下空间工程,8,595,30718,6,578,31107,7,573,34216,211,一流学科,公办,32014
北方工业大学,城市地下空间工程(智慧城市),2,591,33934,2,571,37787,none,none,none,省重点,none,公办,35861
西安理工大学,城市地下空间工程,2,584,39694,2,566,42214,2,557,50144,省重点,none,公办,44017
南京工业大学,城市地下空间工程,none,none,none,none,none,none,4,561,46103,省重点,none,公办,46103
西南石油大学,城市地下空间工程,3,577,46882,3,561,47878,3,560,46779,省重点,一流学科,公办,47180
西安建筑科技大学,城市地下空间工程,3,581,42760,3,563,45663,3,554,54684,省重点,none,公办,47702
长沙理工大学,城市地下空间工程,none,none,none,2,564,44794,2,556,52374,省重点,none,公办,48584
西安建筑科技大学,城市管理,2,580,44447,2,559,49347,2,551,58549,省重点,none,公办,50781
西安科技大学,城市地下空间工程,2,576,48083,2,556,53224,2,549,60327,省重点,none,公办,53878
浙江农林大学,城市管理,none,none,none,1,555,53884,1,553,55231,省重点,none,公办,54558
温州大学,城市地下空间工程,none,none,none,none,none,none,2,543,69152,省市共建,none,公办,69152
西安工业大学,城市地下空间工程,2,555,73956,2,546,66592,2,541,71792,none,none,公办,70780
青岛科技大学,城市管理,29,555,74503,36,539,76201,10,537,78023,省重点,none,公办,76242
沈阳建筑大学,城市管理,1,547,86023,1,534,84161,none,none,none,省重点,none,公办,85092
安徽理工大学,城市地下空间工程,4,542,92774,4,525,100398,4,516,115647,省重点,none,公办,102940
南华大学,城市地下空间工程,8,536,102456,8,520,108287,8,516,116309,none,none,公办,109017
山东建筑大学,城市地下空间工程,49,528,116510,53,515,119127,44,510,127435,省重点,none,公办,121024
吉林建筑大学,城市管理,2,520,130619,2,509,130762,2,506,137246,省重点,none,公办,132876
山东建筑大学,城市地下空间工程(济南走读),none,none,none,none,none,none,10,501,148483,省重点,none,公办,148483
辽宁石油化工大学,城市地下空间工程,1,511,147279,1,500,149307,2,499,152327,省重点,none,公办,149638
防灾科技学院,城市地下空间工程,3,507,155653,5,496,158704,3,494,163285,none,none,公办,159214
吉林建筑大学,城市地下空间工程,4,511,147390,4,496,157934,4,490,173688,省重点,none,公办,159671
华北科技学院,城市地下空间工程,2,504,161541,none,none,none,none,none,none,none,none,公办,161541
临沂大学,城市地下空间工程,30,503,163038,none,none,none,none,none,none,none,none,公办,163038
衡水学院,城市管理,2,494,182939,none,none,none,none,none,none,none,none,公办,182939
长春工程学院,城市地下空间工程,3,492,185172,1,486,181812,none,none,none,none,none,公办,183492
河南城建学院,城市管理,3,492,185743,3,485,184528,none,none,none,none,none,公办,185136
南京工业职业技术大学,城市轨道交通设备与控制技术,none,none,none,none,none,none,2,480,197743,none,none,公办,197743
新疆农业大学,城市管理,none,none,none,none,none,none,18,478,201224,省重点,none,公办,201224
南通大学杏林学院,城市管理,3,483,204438,3,478,201161,none,none,none,none,none,民办,202800
合肥城市学院,城市建设学院城乡规划,3,481,208825,none,none,none,none,none,none,none,none,民办,208825
合肥城市学院,城市建设学院财务管理,3,481,209311,none,none,none,none,none,none,none,none,民办,209311
西安交通大学,城市学院计算机类,3,480,210532,none,none,none,none,none,none,"C9,985,211",一流大学,公办,210532
合肥城市学院,城市建设学院无机非金属材料工程,2,480,210728,none,none,none,none,none,none,none,none,民办,210728
西安信息职业大学,城市轨道交通信号与控制技术,none,none,none,1,475,207535,1,466,230740,none,none,民办,219138
合肥城市学院,城市建设学院机械设计制造及其自动化,3,471,229305,none,none,none,none,none,none,none,none,民办,229305
合肥城市学院,城市建设学院建筑电气与智能化,3,470,231225,none,none,none,none,none,none,none,none,民办,231225
西安汽车职业大学,城市轨道交通信号与控制技术,none,none,none,none,none,none,2,463,238942,none,none,民办,238942
长春建筑学院,城市地下空间工程,3,468,234986,3,464,231598,3,457,252241,none,none,民办,239608
西安汽车职业大学,城市轨道交通智能运营,none,none,none,none,none,none,2,462,239683,none,none,民办,239683
商丘工学院,城市地下空间工程,10,459,253577,5,466,227733,20,460,246464,none,none,民办,242591
成都工业学院,城市地下空间工程,none,none,none,none,none,none,2,460,244852,none,none,公办,244852
青岛工学院,城市地下空间工程,10,460,251103,none,none,none,none,none,none,none,none,民办,251103
