院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
北京大学医学部,基础医学,1,689,177,1,676,179,1,671,163,"C9,985,211",一流大学,公办,173
天津医科大学,基础医学(朱宪彝班),1,638,7767,1,625,6583,1,620,6964,211,一流学科,公办,7105
空军军医大学,基础医学,2,628,11232,2,612,10856,2,613,9593,211,一流学科,军校,10560
首都医科大学,基础医学,2,631,10242,2,612,11059,2,608,11638,省重点,none,公办,10980
南方医科大学,基础医学,1,622,14160,2,603,14948,none,none,none,"全国重点,省重点",none,公办,14554
哈尔滨医科大学,基础医学,1,621,14331,1,606,13821,1,599,15620,省重点,none,公办,14591
南方医科大学,基础医学(院士创新班),2,620,15065,none,none,none,none,none,none,"全国重点,省重点",none,公办,15065
哈尔滨医科大学,基础医学(伍连德班),1,617,16635,1,600,16864,1,596,17198,省重点,none,公办,16899
郑州大学,基础医学(国际化班),2,608,21790,2,590,22735,none,none,none,211,一流大学,公办,22263
郑州大学,基础医学,none,none,none,none,none,none,2,588,22301,211,一流大学,公办,22301
南昌大学,基础医学,2,608,21332,2,591,22214,5,582,26245,211,一流学科,公办,23264
重庆医科大学,基础医学,2,608,21364,2,589,23483,1,576,31636,none,none,公办,25494
大连医科大学,基础医学,2,605,23314,2,586,25076,2,577,30918,省重点,none,公办,26436
温州医科大学,基础医学,2,600,26710,2,579,30587,2,573,33763,省重点,none,公办,30353
山西医科大学,基础医学,2,586,38290,2,568,40403,2,562,44920,省重点,none,公办,41204
福建医科大学,基础医学,2,584,40161,1,568,40598,1,562,45440,省重点,none,公办,42066
宁夏医科大学,基础医学,none,none,none,none,none,none,1,534,83496,none,none,公办,83496
新疆医科大学,基础医学,4,524,124052,4,512,125075,12,504,141032,省重点,none,公办,130053
