院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
国防科技大学,大气科学类,10,645,5686,10,626,6171,10,623,6189,"985,211",一流大学,军校,6015
中国海洋大学,大气科学,23,622,13812,22,604,14601,22,602,14330,"985,211",一流大学,公办,14248
兰州大学,大气科学类,10,618,15927,12,600,16473,10,596,17613,"985,211",一流大学,公办,16671
中国地质大学(武汉),大气科学,2,607,22110,2,593,20556,5,588,22147,211,一流学科,公办,21604
南京信息工程大学,大气科学类,30,606,23021,27,587,24622,26,587,22974,全国重点,一流学科,公办,23539
云南大学,大气科学,4,599,27580,2,584,26668,3,583,25883,211,一流大学,公办,26710
南京信息工程大学,大气科学(中外合作办学),2,592,32668,2,579,30454,none,none,none,全国重点,一流学科,公办,31561
内蒙古大学,大气科学,2,587,37278,2,570,38707,2,567,39444,211,一流学科,公办,38476
成都信息工程大学,大气科学类,7,578,45940,12,562,46117,5,563,43571,省重点,none,公办,45209
中国民用航空飞行学院,大气科学,none,none,none,none,none,none,1,539,75005,省重点,none,公办,75005
广东海洋大学,大气科学,4,548,83973,4,535,82922,4,533,84786,省重点,none,公办,83894
无锡学院,大气科学,2,546,86787,2,534,83827,2,535,81082,none,none,公办,83899
