院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
清华大学,测控技术与仪器(定向兵器工业),1,682,361,none,none,none,none,none,none,"C9,985,211",一流大学,公办,361
电子科技大学(沙河校区),软件工程(工业软件),none,none,none,none,none,none,5,628,4863,"985,211",一流大学,公办,4863
华南理工大学,工业设计,2,648,4996,2,630,5235,2,624,5837,"985,211",一流大学,公办,5356
湖南大学,工业设计,4,628,11183,5,612,11050,5,606,12276,"985,211",一流大学,公办,11503
南京航空航天大学,工业设计,2,626,12068,3,608,12544,3,605,13014,211,一流学科,公办,12542
吉林大学,工业设计,6,625,12796,6,606,13809,6,601,14583,"985,211",一流大学,公办,13729
华东理工大学,工业设计,4,623,13299,4,604,14427,2,600,14975,211,一流学科,公办,14234
中国海洋大学,工业设计,6,621,14261,6,605,14091,6,601,14704,"985,211",一流大学,公办,14352
江南大学,工业设计,5,620,15012,5,603,14997,2,601,14762,211,一流学科,公办,14924
东华大学,工业设计,2,620,14890,2,601,15909,2,597,16628,211,一流学科,公办,15809
西安交通大学,工业设计(中外合作办学),none,none,none,none,none,none,8,597,16946,"C9,985,211",一流大学,公办,16946
武汉理工大学,工业设计,3,617,16651,3,600,16904,3,596,17364,211,一流学科,公办,16973
哈尔滨工业大学,工业设计(中外合作办学),none,none,none,none,none,none,3,594,18330,"C9,985,211",一流大学,公办,18330
四川大学,工业工程(中外合作办学),8,610,20182,9,591,21890,4,593,18978,"985,211",一流大学,公办,20350
江南大学,工业工程,4,608,21809,none,none,none,none,none,none,211,一流学科,公办,21809
华北电力大学(保定),工业工程类,4,609,20956,1,592,21238,1,586,23434,211,一流学科,公办,21876
中国石油大学(华东),工业设计,7,605,23536,9,590,22961,9,587,23110,211,一流学科,公办,23202
中国矿业大学(北京),工业工程,2,606,22745,2,588,23668,2,586,23502,211,一流学科,公办,23305
合肥工业大学,工业设计,2,607,21854,2,587,24331,2,585,24306,211,一流学科,公办,23497
哈尔滨工程大学,工业设计,4,605,23527,none,none,none,none,none,none,211,一流学科,公办,23527
合肥工业大学,工业工程,3,603,24472,4,583,27725,3,580,27746,211,一流学科,公办,26648
天津工业大学,工业设计,2,598,28292,2,586,25410,2,582,26464,省重点,一流学科,公办,26722
太原理工大学,工业设计,2,598,27970,2,581,28625,3,580,28056,211,一流学科,公办,28217
南京理工大学,工业设计(中外合作办学),5,599,27417,5,578,31663,none,none,none,211,一流学科,公办,29540
北方工业大学,工业设计,2,598,28248,2,577,32109,2,574,33063,省重点,none,公办,31140
沈阳航空航天大学,工业设计,1,595,30293,1,575,34062,1,577,30346,none,none,公办,31567
贵州大学,工业设计,2,592,33035,2,577,31891,2,577,30958,211,一流学科,公办,31961
首都经济贸易大学,工业工程,none,none,none,2,578,31041,3,574,33118,省重点,none,公办,32080
江苏大学,工业设计,2,596,29374,2,577,31827,2,572,35439,"全国重点,省重点",none,公办,32213
江苏大学,工业工程,2,592,32583,none,none,none,none,none,none,"全国重点,省重点",none,公办,32583
东北林业大学,工业设计,4,591,33411,4,574,34290,4,571,36062,211,一流学科,公办,34588
四川美术学院,工业设计,2,589,35554,1,602,15540,2,555,53505,省重点,none,公办,34866
东北林业大学,工业工程,4,589,35523,4,573,35794,5,573,34400,211,一流学科,公办,35239
中国计量大学,工业设计,none,none,none,1,574,34699,1,569,37783,省市共建,none,公办,36241
北京化工大学,工业设计(中外合作办学)(中意设计双学位),3,589,35397,2,572,36204,2,568,39001,211,一流学科,公办,36867
