院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
中国传媒大学,广告学,2,644,6151,3,624,6798,3,620,7085,211,一流学科,公办,6678
中国传媒大学,广告学(数字营销方向),3,639,7332,3,623,7253,none,none,none,211,一流学科,公办,7293
中国传媒大学,广告学(计算广告双学士学位复合型人才培养项目),none,none,none,3,623,7179,3,618,7848,211,一流学科,公办,7514
暨南大学,广告学,2,623,13367,2,613,10712,2,607,12185,211,一流学科,公办,12088
湖南师范大学,广告学,2,611,19918,none,none,none,none,none,none,211,一流学科,公办,19918
中国传媒大学,广告学(中外合作办学),none,none,none,4,597,18237,4,588,22028,211,一流学科,公办,20133
华中农业大学,广告学,7,603,24944,7,588,24258,7,584,25435,211,一流学科,公办,24879
合肥工业大学(宣城校区),广告学,3,600,26928,none,none,none,none,none,none,211,一流学科,公办,26928
天津师范大学,广告学,1,598,28176,1,583,27634,1,581,27327,省重点,none,公办,27712
四川农业大学,广告学,2,595,30318,3,580,29866,3,576,31130,211,一流学科,公办,30438
东北林业大学,广告学,5,597,29129,5,578,31196,5,573,33817,211,一流学科,公办,31381
北方工业大学,广告学,2,594,31714,2,576,32920,2,572,34602,省重点,none,公办,33079
湘潭大学,广告学,3,591,34142,3,574,35148,3,576,31947,全国重点,一流学科,公办,33746
天津外国语大学,广告学,2,592,32828,2,574,34628,2,572,35458,省重点,none,公办,34305
河北大学,广告学,3,585,39320,3,569,39376,none,none,none,省重点,none,公办,39348
上海师范大学,广告学(中外合作办学),none,none,none,5,568,39856,none,none,none,省重点,none,公办,39856
浙江传媒学院,广告学,6,578,46588,4,566,42727,3,565,41898,none,none,公办,43738
北京服装学院,广告学,2,572,52828,3,555,54958,3,553,56035,none,none,公办,54607
青岛科技大学,广告学,57,559,68793,45,545,66884,40,544,67912,省重点,none,公办,67863
青岛理工大学,广告学,20,556,71897,21,544,69411,none,none,none,省重点,none,公办,70654
江苏海洋大学,广告学,1,556,72485,none,none,none,none,none,none,none,none,公办,72485
长春理工大学,广告学,2,557,71553,2,543,70710,2,539,75706,省重点,none,公办,72656
河北地质大学,广告学,2,551,79880,2,539,76764,none,none,none,省重点,none,公办,78322
东华理工大学,广告学,3,551,79549,4,540,74547,4,535,82194,省重点,none,公办,78763
河北大学,广告学(中外合作办学),none,none,none,none,none,none,3,536,79488,省重点,none,公办,79488
河南理工大学,广告学,2,537,101453,2,531,89623,none,none,none,省重点,none,公办,95538
鲁东大学,广告学,31,540,96894,30,527,95271,36,525,99058,none,none,公办,97074
齐鲁工业大学,广告学,74,538,100616,66,526,97821,40,527,95110,none,none,公办,97849
兰州财经大学,广告学,none,none,none,none,none,none,2,525,99178,none,none,公办,99178
闽江学院,广告学,2,530,113923,none,none,none,1,530,90431,省重点,none,公办,102177
长春工业大学,广告学,2,534,106866,2,522,105031,2,522,104686,省重点,none,公办,105528
长春师范大学,广告学,4,533,108101,4,520,108844,4,519,110495,none,none,公办,109147
山东建筑大学,广告学,62,532,109307,62,520,108245,40,519,110309,省重点,none,公办,109287
衡阳师范学院,广告学,1,527,117945,1,521,106958,1,517,114678,none,none,公办,113194
山东理工大学,广告学,58,527,119469,53,518,113121,43,518,112294,省重点,none,公办,114961
防灾科技学院,广告学,2,516,138875,4,508,133433,3,507,135282,none,none,公办,135863
内蒙古科技大学,广告学,2,513,145172,1,503,143383,none,none,none,none,none,公办,144278
山西传媒学院,广告学,5,511,148707,5,504,142002,5,501,148205,none,none,公办,146305
南开大学滨海学院,广告学,1,509,151202,none,none,none,none,none,none,none,none,民办,151202
临沂大学,广告学(校企合作，与杭州时光坐标影视传媒合作),30,504,162623,50,499,153045,110,495,161490,none,none,公办,159053
吉林工商学院,广告学,5,504,162645,4,495,161654,2,493,166431,none,none,公办,163577
莆田学院,广告学,3,498,173823,none,none,none,none,none,none,none,none,公办,173823
郑州工程技术学院,广告学,none,none,none,4,487,180524,4,488,177662,none,none,公办,179093
菏泽学院,广告学,30,496,178778,30,488,176652,50,486,182639,none,none,公办,179356
南京邮电大学通达学院,广告学,1,500,170676,2,488,178188,2,482,192455,none,none,民办,180440
广西艺术学院,广告学,5,491,188820,5,487,179363,4,487,178789,none,none,公办,182324
山东工艺美术学院,广告学,30,488,193990,none,none,none,30,483,190256,none,none,公办,192123
红河学院,广告学,2,489,192903,none,none,none,none,none,none,none,none,公办,192903
喀什大学,广告学,8,484,202952,6,481,194603,14,478,200621,省重点,none,公办,199392
文华学院,广告学,none,none,none,none,none,none,2,479,199722,none,none,民办,199722
湖南理工学院南湖学院,广告学,1,480,210421,3,477,203624,3,475,208688,none,none,民办,207578
烟台科技学院,广告学,10,485,200433,none,none,none,40,471,219763,none,none,民办,210098
天津传媒学院,广告学,none,none,none,none,none,none,5,473,214710,none,none,民办,214710
长春建筑学院,广告学,2,481,207779,4,473,212914,4,466,229868,none,none,民办,216854
辽宁传媒学院,广告学,none,none,none,5,468,223681,none,none,none,none,none,民办,223681
武汉传媒学院,广告学,none,none,none,none,none,none,3,469,224037,none,none,民办,224037
江西服装学院,广告学,none,none,none,2,469,222015,2,465,232473,none,none,民办,227244
青岛滨海学院,广告学,27,472,226789,26,470,219615,23,464,236696,none,none,民办,227700
长春光华学院,广告学,2,474,222872,none,none,none,3,465,233659,none,none,民办,228266
青岛电影学院,广告学,none,none,none,none,none,none,33,457,252818,none,none,民办,252818
