院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
南京大学,建筑类(建筑与规划实验班),none,none,none,1,659,889,none,none,none,"C9,985,211",一流大学,公办,889
同济大学,工科试验班(建筑规划景观与设计类),11,670,1219,11,652,1463,11,645,1808,"985,211",一流大学,公办,1497
东南大学,建筑类,7,664,1974,7,644,2467,7,637,2971,"985,211",一流大学,公办,2471
华中科技大学,建筑类(智慧建筑规划试验班，包含专业见招生简章),2,657,3092,none,none,none,none,none,none,"985,211",一流大学,公办,3092
天津大学,建筑类,7,658,3025,7,637,3550,8,632,3945,"985,211",一流大学,公办,3507
华南理工大学,建筑学,2,656,3360,2,635,4000,2,627,5136,"985,211",一流大学,公办,4165
厦门大学,建筑类,4,651,4450,4,631,4859,4,625,5463,"985,211",一流大学,公办,4924
重庆大学,建筑类,none,none,none,6,628,5813,7,621,6674,"985,211",一流大学,公办,6244
四川大学,建筑学,3,644,5983,3,625,6567,3,621,6741,"985,211",一流大学,公办,6430
大连理工大学,建筑类,4,642,6633,4,622,7431,9,615,8962,"985,211",一流大学,公办,7675
西北工业大学,建筑学,2,638,7887,2,618,8569,3,616,8503,"985,211",一流大学,公办,8320
中南大学,建筑类(建筑城规类),5,637,8017,4,619,8488,4,612,9808,"985,211",一流大学,公办,8771
湖南大学,建筑学,6,634,9240,6,618,8776,6,612,10027,"985,211",一流大学,公办,9348
山东大学,建筑学(五年制),18,634,9275,18,615,9948,18,609,10864,"985,211",一流大学,公办,10029
北京交通大学,建筑类(建筑与规划),8,634,9039,5,615,9940,5,606,12377,211,一流学科,公办,10452
北京工业大学,建筑学,3,625,12421,2,608,12775,2,604,13251,211,一流学科,公办,12816
西安建筑科技大学,建筑学,4,627,11942,3,610,11704,3,601,14851,省重点,none,公办,12832
湖南大学,建筑环境与能源应用工程(低碳建筑实验班),3,626,12025,3,607,13079,3,603,13853,"985,211",一流大学,公办,12986
苏州大学,建筑学,1,623,13436,1,607,13268,none,none,none,211,一流学科,公办,13352
深圳大学,建筑学,1,627,11816,1,609,12140,2,597,16646,none,none,公办,13534
南京航空航天大学,建筑环境与能源应用工程,2,625,12552,2,603,14820,none,none,none,211,一流学科,公办,13686
西南交通大学,建筑学,4,624,12957,4,605,13879,4,598,16165,211,一流学科,公办,14334
北京建筑大学,建筑学(实验班),1,620,15162,1,602,15734,1,597,16754,省重点,none,公办,15883
华东理工大学,风景园林(景观建筑规划方向),none,none,none,2,603,14917,2,596,17253,211,一流学科,公办,16085
东北大学,建筑类,5,621,14525,8,601,16197,7,596,17645,"985,211",一流大学,公办,16122
北京建筑大学,建筑类,1,618,15711,1,600,16549,none,none,none,省重点,none,公办,16130
武汉理工大学,建筑类,5,616,16967,4,599,17383,4,593,19056,211,一流学科,公办,17802
西南交通大学,建筑类,4,615,17331,4,598,17802,4,592,19558,211,一流学科,公办,18230
东华大学,建筑环境与能源应用工程,2,617,16604,2,597,18434,2,590,20889,211,一流学科,公办,18642
合肥工业大学,建筑学,3,616,17023,3,597,18416,2,591,20518,211,一流学科,公办,18652
中国矿业大学(北京),建筑学,2,611,19860,3,595,19304,2,592,19899,211,一流学科,公办,19688
西安交通大学,建筑学(中外合作办学),none,none,none,none,none,none,12,590,20995,"C9,985,211",一流大学,公办,20995
南京林业大学,建筑类,4,606,22574,none,none,none,none,none,none,省重点,一流学科,公办,22574
河北工业大学,建筑学,3,608,21343,3,591,21872,2,585,24541,211,一流学科,公办,22585
沈阳建筑大学,建筑学,1,611,19608,1,595,19652,1,579,28741,省重点,none,公办,22667
中国石油大学(华东),建筑学,12,606,22500,12,590,22880,12,586,23888,211,一流学科,公办,23089
中国石油大学(华东),建筑环境与能源应用工程,2,603,24788,2,586,25559,2,585,24357,211,一流学科,公办,24901
陆军工程大学,土木工程(全国人防工程建筑结构设计与施工工程师),1,609,20863,1,585,25810,1,577,30555,none,none,军校,25743
云南大学,建筑学,2,601,26248,2,585,26047,2,583,26171,211,一流大学,公办,26155
长安大学,建筑类,11,601,25823,11,585,25888,11,580,28195,211,一流学科,公办,26635
南昌大学,建筑类,3,601,25863,3,585,25690,3,578,29677,211,一流学科,公办,27077
中国矿业大学,建筑类,5,599,27331,8,584,26918,12,579,29057,211,一流学科,公办,27769
南京工业大学,建筑学,2,598,27826,2,584,26960,2,578,29586,省重点,none,公办,28124
陆军工程大学,建筑环境与能源应用工程(全国人防通风空调与给排水工程师),1,604,24292,1,580,29387,1,576,31703,none,none,军校,28461
太原理工大学,建筑学,4,599,27140,4,582,28275,4,577,30559,211,一流学科,公办,28658
华侨大学,建筑学(五年),2,595,30192,2,582,27832,3,576,31740,"全国重点,省重点",none,公办,29921
海南大学,建筑学,2,596,29393,4,580,29346,4,575,32398,211,一流学科,公办,30379
陆军工程大学,建筑学(全国人防工程建筑设计工程师),1,595,30224,1,582,28158,1,574,32809,none,none,军校,30397
西安建筑科技大学,历史建筑保护工程,2,597,28991,2,582,28465,3,573,34517,省重点,none,公办,30658
太原理工大学,建筑环境与能源应用工程,6,595,30740,6,578,31016,2,576,31550,211,一流学科,公办,31102
北方工业大学,建筑学,2,595,30921,3,579,30897,3,575,32076,省重点,none,公办,31298
北京建筑大学,建筑电气与智能化(智能建筑),1,596,30076,1,579,30185,1,573,34264,省重点,none,公办,31508
北京建筑大学,自动化(建筑智能控制与机器人),2,595,30549,1,578,31643,1,574,33172,省重点,none,公办,31788
陆军工程大学,工程管理(全国人防建筑施工组织管理与监理工程师),1,591,33418,1,578,31124,1,575,32235,none,none,军校,32259
燕山大学,建筑学,2,596,29793,2,575,33489,2,572,35497,全国重点,none,公办,32926
苏州科技大学,建筑学,2,595,30791,2,576,33271,2,571,36100,none,none,公办,33387
浙江理工大学,建筑类,2,596,30002,2,574,34374,2,570,37307,省重点,none,公办,33894
贵州大学,建筑类,none,none,none,2,575,33713,2,571,35837,211,一流学科,公办,34775
江苏大学,建筑环境与能源应用工程,2,594,31036,2,576,32903,2,565,42015,"全国重点,省重点",none,公办,35318
北京建筑大学,土木工程(建筑工程),none,none,none,none,none,none,2,571,35546,省重点,none,公办,35546
长沙理工大学,建筑类,2,590,34222,2,574,34298,2,569,38328,省重点,none,公办,35616
北京建筑大学,建筑环境与能源应用工程,2,591,33941,2,571,37782,2,566,40731,省重点,none,公办,37485
东北林业大学,建筑环境与能源应用工程,4,587,37189,4,571,37240,3,568,38763,211,一流学科,公办,37731
扬州大学,建筑环境与能源应用工程,1,588,35913,1,572,36268,3,563,43574,省重点,none,公办,38585
宁夏大学,建筑类,2,585,39070,3,571,37616,4,566,40688,211,一流学科,公办,39125
河南大学,建筑类,4,587,36996,4,570,38487,4,565,42030,省重点,一流学科,公办,39171
昆明理工大学,建筑学,3,585,39037,2,570,38235,2,563,44081,省重点,none,公办,40451
浙江工业大学,建筑类,none,none,none,none,none,none,5,566,40558,省重点,none,公办,40558
西安建筑科技大学,建筑电气与智能化,6,582,42289,3,565,43289,4,560,46895,省重点,none,公办,44158
宁波诺丁汉大学,建筑学(中外合作办学),4,596,29899,3,560,48405,3,554,54794,none,none,中外合作办学,44366
西安科技大学,建筑学,none,none,none,2,565,43051,2,561,45767,省重点,none,公办,44409
武汉工程大学,建筑类,none,none,none,2,566,42765,3,561,46241,none,none,公办,44503
山西大学,智慧建筑与建造,none,none,none,none,none,none,2,561,46028,省重点,一流学科,公办,46028
西安建筑科技大学,建筑环境与能源应用工程,3,581,42628,3,562,46429,5,557,51162,省重点,none,公办,46740
西交利物浦大学,建筑类(中外合作办学),12,586,38523,13,560,48457,13,554,54334,省重点,none,中外合作办学,47105
江苏科技大学,建筑环境与能源应用工程,2,581,43069,2,559,49495,2,553,55459,省重点,none,公办,49341
山东建筑大学,建筑学,49,577,47568,47,560,48973,48,553,56245,省重点,none,公办,50929
重庆交通大学,建筑类,none,none,none,5,559,49474,3,555,53284,省重点,none,公办,51379
西安科技大学,建筑环境与能源应用工程,2,576,47992,2,558,50705,2,552,56628,省重点,none,公办,51775
中南林业科技大学,建筑类,2,575,49221,2,557,52079,2,554,54192,省重点,none,公办,51831
哈尔滨理工大学,建筑学,2,574,50714,3,556,53292,2,554,54655,省重点,none,公办,52887
沈阳建筑大学,建筑电气与智能化,1,572,52963,1,556,52974,1,554,54072,省重点,none,公办,53336
四川美术学院,建筑学,2,574,49788,2,556,53602,2,552,56868,省重点,none,公办,53419
新疆大学,建筑学,2,563,63763,3,559,50056,3,559,47904,211,一流大学,公办,53908
南通大学,建筑学,2,571,53283,2,556,52800,2,553,55768,省重点,none,公办,53950
湖南科技大学,建筑学,2,573,51767,2,555,54857,2,550,59382,省重点,none,公办,55335
华东交通大学,建筑学,none,none,none,4,553,57114,2,552,57146,省重点,none,公办,57130
华东交通大学,建筑电气与智能化,2,571,53878,2,553,56490,2,548,61812,省重点,none,公办,57393
沈阳建筑大学,建筑环境与能源应用工程,1,567,58141,1,550,61221,1,554,54150,省重点,none,公办,57837
吉林建筑大学,建筑学,2,571,53833,2,551,59203,2,547,63194,省重点,none,公办,58743
长江大学,建筑类,7,569,56475,5,551,59034,4,548,62785,省重点,none,公办,59431
南通大学,建筑电气与智能化,2,565,60602,none,none,none,none,none,none,省重点,none,公办,60602
石家庄铁道大学,建筑学,4,565,60516,4,549,61569,4,547,63087,全国重点,none,公办,61724
南京工程学院,建筑学,2,564,62417,2,549,61588,2,547,63969,none,none,公办,62658
东北电力大学,建筑环境与能源应用工程,4,569,56288,4,550,61270,4,539,74400,省重点,none,公办,63986
三峡大学,建筑类,none,none,none,6,550,60933,6,544,67805,省重点,none,公办,64369
西南民族大学,建筑类,none,none,none,3,547,65031,3,546,64260,none,none,公办,64646
西安建筑科技大学,建筑电气与智能化(中外合作办学),2,567,58023,2,545,67562,2,543,68950,省重点,none,公办,64845
江西师范大学,建筑学,none,none,none,2,550,60418,2,543,69497,省重点,none,公办,64958
天津城建大学,建筑类,5,563,62813,5,547,64457,5,540,73130,none,none,公办,66800
新疆大学,建筑环境与能源应用工程,4,549,82129,3,549,61703,3,550,59412,211,一流大学,公办,67748
石河子大学,建筑学,4,554,75939,4,546,65548,4,548,62792,211,一流学科,公办,68093
温州肯恩大学,建筑学(中外合作办学),4,562,64833,3,547,65253,3,539,75006,none,none,中外合作办学,68364
