院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
安徽师范大学,心理学(师范类),5,573,51977,5,556,52715,2,558,49198,省重点,none,公办,51297
北京大学,心理学类,2,692,118,none,none,none,none,none,none,"C9,985,211",一流大学,公办,118
北京林业大学,应用心理学,2,621,14534,2,603,15318,2,599,15667,211,一流学科,公办,15173
北京体育大学,应用心理学,3,604,24246,2,588,23888,2,583,25621,211,一流学科,公办,24585
北京语言大学,心理学,none,none,none,2,592,21631,1,593,19438,none,none,公办,20535
滨州医学院,应用心理学,108,508,154344,108,497,157421,98,493,165559,none,none,公办,159108
大理大学,应用心理学,2,531,110852,none,none,none,none,none,none,none,none,公办,110852
东北师范大学,心理学(师范类),3,617,16568,2,598,17792,2,593,19228,211,一流学科,公办,17863
福建医科大学,应用心理学,none,none,none,none,none,none,1,557,50172,省重点,none,公办,50172
福州大学,应用心理学,none,none,none,2,588,24006,2,588,22580,211,一流学科,公办,23293
甘肃中医药大学,应用心理学,3,527,118147,2,518,111913,2,514,120441,none,none,公办,116834
赣南师范大学,应用心理学(师范类),2,534,106931,none,none,none,2,523,101410,none,none,公办,104171
广东外语外贸大学,应用心理学,1,611,19475,1,585,25642,1,578,29388,省重点,none,公办,24835
广西民族大学,应用心理学(师范类),2,520,130424,2,512,125580,2,510,127677,省重点,none,公办,127894
广州大学,应用心理学,3,589,35508,3,570,38631,3,567,39961,none,none,公办,38033
广州中医药大学,应用心理学,1,596,29520,2,580,30096,3,574,33195,省重点,一流学科,公办,30937
哈尔滨师范大学,心理学(师范类),3,570,55024,3,556,53739,4,551,57983,省重点,none,公办,55582
海南师范大学,应用心理学(师范类),2,550,81062,2,542,71639,2,540,73422,省重点,none,公办,75374
杭州师范大学,应用心理学,none,none,none,2,573,35810,none,none,none,省重点,none,公办,35810
河南大学,心理学类,5,590,34157,none,none,none,none,none,none,省重点,一流学科,公办,34157
河南大学,应用心理学(师范类),none,none,none,5,574,34818,none,none,none,省重点,一流学科,公办,34818
菏泽学院,心理学(师范类),9,504,161037,7,497,157119,8,498,154311,none,none,公办,157489
黑龙江大学,应用心理学,5,574,50414,4,557,51882,2,558,49818,none,none,公办,50705
黑龙江中医药大学,应用心理学,2,561,66467,2,552,58728,2,547,63518,省重点,none,公办,62904
衡阳师范学院,应用心理学(师范类),1,521,129827,1,517,115112,1,516,116662,none,none,公办,120534
呼伦贝尔学院,心理学,4,492,186962,4,484,185838,4,482,192361,none,none,公办,188387
湖北大学,心理学,2,589,35429,2,573,35176,2,569,37707,省重点,none,公办,36104
湖北师范大学,应用心理学(师范类),2,567,57748,2,563,45929,2,557,51230,none,none,公办,51636
湖北中医药大学,应用心理学,1,586,38378,2,567,41254,2,560,47717,省重点,none,公办,42450
湖南科技大学,应用心理学(师范类),2,572,52383,2,557,51800,2,553,56170,省重点,none,公办,53451
湖南师范大学,心理学,2,617,16592,none,none,none,none,none,none,211,一流学科,公办,16592
湖南师范大学,应用心理学,none,none,none,2,597,18243,none,none,none,211,一流学科,公办,18243
湖南中医药大学,应用心理学,1,577,46906,1,564,44907,3,557,50805,省重点,none,公办,47539
华北理工大学,应用心理学,3,573,50934,6,556,53207,4,550,58835,省重点,none,公办,54325
华东师范大学,心理学(双学位),none,none,none,1,642,2647,2,637,2917,"985,211",一流大学,公办,2782
华东师范大学,心理学类,3,655,3492,2,636,3879,2,632,3819,"985,211",一流大学,公办,3730
华南师范大学,心理学(师范类),4,621,14450,5,601,15936,6,597,16885,211,一流学科,公办,15757
淮北师范大学,应用心理学,1,556,72068,1,543,69867,2,540,73211,省重点,none,公办,71715
吉林农业大学,应用心理学,2,531,112135,none,none,none,none,none,none,省重点,none,公办,112135
吉林师范大学,心理学(师范类),1,553,77285,1,539,76519,1,538,75950,省重点,none,公办,76585
吉林医药学院,应用心理学,2,513,143634,2,502,145622,2,501,148115,none,none,公办,145790
济南大学,应用心理学(师范类),74,556,72186,60,542,71832,61,538,76940,省重点,none,公办,73653
济南大学,应用心理学(师范类，地方专项计划),none,none,none,none,none,none,5,542,70557,省重点,none,公办,70557
济南大学,应用心理学(师范类，济南走读),none,none,none,none,none,none,10,529,90858,省重点,none,公办,90858
济宁学院,心理学,20,502,166456,20,495,161868,50,491,169967,none,none,公办,166097
济宁医学院,应用心理学,28,507,155348,29,497,156955,29,494,163347,none,none,公办,158550
江西师范大学,心理学类,6,581,43405,2,564,44501,10,559,47924,省重点,none,公办,45277
江西中医药大学,应用心理学,2,551,79929,4,538,77727,5,534,83046,省重点,none,公办,80234
喀什大学,心理学,7,490,190587,14,483,188586,14,481,194689,省重点,none,公办,191287
乐山师范学院,心理学,4,503,163886,5,494,163982,6,491,171143,none,none,公办,166337
聊城大学,应用心理学,60,525,122281,25,516,116971,25,515,118602,none,none,公办,119285
临沂大学,应用心理学(师范类),50,526,120997,50,516,116797,45,514,120262,none,none,公办,119352
鲁东大学,心理学(师范类),78,542,94022,87,527,95330,88,524,101009,none,none,公办,96787
鲁东大学,应用心理学,26,541,94759,20,530,91498,62,525,97667,none,none,公办,94641
吕梁学院,应用心理学,5,498,173654,5,491,170790,5,486,181541,none,none,公办,175328
绵阳师范学院,应用心理学,1,526,119515,2,513,123418,1,513,122396,none,none,公办,121776
闽南师范大学,心理学(师范类),none,none,none,3,530,91396,3,525,97687,省重点,none,公办,94542
南方医科大学,应用心理学,2,608,21814,2,590,22455,none,none,none,"全国重点,省重点",none,公办,22135
南京师范大学,应用心理学,3,621,14491,none,none,none,none,none,none,211,一流学科,公办,14491
南京特殊教育师范学院,应用心理学,2,528,116408,none,none,none,none,none,none,none,none,公办,116408
南京中医药大学,应用心理学,5,598,28074,none,none,none,none,none,none,省重点,一流学科,公办,28074
南通大学,应用心理学,1,578,46230,none,none,none,none,none,none,省重点,none,公办,46230
内蒙古科技大学包头师范学院,应用心理学(师范类),2,497,175187,2,489,173930,2,491,169487,none,none,公办,172868
宁夏大学,应用心理学(师范),2,586,38597,2,575,33680,3,569,38126,211,一流学科,公办,36801
齐鲁师范学院,心理学(师范类),40,519,132948,40,509,131735,40,506,135498,none,none,公办,133394
齐齐哈尔大学,应用心理学,2,520,130947,2,511,127320,2,509,131052,省重点,none,公办,129773
青岛大学,应用心理学,21,587,37459,23,569,39299,24,563,43510,省重点,none,公办,40089
青海师范大学,应用心理学,5,515,140324,none,none,none,3,502,145845,省重点,none,公办,143085
曲阜师范大学,心理学(师范类),81,556,72860,61,543,70480,85,541,72624,省重点,none,公办,71988
曲阜师范大学,心理学(师范类，地方专项计划),none,none,none,none,none,none,10,537,77734,省重点,none,公办,77734
山东女子学院,应用心理学,24,500,170759,34,492,168971,34,489,174097,none,none,公办,171276
山东师范大学,心理学类,90,579,44897,80,563,45713,50,561,46266,省重点,none,公办,45625
山东师范大学,心理学类(地方专项计划),3,574,50209,8,557,51689,8,557,51111,省重点,none,公办,51003
山东体育学院,应用心理学,none,none,none,none,none,none,30,482,192569,none,none,公办,192569
山东体育学院,应用心理学(招收运动心理学方向),30,492,186614,30,483,188030,none,none,none,none,none,公办,187322
山东中医药大学,应用心理学,80,528,117481,69,518,113276,82,514,120353,省重点,none,公办,117037
山东中医药大学,应用心理学(地方专项计划),none,none,none,5,514,120408,5,514,119960,省重点,none,公办,120184
山西大学,应用心理学,3,587,37128,4,569,38965,none,none,none,省重点,一流学科,公办,38047
山西师范大学,心理学(师范类),none,none,none,2,547,65122,3,548,62552,省重点,none,公办,63837
商洛学院,应用心理学(师范类),none,none,none,2,493,165918,2,494,164572,none,none,公办,165245
上海师范大学,应用心理学,3,607,22274,5,588,23693,5,580,27922,省重点,none,公办,24630
上海政法学院,应用心理学,2,590,34163,2,579,30468,2,576,31293,none,none,公办,31975
沈阳师范大学,应用心理学(师范类),none,none,none,2,541,72880,2,538,76567,none,none,公办,74724
沈阳体育学院,应用心理学,3,501,168710,2,496,159976,2,493,165088,省重点,none,公办,164591
石河子大学,应用心理学,4,566,59825,4,555,54433,4,552,56380,211,一流学科,公办,56879
四川轻化工大学,应用心理学,3,515,141153,3,515,118695,3,513,121605,none,none,公办,127151
四川师范大学,心理学,2,580,44218,2,571,37462,2,566,40683,省重点,none,公办,40788
苏州大学,应用心理学,1,627,11939,1,610,12069,2,605,12841,211,一流学科,公办,12283
太原师范学院,应用心理学(师范类),none,none,none,4,508,133615,none,none,none,none,none,公办,133615
天津师范大学,应用心理学(创新班),none,none,none,none,none,none,2,582,26913,省重点,none,公办,26913
天津师范大学,应用心理学(师范类),none,none,none,none,none,none,2,580,27737,省重点,none,公办,27737
天津体育学院,应用心理学,3,528,116223,3,517,113780,3,512,123695,none,none,公办,117899
天津中医药大学,应用心理学,1,602,25277,1,587,24595,1,583,25606,省重点,一流学科,公办,25159
潍坊学院,应用心理学,20,508,154723,25,498,154135,30,496,158945,none,none,公办,155934
潍坊医学院,应用心理学,74,514,141953,84,502,144783,79,499,151558,none,none,公办,146098
西安体育学院,应用心理学,2,505,159921,2,496,159521,none,none,none,省重点,none,公办,159721
