院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
首都医科大学,护理学,3,610,20338,3,592,21449,2,584,25443,省重点,none,公办,22410
海军军医大学,护理学(护师),1,615,17473,1,591,21985,1,579,28800,211,一流学科,军校,22753
北京协和医学院,护理学,12,602,25139,11,585,25934,10,581,26948,none,一流学科,公办,26007
天津医科大学,护理学,3,603,24449,3,582,28086,3,579,28596,211,一流学科,公办,27044
北京中医药大学,护理学,3,604,23777,5,584,26914,6,575,32206,211,一流学科,公办,27632
电子科技大学(沙河校区),护理学,2,598,27963,3,583,27255,5,579,29003,"985,211",一流大学,公办,28074
苏州大学,护理学,none,none,none,1,582,28525,none,none,none,211,一流学科,公办,28525
空军军医大学,护理学,2,602,25238,2,580,29371,3,574,33049,211,一流学科,军校,29219
吉林大学,护理学,13,595,30679,13,580,29711,13,578,29498,"985,211",一流大学,公办,29963
天津医科大学,护理学(助产方向),1,595,30236,1,583,27818,1,576,31939,211,一流学科,公办,29998
重庆医科大学,护理学,2,604,24327,2,571,37597,1,570,37271,none,none,公办,33065
南昌大学,护理学,4,590,34922,6,575,34133,6,573,34061,211,一流学科,公办,34372
南京医科大学,护理学,5,590,34524,5,571,37267,5,564,42583,省重点,一流学科,公办,38125
天津中医药大学,护理学类,2,583,41075,3,567,41354,none,none,none,省重点,一流学科,公办,41215
延边大学,护理学,3,581,43258,3,567,41831,3,561,46561,211,一流学科,公办,43883
南京中医药大学,护理学,11,581,42574,10,561,47768,10,561,45693,省重点,一流学科,公办,45345
大连医科大学,护理学,2,583,41045,2,563,45167,2,557,50613,省重点,none,公办,45608
河南大学,护理学,5,578,46592,none,none,none,none,none,none,省重点,一流学科,公办,46592
广州中医药大学,护理学,2,581,43285,4,560,49076,3,556,51740,省重点,一流学科,公办,48034
徐州医科大学,护理学类,2,580,43913,2,559,49744,2,557,50514,省重点,none,公办,48057
江苏大学,护理学,none,none,none,3,558,50777,none,none,none,"全国重点,省重点",none,公办,50777
浙江中医药大学,护理学,1,590,34762,none,none,none,6,544,68197,省重点,none,公办,51480
南通大学,护理学,2,572,52846,2,559,49634,2,553,56198,省重点,none,公办,52893
锦州医科大学,护理学,1,577,46634,1,553,56713,1,544,67490,none,none,公办,56946
青岛大学,护理学,45,569,55487,40,552,58292,35,550,59319,省重点,none,公办,57699
哈尔滨医科大学,护理学,6,571,53522,4,552,57733,4,547,64157,省重点,none,公办,58471
温州医科大学,护理学,none,none,none,none,none,none,3,547,62952,省重点,none,公办,62952
福建医科大学,护理学,2,561,66084,4,548,63428,3,547,62879,省重点,none,公办,64130
河北医科大学,护理学类,8,565,61154,6,547,64831,5,543,68434,省重点,none,公办,64806
成都中医药大学,护理学,6,558,70294,10,546,66088,10,543,69309,省重点,一流学科,公办,68564
湖南中医药大学,护理学,3,560,66823,3,545,67568,8,538,77175,省重点,none,公办,70522
湖北中医药大学,护理学,1,556,72300,1,541,73346,2,537,78012,省重点,none,公办,74553
山西医科大学,护理学,4,557,70979,6,540,75354,3,537,78343,省重点,none,公办,74892
青岛大学,护理学(地方专项计划),10,560,67662,15,538,77051,15,536,80068,省重点,none,公办,74927
青海大学,护理学,5,548,83421,5,542,71619,5,541,71458,211,一流学科,公办,75499
三峡大学,护理学,2,551,80264,2,538,78410,2,536,80563,省重点,none,公办,79746
石河子大学,护理学,10,543,92248,12,536,80511,10,539,75710,211,一流学科,公办,82823
大连大学,护理学,3,549,83074,6,535,82255,6,532,86459,省重点,none,公办,83929
广西医科大学,护理学,2,556,73042,4,536,80952,4,525,99277,省重点,none,公办,84424
杭州师范大学,护理学,none,none,none,none,none,none,8,532,87236,省重点,none,公办,87236
长江大学,护理学,4,544,89882,4,530,90719,7,524,99934,省重点,none,公办,93512
宁夏医科大学,护理学,none,none,none,none,none,none,2,526,96680,none,none,公办,96680
昆明理工大学,护理学,4,537,101204,4,527,96432,4,524,100551,省重点,none,公办,99396
南华大学,护理学,6,538,99211,6,525,99110,9,521,106953,none,none,公办,101758
沈阳医学院,护理学,1,538,100119,1,525,99936,1,519,108970,none,none,公办,103008
河南理工大学,护理学,2,537,101761,2,523,102668,2,518,110958,省重点,none,公办,105129
长春中医药大学,护理学,2,534,105892,2,520,108176,2,518,111740,省重点,none,公办,108603
牡丹江医学院,护理学,2,533,108878,none,none,none,none,none,none,none,none,公办,108878
西藏大学,护理学,3,524,123954,3,523,103434,4,523,102528,211,一流学科,公办,109972
河南科技大学,护理学,7,532,109662,7,520,108711,8,515,118434,省重点,none,公办,112269
华北理工大学,护理学,18,530,113004,10,519,110559,6,517,114808,省重点,none,公办,112790
湖南医药学院,护理学,1,527,119432,1,521,106979,1,517,113466,none,none,公办,113292
云南中医药大学,护理学,3,529,115264,1,518,112011,1,515,117835,none,none,公办,115037
上海健康医学院,护理学,5,522,126908,5,523,103790,none,none,none,none,none,公办,115349
安徽理工大学,护理学,4,532,110662,none,none,none,6,512,124212,省重点,none,公办,117437
遵义医科大学,护理学,4,529,115650,5,516,116228,5,513,122747,none,none,公办,118208
河北工程大学,护理学,4,525,122716,4,516,116612,2,515,117822,省重点,none,公办,119050
昆明医科大学,护理学(中外合作办学),none,none,none,1,511,127656,1,518,112372,省重点,none,公办,120014
承德医学院,护理学,3,526,120142,3,515,118526,3,512,123374,none,none,公办,120681
江西中医药大学,护理学,2,525,121904,5,516,117084,6,512,124567,省重点,none,公办,121185
海南医学院,护理学,2,529,115492,2,514,120726,2,506,135698,none,none,公办,123972
黑龙江中医药大学,护理学,6,524,124152,6,513,123637,6,509,129330,省重点,none,公办,125706
南昌医学院,护理学,none,none,none,none,none,none,2,510,128207,none,none,公办,128207
延安大学,护理学,none,none,none,none,none,none,2,509,129549,省重点,none,公办,129549
安徽中医药大学,护理学,8,520,131675,8,511,126331,6,508,132712,省重点,none,公办,130239
山东第一医科大学,护理学类(地方专项计划),none,none,none,none,none,none,10,509,130304,none,none,公办,130304
河南中医药大学,护理学,4,518,135038,4,511,126895,4,508,133166,none,none,公办,131700
甘肃中医药大学,护理学,2,519,132952,1,509,131199,2,508,132996,none,none,公办,132382
北华大学,护理学,6,517,136031,6,509,131707,6,507,135273,省重点,none,公办,134337
广西中医药大学,护理学,2,514,143209,2,511,127626,2,502,145289,省重点,none,公办,138708
山东第一医科大学,护理学,310,515,139573,340,505,139144,none,none,none,none,none,公办,139359
山东第一医科大学,护理学类,none,none,none,none,none,none,370,504,139918,none,none,公办,139918
山东中医药大学,护理学(地方专项计划),15,518,135703,15,504,141331,15,503,142911,省重点,none,公办,139982
河北中医学院,护理学,2,515,141406,2,505,139119,2,502,144802,none,none,公办,141776
西安医学院,护理学,4,515,140628,5,504,140879,5,502,145287,none,none,公办,142265
山东中医药大学,护理学,252,513,145137,217,504,142170,214,503,142186,省重点,none,公办,143164
山西中医药大学,护理学,12,512,147198,12,502,145923,12,501,148589,none,none,公办,147237
湖州师范学院,护理学,none,none,none,4,502,144712,5,500,150580,none,none,公办,147646
聊城大学,护理学,40,510,150797,40,502,146011,75,500,150378,none,none,公办,149062
长治医学院,护理学,4,511,147964,3,502,146601,3,498,154500,none,none,公办,149688
大理大学,护理学,6,510,150038,6,502,145977,6,498,153274,none,none,公办,149763
潍坊医学院,护理学,185,509,151308,189,500,150595,174,499,151814,none,none,公办,151239
湘南学院,护理学,2,509,151893,2,499,152742,none,none,none,none,none,公办,152318
佳木斯大学,护理学,5,510,150514,5,501,148259,18,496,159675,省重点,none,公办,152816
西北民族大学,护理学,2,508,154521,2,500,149245,2,496,159687,省重点,none,公办,154484
山东第一医科大学,护理学(校企合作，与北京圣辅国际教育科技合作),none,none,none,30,497,156118,30,497,155432,none,none,公办,155775
内蒙古医科大学,护理学,2,512,145917,4,497,157058,4,493,166274,省重点,none,公办,156416
吉林医药学院,护理学,3,507,156747,4,495,160683,4,494,164144,none,none,公办,160525
济宁医学院,护理学,82,505,159461,161,495,161267,181,493,164886,none,none,公办,161871
滨州医学院,护理学,223,503,163655,253,495,161863,227,495,161545,none,none,公办,162354
