院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
北京大学,国际政治(国政、外交学、国际政经),2,687,219,none,none,none,none,none,none,"C9,985,211",一流大学,公办,219
复旦大学,社会科学试验班(含政治及行政学、国政等专业),none,none,none,5,661,771,5,655,780,"C9,985,211",一流大学,公办,776
中国人民大学,国际政治(含双学士学位项目),none,none,none,none,none,none,7,653,887,"985,211",一流大学,公办,887
中国人民大学,国际政治,none,none,none,7,656,1084,none,none,none,"985,211",一流大学,公办,1084
华东师范大学,政治学与行政学(双学位),2,651,4435,2,634,4270,2,632,3845,"985,211",一流大学,公办,4183
厦门大学,政治学类,1,653,4002,4,632,4722,4,629,4673,"985,211",一流大学,公办,4466
中国政法大学,政治学与行政学,3,649,4888,3,632,4676,3,628,4826,211,一流学科,公办,4797
对外经济贸易大学,政治学类,2,648,4981,none,none,none,none,none,none,211,一流学科,公办,4981
中国政法大学,国际政治,2,650,4666,2,629,5313,2,625,5678,211,一流学科,公办,5219
中国社会科学院大学,政治学与行政学,4,644,5997,4,625,6670,4,618,7722,none,none,公办,6796
上海外国语大学,政治学与行政学,2,643,6314,none,none,none,1,616,8435,211,一流学科,公办,7375
山东大学,政治学类,15,635,8884,14,619,8391,20,617,7994,"985,211",一流大学,公办,8423
上海外国语大学,国际政治,none,none,none,none,none,none,1,615,8891,211,一流学科,公办,8891
中国传媒大学,政治学与行政学(国家治理与政治传播方向),none,none,none,2,619,8404,2,610,10728,211,一流学科,公办,9566
吉林大学,政治学与行政学,6,630,10654,6,614,10258,6,608,11569,"985,211",一流大学,公办,10827
华中师范大学,政治学类,2,629,11140,2,612,11174,2,608,11649,211,一流学科,公办,11321
西南大学,思想政治教育,2,620,14923,1,614,10403,1,610,10718,211,一流学科,公办,12015
中国海洋大学,政治学与行政学,8,624,13266,8,608,12850,7,604,13315,"985,211",一流大学,公办,13144
中南财经政法大学,国际政治,2,624,12982,2,607,13228,4,601,14967,211,一流学科,公办,13726
山东大学威海分校,国际政治,4,621,14640,4,606,13755,4,603,13934,"985,211",一流大学,公办,14110
暨南大学,国际政治,2,621,14274,2,601,16147,2,598,16338,211,一流学科,公办,15586
河海大学,思想政治教育,2,618,16163,2,601,16278,2,599,15686,211,一流学科,公办,16042
南京航空航天大学,政治学与行政学,3,618,16076,none,none,none,none,none,none,211,一流学科,公办,16076
东北师范大学,政治学类,4,617,16685,3,600,16838,4,599,15886,211,一流学科,公办,16470
西南交通大学,思想政治教育,none,none,none,1,600,16751,none,none,none,211,一流学科,公办,16751
湖南师范大学,思想政治教育(师范类),2,614,18177,2,600,16827,3,598,16019,211,一流学科,公办,17008
西南政法大学,思想政治教育,2,615,17305,2,600,16883,2,597,17140,全国重点,none,公办,17109
