院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
武汉大学,新闻传播学类(含卓越新闻传播人才教育培养计划),none,none,none,4,647,2056,4,642,2162,"985,211",一流大学,公办,2109
武汉大学,电子信息类(含卓越工程师教育培养计划),none,none,none,11,645,2239,14,642,2177,"985,211",一流大学,公办,2208
武汉大学,工科试验班(包含卓越工程师教育培养计划),none,none,none,none,none,none,22,638,2803,"985,211",一流大学,公办,2803
武汉大学,测绘类(含卓越工程师教育培养计划),none,none,none,10,641,2949,10,636,3031,"985,211",一流大学,公办,2990
北京师范大学,教育学类,7,659,2814,7,639,3246,7,636,3177,"985,211",一流大学,公办,3079
武汉大学,轻工类(含卓越工程师教育培养计划),none,none,none,4,638,3449,none,none,none,"985,211",一流大学,公办,3449
华东师范大学,教育技术学(师范类),none,none,none,1,635,4114,none,none,none,"985,211",一流大学,公办,4114
华东师范大学,教育技术学(双学位),2,651,4336,1,635,4104,none,none,none,"985,211",一流大学,公办,4220
华东师范大学,教育学类(师范类),4,654,3759,3,633,4513,3,628,4781,"985,211",一流大学,公办,4351
中央财经大学,法学(卓越法治人才教育培养计划),none,none,none,4,632,4634,4,629,4680,211,一流学科,公办,4657
华东师范大学,汉语国际教育,2,652,4237,2,631,4890,3,628,4903,"985,211",一流大学,公办,4677
上海外国语大学,英语(教育),2,649,4839,none,none,none,2,623,6214,211,一流学科,公办,5527
北京外国语大学,汉语国际教育,2,652,4201,2,630,5263,2,619,7300,211,一流学科,公办,5588
上海外国语大学,汉语国际教育,2,643,6375,none,none,none,2,614,9285,211,一流学科,公办,7830
上海外国语大学,教育技术学,none,none,none,none,none,none,2,612,9884,211,一流学科,公办,9884
中央民族大学,教育学,2,630,10574,2,613,10695,3,608,11574,"985,211",一流大学,公办,10948
中央民族大学,汉语国际教育,none,none,none,2,612,10911,3,607,11910,"985,211",一流大学,公办,11411
南京师范大学,汉语国际教育,3,627,11986,3,608,12916,2,609,11060,211,一流学科,公办,11987
西南大学,思想政治教育,2,620,14923,1,614,10403,1,610,10718,211,一流学科,公办,12015
华中师范大学,教育学类,6,626,12245,4,608,12785,4,602,13978,211,一流学科,公办,13003
苏州大学,教育学(师范类),none,none,none,1,607,13360,none,none,none,211,一流学科,公办,13360
南京师范大学,教育学(师范类),3,624,12874,3,607,13191,3,602,14112,211,一流学科,公办,13392
暨南大学,汉语国际教育,2,623,13406,2,607,13055,2,600,15248,211,一流学科,公办,13903
首都师范大学,数学与应用数学(教育部拔尖计划实验班),none,none,none,none,none,none,2,600,15012,省重点,一流学科,公办,15012
电子科技大学(沙河校区),电子信息类(中外合作办学)(海南陵水国际教育创新区),none,none,none,none,none,none,5,600,15028,"985,211",一流大学,公办,15028
南京师范大学,小学教育(师范类),3,618,15774,3,604,14432,6,601,14932,211,一流学科,公办,15046
河海大学,思想政治教育,2,618,16163,2,601,16278,2,599,15686,211,一流学科,公办,16042
南京师范大学,教育技术学(师范类),3,618,15761,3,602,15494,3,596,17538,211,一流学科,公办,16264
湖南师范大学,教育学(师范类),none,none,none,2,600,16541,2,598,16125,211,一流学科,公办,16333
东北师范大学,教育学类(师范类),none,none,none,4,601,16143,3,597,17147,211,一流学科,公办,16645
西南交通大学,思想政治教育,none,none,none,1,600,16751,none,none,none,211,一流学科,公办,16751
南京师范大学,学前教育(师范类),3,614,18114,3,600,16809,3,599,15944,211,一流学科,公办,16956
湖南师范大学,思想政治教育(师范类),2,614,18177,2,600,16827,3,598,16019,211,一流学科,公办,17008
东北师范大学,教育学类,4,616,17076,none,none,none,none,none,none,211,一流学科,公办,17076
西南政法大学,思想政治教育,2,615,17305,2,600,16883,2,597,17140,全国重点,none,公办,17109
首都师范大学,教育学,none,none,none,4,596,18686,4,594,18817,省重点,一流学科,公办,18752
北京语言大学,汉语国际教育,2,614,18249,2,597,18583,3,592,20000,none,none,公办,18944
中国石油大学(北京),思想政治教育,5,611,19778,5,596,18787,5,594,18324,211,一流学科,公办,18963
湖南师范大学,汉语国际教育(师范类),none,none,none,4,595,19764,4,593,19396,211,一流学科,公办,19580
陕西师范大学,教育学类,none,none,none,none,none,none,6,592,19613,211,一流学科,公办,19613
西南交通大学,汉语国际教育,3,609,21203,1,594,20397,1,595,18105,211,一流学科,公办,19902
江南大学,思想政治教育,none,none,none,none,none,none,6,592,20137,211,一流学科,公办,20137
中国地质大学(武汉),思想政治教育,none,none,none,none,none,none,3,592,20148,211,一流学科,公办,20148
武汉理工大学,思想政治教育,4,609,21241,5,593,20862,5,592,20063,211,一流学科,公办,20722
东北师范大学,教育技术学,1,609,20749,none,none,none,none,none,none,211,一流学科,公办,20749
郑州大学,教育学类,6,610,20604,6,593,21059,6,590,21292,211,一流大学,公办,20985
长安大学,思想政治教育,5,607,22148,4,594,20382,4,590,21359,211,一流学科,公办,21296
西北农林科技大学,汉语国际教育,2,605,23685,2,590,22794,2,594,18541,"985,211",一流大学,公办,21673
辽宁大学,汉语国际教育,3,608,21665,3,591,21817,3,587,23192,211,一流学科,公办,22225
北京体育大学,教育学,1,605,23657,1,591,21922,1,589,21940,211,一流学科,公办,22506
哈尔滨工程大学,思想政治教育,3,606,22920,3,591,22306,2,588,22586,211,一流学科,公办,22604
江南大学,小学教育(师范类),none,none,none,15,589,23566,8,587,23183,211,一流学科,公办,23375
北京体育大学,汉语国际教育,1,604,24333,1,589,23594,1,588,22670,211,一流学科,公办,23532
海南大学,思想政治教育,3,603,24914,3,588,23797,2,588,22455,211,一流学科,公办,23722
河北工业大学,汉语国际教育,2,605,23551,2,587,24640,2,585,24444,211,一流学科,公办,24212
华南师范大学,学前教育(师范类),none,none,none,none,none,none,3,585,24677,211,一流学科,公办,24677
太原理工大学,思想政治教育,4,601,26110,4,588,24211,4,585,24552,211,一流学科,公办,24958
浙江师范大学,思想政治教育(师范类),none,none,none,none,none,none,3,582,26522,省重点,none,公办,26522
上海师范大学,小学教育(师范类),none,none,none,6,584,26892,6,580,28488,省重点,none,公办,27690
天津外国语大学,汉语国际教育,3,598,28184,2,581,29265,2,577,30573,省重点,none,公办,29341
湘潭大学,思想政治教育,3,594,31713,4,580,29567,3,582,26748,全国重点,一流学科,公办,29343
广西大学,思想政治教育,none,none,none,none,none,none,5,578,29404,211,一流学科,公办,29404
中央戏剧学院,戏剧教育,none,none,none,3,580,29880,4,579,29119,none,一流学科,公办,29500
中国民航大学,思想政治教育,none,none,none,none,none,none,1,578,30079,省重点,none,公办,30079
山东师范大学,思想政治教育(师范类),none,none,none,45,581,29121,110,577,31086,省重点,none,公办,30104
河南大学,思想政治教育(师范类),5,592,33224,5,579,30876,5,580,28356,省重点,一流学科,公办,30819
天津师范大学,教育技术学(师范类),none,none,none,1,579,30844,1,575,32530,省重点,none,公办,31687
上海政法学院,思想政治教育,2,591,33320,2,580,29666,2,575,32392,none,none,公办,31793
江苏师范大学,思想政治教育(师范类),2,592,32847,3,578,30947,5,576,31839,省重点,none,公办,31878
东北农业大学,汉语国际教育,5,591,33776,5,579,30891,5,576,31911,211,一流学科,公办,32193
河南大学,教育学类(师范类),4,592,33012,4,579,30911,4,574,33197,省重点,一流学科,公办,32373
内蒙古大学,汉语国际教育,3,589,35448,3,575,33948,1,579,29333,211,一流学科,公办,32910
上海戏剧学院,戏剧教育,none,none,none,none,none,none,2,574,33610,none,none,公办,33610
成都理工大学,思想政治教育,4,588,36243,4,577,32370,4,575,32593,省重点,一流学科,公办,33735
宁波大学,小学教育(师范类),6,591,33928,6,575,33627,none,none,none,省重点,一流学科,公办,33778
湖北大学,思想政治教育(师范类),2,590,34794,3,574,34467,4,573,34311,省重点,none,公办,34524
宁夏大学,思想政治教育(师范),3,588,36638,3,572,36616,3,575,32756,211,一流学科,公办,35337
山东师范大学,思想政治教育(师范类，地方专项计划),none,none,none,8,571,37371,6,574,33554,省重点,none,公办,35463
西南石油大学,思想政治教育,none,none,none,3,572,36914,2,573,34343,省重点,一流学科,公办,35629
重庆师范大学,思想政治教育(师范类),none,none,none,3,571,37051,2,573,34470,省重点,none,公办,35761
天津师范大学,教育学类(师范类),none,none,none,21,574,34833,18,570,37134,省重点,none,公办,35984
山东师范大学,教育学(师范类),none,none,none,52,571,37317,33,571,36119,省重点,none,公办,36718
北京化工大学,化工与制药类(中外合作办学)(中法精英工程教育试验班),6,591,34080,8,569,38976,8,569,38306,211,一流学科,公办,37121
宁波大学,学前教育(师范类),3,587,37497,2,571,37826,none,none,none,省重点,一流学科,公办,37662
广东外语外贸大学,教育学,1,587,37499,1,577,32095,1,563,43709,省重点,none,公办,37768
长江大学,临床医学(含教育部卓越医生、省荆楚卓越人才育人计划),none,none,none,8,568,40272,2,572,35286,省重点,none,公办,37779
四川师范大学,思想政治教育,4,583,41032,2,571,37559,2,572,35444,省重点,none,公办,38012
浙江师范大学,学前教育(师范类),none,none,none,5,571,37927,4,569,38097,省重点,none,公办,38012
湖北大学,教育学类,2,586,38114,none,none,none,none,none,none,省重点,none,公办,38114
华侨大学,汉语国际教育,3,588,36144,3,571,37568,5,565,42191,"全国重点,省重点",none,公办,38634
山东师范大学,小学教育(师范类),none,none,none,20,570,38361,36,568,39175,省重点,none,公办,38768
燕山大学,汉语国际教育,none,none,none,none,none,none,2,567,39637,全国重点,none,公办,39637
江西师范大学,思想政治教育(师范类),3,583,41366,5,569,39825,8,569,38253,省重点,none,公办,39815
山东师范大学,汉语国际教育(师范类),none,none,none,55,569,39654,60,566,41270,省重点,none,公办,40462
宁夏大学,学前教育(师范),2,581,43013,2,571,37314,2,565,41960,211,一流学科,公办,40762
上海政法学院,汉语国际教育,3,583,41344,2,568,40398,3,566,40944,none,none,公办,40895
江苏师范大学,汉语国际教育(师范类),2,584,40001,2,568,40732,4,565,42018,省重点,none,公办,40917
四川师范大学,教育学,1,584,40017,2,568,39901,2,564,43164,省重点,none,公办,41027
集美大学,汉语国际教育,2,583,41035,none,none,none,none,none,none,省重点,none,公办,41035
山东师范大学,教育技术学(师范类),none,none,none,10,568,40807,10,565,41603,省重点,none,公办,41205
新疆大学,思想政治教育,2,571,54098,3,571,37288,3,574,32999,211,一流大学,公办,41462
