院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
北京大学,数学类,4,693,80,none,none,none,none,none,none,"C9,985,211",一流大学,公办,80
复旦大学,数学类(拔尖学生培养基地),3,686,232,3,674,214,3,668,228,"C9,985,211",一流大学,公办,225
中国科学院大学,数学与应用数学,2,686,253,2,674,221,2,669,203,none,一流学科,公办,226
北京航空航天大学,理科试验班类(华罗庚数学拔尖计划),none,none,none,none,none,none,1,658,616,"985,211",一流大学,公办,616
西安交通大学,数学与应用数学(国家拔尖计划),none,none,none,none,none,none,3,647,1515,"C9,985,211",一流大学,公办,1515
同济大学,数学与应用数学(数学拔尖学生培养),none,none,none,none,none,none,3,646,1601,"985,211",一流大学,公办,1601
武汉大学,数学类(含数学国家拔尖学生培养基地),none,none,none,5,649,1715,6,646,1633,"985,211",一流大学,公办,1674
西安交通大学,理科试验班(数学H),3,666,1810,3,649,1713,none,none,none,"C9,985,211",一流大学,公办,1762
北京师范大学,数学类,14,666,1736,13,649,1801,13,643,1993,"985,211",一流大学,公办,1843
上海财经大学,经济学(双学士学位、经济学院和数学学院培养),none,none,none,none,none,none,2,644,1893,211,一流学科,公办,1893
华中科技大学,数学类,3,664,1980,6,645,2269,2,642,2172,"985,211",一流大学,公办,2140
中山大学,数学类(广州),none,none,none,none,none,none,6,637,2865,"985,211",一流大学,公办,2865
四川大学,数学与应用数学(基地班),2,662,2258,2,640,2993,2,634,3402,"985,211",一流大学,公办,2884
上海财经大学,投资学(双学士学位、公管学院和数学学院培养),none,none,none,none,none,none,3,637,3011,211,一流学科,公办,3011
上海财经大学,数学类,3,663,2133,5,641,2849,5,631,4084,211,一流学科,公办,3022
华东师范大学,数学与应用数学,3,657,3135,2,640,3033,2,635,3219,"985,211",一流大学,公办,3129
四川大学,数学与应用数学(数学经济学双学士学位),2,656,3255,2,639,3302,2,633,3711,"985,211",一流大学,公办,3423
中央财经大学,数学类,4,660,2639,4,638,3402,4,630,4447,211,一流学科,公办,3496
对外经济贸易大学,金融数学,2,658,2957,3,637,3540,4,629,4488,211,一流学科,公办,3662
厦门大学,数学类(含物理类),4,653,3971,3,637,3527,10,630,4253,"985,211",一流大学,公办,3917
四川大学,数学类,2,651,4308,2,633,4422,2,632,3914,"985,211",一流大学,公办,4215
山东大学,数学类,55,651,4327,66,633,4393,72,629,4646,"985,211",一流大学,公办,4455
华南理工大学,数学类,5,650,4631,3,631,5060,3,627,5021,"985,211",一流大学,公办,4904
西北工业大学,数学类,4,643,6297,4,626,6315,4,623,6091,"985,211",一流大学,公办,6234
中国人民大学(苏州校区),数学与应用数学(中外合作办学),none,none,none,none,none,none,2,621,6574,"985,211",一流大学,公办,6574
中南大学,数学类(数学物理类),12,642,6487,12,625,6575,12,620,6858,"985,211",一流大学,公办,6640
中国农业大学,数学与应用数学,none,none,none,none,none,none,2,619,7415,"985,211",一流大学,公办,7415
重庆大学,理科试验班(数学物理类),none,none,none,8,622,7434,5,618,7564,"985,211",一流大学,公办,7499
吉林大学,数学类,10,638,7740,10,621,7727,10,617,7869,"985,211",一流大学,公办,7779
大连理工大学,数学类(数学类及华罗庚数学基础科学拔尖计划班),9,639,7489,7,621,7793,9,616,8302,"985,211",一流大学,公办,7861
西南财经大学,金融数学,2,639,7360,2,621,7825,1,616,8399,211,一流学科,公办,7861
西南财经大学,数学与应用数学(数学与经济学双学位),2,639,7373,2,620,8081,1,616,8382,211,一流学科,公办,7945
