院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
安徽大学,新闻传播学类,5,610,20101,7,594,20405,7,590,21260,211,一流学科,公办,20589
安徽师范大学,新闻传播学类,none,none,none,4,564,44132,4,564,43141,省重点,none,公办,43637
安徽艺术学院,新闻学,none,none,none,5,493,165135,5,491,170414,none,none,公办,167775
北方民族大学,新闻传播学类,1,520,130419,1,515,118159,1,518,112349,省重点,none,公办,120309
北京大学,新闻传播学类,1,687,225,none,none,none,none,none,none,"C9,985,211",一流大学,公办,225
北京第二外国语学院,新闻学(融媒体国际新闻),2,612,19064,2,595,19581,2,586,23445,省重点,none,公办,20697
北京交通大学,新闻传播学类,4,639,7343,4,617,8908,4,611,10235,211,一流学科,公办,8829
北京联合大学,新闻学,1,581,43404,2,566,42177,2,562,45500,none,none,公办,43694
北京体育大学,新闻学,5,606,22943,5,595,19654,4,593,19431,211,一流学科,公办,20676
北京外国语大学,新闻学(日语),1,649,4881,none,none,none,none,none,none,211,一流学科,公办,4881
北京信息科技大学,新闻传播学类,2,596,30117,none,none,none,none,none,none,省重点,none,公办,30117
北京印刷学院,新闻传播学类,5,574,50529,3,567,41507,3,564,43254,none,none,公办,45097
北京语言大学,新闻学(国际新闻传播),1,631,10100,1,604,14632,1,606,12608,none,none,公办,12447
渤海大学,新闻学,6,539,97599,6,527,96497,6,526,96825,none,none,公办,96974
成都理工大学,新闻传播学类,none,none,none,4,571,37827,4,574,33623,省重点,一流学科,公办,35725
成都体育学院,新闻学,4,535,104963,3,527,96819,3,528,93854,none,none,公办,98545
滁州学院,新闻学,1,540,97088,1,530,90479,1,522,103680,none,none,公办,97082
大连理工大学,新闻传播学类(人文社科实验班),15,624,13135,15,604,14467,6,603,13630,"985,211",一流大学,公办,13744
大连民族大学,新闻学,2,551,79581,2,542,72011,2,541,72695,none,none,公办,74762
德州学院,新闻学,30,503,164777,25,496,159671,5,500,150697,none,none,公办,158382
东北师范大学,新闻传播学类,3,612,19159,3,597,18567,2,593,18948,211,一流学科,公办,18891
东华大学,新闻传播学类,5,620,15158,7,603,15283,7,598,16519,211,一流学科,公办,15653
复旦大学,新闻传播学类(卓越新闻人才计划),4,679,527,4,663,632,3,657,661,"C9,985,211",一流大学,公办,607
甘肃政法大学,新闻学,none,none,none,none,none,none,2,539,75625,none,none,公办,75625
甘肃政法大学,新闻学(法治新闻方向),none,none,none,2,535,82655,none,none,none,none,none,公办,82655
赣南师范大学,新闻学,none,none,none,2,534,83773,2,531,88876,none,none,公办,86325
广西大学,新闻传播学类,10,593,32481,10,577,32135,10,577,31043,211,一流学科,公办,31886
广西民族大学,新闻传播学类,3,526,120775,3,517,114328,none,none,none,省重点,none,公办,117552
广西民族大学,新闻学,none,none,none,none,none,none,1,520,108038,省重点,none,公办,108038
广州体育学院,新闻学,none,none,none,none,none,none,1,519,109339,none,none,公办,109339
桂林理工大学,新闻传播学类,4,527,118724,4,516,115576,4,513,120978,省重点,none,公办,118426
哈尔滨商业大学,新闻学,6,548,84331,5,534,83483,9,528,92618,省重点,none,公办,86811
哈尔滨体育学院,新闻学,5,492,186628,12,485,184685,7,483,190182,none,none,公办,187165
海南热带海洋学院,新闻学,2,509,152922,3,498,153296,3,494,162838,none,none,公办,156352
河北大学,新闻传播学类,2,602,25316,2,584,26521,2,577,30781,省重点,none,公办,27539
河北环境工程学院,新闻学,none,none,none,3,491,171255,2,494,164571,none,none,公办,167913
河北经贸大学,新闻传播学类,4,555,74541,4,542,72047,3,541,72281,省重点,none,公办,72956
河北工业职业技术大学,新闻学,2,485,201313,none,none,none,none,none,none,none,none,公办,201313
河北师范大学,新闻传播学类,4,581,43306,5,565,43883,5,562,45344,省重点,none,公办,44178
河南大学,新闻传播学类,none,none,none,5,578,31199,none,none,none,省重点,一流学科,公办,31199
河南工业大学,新闻传播学类,3,555,74538,3,547,64228,3,548,61776,省重点,none,公办,66847
衡阳师范学院,新闻学,2,534,107168,2,524,101708,2,522,104673,none,none,公办,104516
湖北大学,新闻传播学类,2,599,27765,3,583,27780,3,577,31064,省重点,none,公办,28870
湖北民族大学,新闻传播学类,2,528,117630,2,519,111464,none,none,none,none,none,公办,114547
湖南大学,新闻传播学类,5,633,9612,3,616,9639,3,615,8895,"985,211",一流大学,公办,9382
湖南工业大学,新闻传播学类,none,none,none,4,543,70357,5,539,75645,省重点,none,公办,73001
湖南科技大学,新闻学,2,572,52447,2,560,48607,2,556,51491,省重点,none,公办,50848
湖南师范大学,新闻传播学类,2,617,16201,8,599,17471,8,594,18457,211,一流学科,公办,17376
湖南文理学院,新闻学,2,515,140651,2,509,130893,2,512,123864,none,none,公办,131803
湖州师范学院,新闻学,none,none,none,none,none,none,2,522,104654,none,none,公办,104654
华北科技学院,新闻学,2,537,100845,none,none,none,none,none,none,none,none,公办,100845
华东师范大学,新闻传播学类,2,651,4364,2,634,4353,2,631,4161,"985,211",一流大学,公办,4293
华东政法大学,新闻传播学类,2,632,9855,2,613,10524,none,none,none,省重点,none,公办,10190
华东政法大学,新闻学(卓越人才实验班),none,none,none,none,none,none,1,617,8197,省重点,none,公办,8197
华南理工大学,新闻传播学类,3,641,6691,3,621,7789,3,617,7897,"985,211",一流大学,公办,7459
华侨大学,新闻传播学类,2,590,34937,2,572,36619,3,571,36018,"全国重点,省重点",none,公办,35858
华中师范大学,新闻传播学类,3,625,12471,2,610,11980,2,604,13430,211,一流学科,公办,12627
淮北师范大学,新闻学,1,553,77260,1,547,64881,1,546,65179,省重点,none,公办,69107
吉林大学,新闻传播学类,6,630,10486,6,614,10263,6,609,11090,"985,211",一流大学,公办,10613
吉林农业大学,新闻传播学类,3,537,102199,none,none,none,none,none,none,省重点,none,公办,102199
吉林师范大学,新闻学,2,558,69868,2,545,67727,2,543,69767,省重点,none,公办,69121
济南大学,新闻传播学类,46,564,62535,40,551,59990,58,548,62682,省重点,none,公办,61736
济南大学,新闻传播学类(地方专项计划),6,554,75441,6,545,67500,none,none,none,省重点,none,公办,71471
济南大学,新闻传播学类(济南走读),none,none,none,none,none,none,25,531,88265,省重点,none,公办,88265
江苏海洋大学,新闻学,1,558,69910,none,none,none,none,none,none,none,none,公办,69910
江西财经大学,新闻学(经济新闻),2,588,36634,3,571,37120,3,566,40967,省重点,none,公办,38240
江西师范大学,新闻传播学类,9,576,48570,1,566,42238,4,563,44156,省重点,none,公办,44988
井冈山大学,新闻学,3,515,140509,3,510,128752,3,510,127739,none,none,公办,132333
兰州财经大学,新闻学,2,545,88689,2,532,87320,2,531,88877,none,none,公办,88295
兰州大学,新闻传播学类,9,618,15926,8,601,16142,6,599,15603,"985,211",一流大学,公办,15890
