院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
安徽大学,机械类,none,none,none,none,none,none,3,587,22995,211,一流学科,公办,22995
安徽工业大学,机械工程,2,550,81039,2,535,81926,2,534,83479,省重点,none,公办,82148
安徽工业大学,机械设计制造及其自动化,4,552,77913,8,536,80027,8,535,80962,省重点,none,公办,79634
安徽建筑大学,机械设计制造及其自动化,2,539,98479,2,526,97614,2,524,99727,省重点,none,公办,98607
安徽理工大学,机械电子工程(中外合作办学),4,503,163580,4,493,164726,4,497,156412,省重点,none,公办,161573
安徽理工大学,机械设计制造及其自动化,4,554,75283,4,540,74127,6,538,76139,省重点,none,公办,75183
安徽农业大学,机械类,2,538,100535,2,525,99804,2,524,100244,省重点,none,公办,100194
安徽农业大学,农业机械化及其自动化,2,533,107725,2,524,100714,2,521,105907,省重点,none,公办,104782
安阳工学院,机械电子工程(中外合作办学),2,474,223775,2,472,213112,2,468,225291,none,none,公办,220726
安阳工学院,机械设计制造及其自动化,2,491,187812,none,none,none,none,none,none,none,none,公办,187812
白城师范学院,机械电子工程,none,none,none,2,475,208325,2,474,211481,none,none,公办,209903
白城师范学院,机械设计制造及其自动化,none,none,none,2,477,202115,2,474,210463,none,none,公办,206289
宝鸡文理学院,机械电子工程,3,489,192356,none,none,none,none,none,none,none,none,公办,192356
宝鸡文理学院,机械设计制造及其自动化,5,488,193534,4,482,190913,4,478,201933,none,none,公办,195460
北部湾大学,机械工程,2,502,165889,1,494,162782,1,496,158567,none,none,公办,162413
北部湾大学,机械工程(中外合作办学),none,none,none,3,468,223946,3,467,229362,none,none,公办,226654
北部湾大学,机械设计制造及其自动化(中外合作办学),none,none,none,3,468,222719,3,467,227845,none,none,公办,225282
北方工业大学,机械电子工程,4,595,30800,none,none,none,none,none,none,省重点,none,公办,30800
北方工业大学,机械电子工程(智能制造与新能源汽车),none,none,none,4,576,32832,4,573,33996,省重点,none,公办,33414
北方工业大学,机械设计制造及其自动化(创新实验班),3,599,27709,3,581,28722,3,578,30054,省重点,none,公办,28828
北方民族大学,机械类,5,502,164876,5,493,165988,5,493,165160,省重点,none,公办,165341
北华大学,机械类,9,519,133810,9,507,135041,5,507,134487,省重点,none,公办,134446
北华大学,机械设计制造及其自动化(中外合作办学),20,482,207514,20,479,197455,18,476,206866,省重点,none,公办,203945
北华航天工业学院,机械电子工程,2,506,157700,2,498,155080,2,500,148890,none,none,公办,153890
北华航天工业学院,机械设计制造及其自动化,1,579,45240,2,560,48395,2,552,56767,none,none,公办,50134
北华航天工业学院,机械设计制造及其自动化(中外合作办学),5,479,212942,5,478,200424,5,474,210174,none,none,公办,207847
北京工商大学,机械类,5,585,39101,none,none,none,none,none,none,省重点,none,公办,39101
北京工业大学,机械类,3,626,12317,4,606,13659,3,601,14725,211,一流学科,公办,13567
北京化工大学,机械类(高端装备与智能制造、机器人),18,616,17028,none,none,none,none,none,none,211,一流学科,公办,17028
北京化工大学,机械设计制造及其自动化(中外合作办学)(中美双学位、机器人方向),5,594,31379,6,573,35506,6,565,41500,211,一流学科,公办,36128
北京交通大学,机械电子工程(中外合作办学),6,602,25281,5,586,25042,6,580,27828,211,一流学科,公办,26050
北京交通大学,机械类(智能制造与智能装备),16,636,8426,16,615,9738,16,609,11237,211,一流学科,公办,9800
北京科技大学,机械类,17,627,11688,15,607,13105,17,602,14329,211,一流学科,公办,13041
北京林业大学,机械设计制造及其自动化,5,612,19110,5,595,19676,5,591,20599,211,一流学科,公办,19795
北京石油化工学院,机械电子工程,2,543,91350,2,531,89253,none,none,none,none,none,公办,90302
