院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
中国科学院大学,材料科学与工程,2,682,368,2,669,384,2,664,352,none,一流学科,公办,368
北京理工大学,理科试验班(理学与材料菁英班),15,671,1190,none,none,none,4,646,1635,"985,211",一流大学,公办,1413
华侨大学,大学材料成型及控制工程(启明本硕博实验班),2,668,1491,none,none,none,none,none,none,"全国重点,省重点",none,公办,1491
同济大学,工科试验班(智能化制造与先进材料类),6,669,1359,10,650,1688,10,644,1938,"985,211",一流大学,公办,1662
哈尔滨工业大学,工科试验班(智能装备与先进材料本硕博连读),none,none,none,2,647,1988,none,none,none,"C9,985,211",一流大学,公办,1988
哈尔滨工业大学,工科试验班(资源环境与新材料化工本硕博连读),none,none,none,1,646,2148,none,none,none,"C9,985,211",一流大学,公办,2148
华侨大学,大学材料成型及控制工程(材料卓越计划实验班),2,659,2845,none,none,none,none,none,none,"全国重点,省重点",none,公办,2845
华中科技大学,材料类,none,none,none,13,638,3370,12,632,3946,"985,211",一流大学,公办,3658
哈尔滨工业大学,工科试验班(智能装备与先进材料),none,none,none,24,636,3893,none,none,none,"C9,985,211",一流大学,公办,3893
东南大学成贤学院,班(机械能源材料类),27,653,3989,none,none,none,none,none,none,none,none,民办,3989
厦门大学,化学类(含化学化工材料类),7,655,3517,6,635,4044,18,628,4893,"985,211",一流大学,公办,4151
东南大学,工科试验班(土木交通材料实验班),27,654,3756,none,none,none,30,628,4787,"985,211",一流大学,公办,4272
东南大学,工科试验班(先进机械能源材料类),none,none,none,27,632,4623,none,none,none,"985,211",一流大学,公办,4623
西北工业大学,材料类(本研衔接班),none,none,none,2,629,5412,2,630,4352,"985,211",一流大学,公办,4882
厦门大学,材料类,6,647,5268,6,627,5893,none,none,none,"985,211",一流大学,公办,5581
华南理工大学,材料类,none,none,none,2,628,5769,3,625,5572,"985,211",一流大学,公办,5671
四川大学,材料类,13,642,6512,none,none,none,none,none,none,"985,211",一流大学,公办,6512
四川大学,工科试验班(先进低碳材料),none,none,none,none,none,none,3,621,6717,"985,211",一流大学,公办,6717
四川大学,高分子材料与工程,12,643,6365,12,623,7230,9,618,7618,"985,211",一流大学,公办,7071
西北工业大学,材料类(新材料与化工试验班),22,640,7079,15,621,7872,15,619,7439,"985,211",一流大学,公办,7463
四川大学,材料类(新能源与纳米材料),none,none,none,10,622,7405,12,616,8295,"985,211",一流大学,公办,7850
山东大学,材料类,65,631,10026,65,612,11225,40,608,11724,"985,211",一流大学,公办,10992
大连理工大学,材料类,8,631,10081,8,608,12672,none,none,none,"985,211",一流大学,公办,11377
大连理工大学,化工与制药类(智能化工、新材料与安全新工科实验班),21,630,10480,21,610,11983,12,606,12553,"985,211",一流大学,公办,11672
中南大学,材料类(冶金材料类),35,633,9341,40,608,12632,33,602,14373,"985,211",一流大学,公办,12115
南京航空航天大学,新能源材料与器件,3,628,11278,3,607,12980,4,604,13127,211,一流学科,公办,12462
哈尔滨工业大学(威海),智能材料与结构,none,none,none,none,none,none,10,606,12565,"C9,985,211",一流大学,公办,12565
湖南大学,材料科学与工程,5,629,11093,5,608,12717,5,602,14179,"985,211",一流大学,公办,12663
北京科技大学,材料科学与工程,16,629,10859,18,606,13542,19,600,15176,211,一流学科,公办,13192
苏州大学,材料类,3,624,13119,2,606,13654,none,none,none,211,一流学科,公办,13387
哈尔滨工业大学(威海),材料类,44,622,14028,20,607,12962,none,none,none,"C9,985,211",一流大学,公办,13495
南京航空航天大学,材料科学与工程,4,626,12142,4,606,13650,4,600,15444,211,一流学科,公办,13745
南京理工大学,材料类,6,625,12417,5,605,14317,15,597,16966,211,一流学科,公办,14567
华北电力大学(北京),材料类,2,623,13286,2,603,15002,2,599,15836,211,一流学科,公办,14708
上海大学,材料类,none,none,none,5,604,14442,3,599,15769,211,一流学科,公办,15106
苏州大学,纳米材料与技术,5,622,13873,5,603,15296,5,598,16473,211,一流学科,公办,15214
吉林大学,材料类,24,623,13356,24,602,15447,24,597,17034,"985,211",一流大学,公办,15279
苏州大学,金属材料工程,2,620,14785,2,601,16390,none,none,none,211,一流学科,公办,15588
北京工业大学,材料类(实验班),3,621,14600,4,600,16813,none,none,none,211,一流学科,公办,15707
中国海洋大学,材料类,25,620,14772,21,602,15756,24,596,17314,"985,211",一流大学,公办,15947
华东理工大学,材料类,22,621,14365,22,600,16586,18,594,18573,211,一流学科,公办,16508
东北大学,材料类,10,619,15341,12,600,16592,10,596,17619,"985,211",一流大学,公办,16517
北京化工大学,材料类(先进材料及绿色制造),27,615,17478,none,none,none,none,none,none,211,一流学科,公办,17478
东华大学,功能材料,2,616,16908,2,597,18418,2,592,19570,211,一流学科,公办,18299
武汉理工大学,材料类,30,617,16561,30,596,18865,25,591,20424,211,一流学科,公办,18617
东华大学,材料类,9,616,16820,9,596,19118,9,590,21102,211,一流学科,公办,19013
深圳大学,材料科学与工程,2,616,17019,3,594,20035,3,588,22182,none,none,公办,19745
河海大学,材料科学与工程,5,614,17945,6,595,19799,5,589,21608,211,一流学科,公办,19784
中央民族大学,纳米材料与技术,none,none,none,none,none,none,8,592,19813,"985,211",一流大学,公办,19813
中南大学,材料科学与工程(中外合作办学)(与蒙纳士大学中外合作办学项目),none,none,none,6,593,20820,6,593,19193,"985,211",一流大学,公办,20007
四川大学,材料科学与工程(中外合作办学),4,609,20949,3,593,20714,2,594,18804,"985,211",一流大学,公办,20156
中国石油大学(华东),材料类(本研一体班),none,none,none,none,none,none,5,591,20176,211,一流学科,公办,20176
南京邮电大学,材料物理,2,610,20407,none,none,none,none,none,none,省重点,一流学科,公办,20407
武汉理工大学,材料成型及控制工程,7,615,17666,9,595,19399,9,584,25174,211,一流学科,公办,20746
北京化工大学,工科试验班(先进材料与绿色化学),none,none,none,33,595,19813,32,588,22302,211,一流学科,公办,21058
中南大学,材料科学与工程(中外合作办学),6,608,21681,none,none,none,none,none,none,"985,211",一流大学,公办,21681
东北大学秦皇岛分校,材料类,17,609,21047,18,591,21721,18,587,22827,"985,211",一流大学,公办,21865
江南大学,高分子材料与工程,6,611,19709,6,592,21545,7,584,24942,211,一流学科,公办,22065
西北工业大学,材料科学与工程(中外合作办学),10,609,21189,10,589,23467,10,588,22232,"985,211",一流大学,公办,22296
河北工业大学,材料类,2,609,21085,2,590,22397,2,585,24019,211,一流学科,公办,22500
中国地质大学(北京),材料类,4,609,20826,5,590,22567,5,584,24745,211,一流学科,公办,22713
福州大学,高分子材料与工程,2,608,21469,2,590,22820,2,585,24123,211,一流学科,公办,22804
中国石油大学(北京),材料科学与工程,6,608,21500,6,589,23197,6,585,24562,211,一流学科,公办,23086
中国地质大学(北京),宝石及材料工艺学,2,612,18940,4,588,24107,2,580,28038,211,一流学科,公办,23695
西南交通大学,材料类,19,609,20681,19,588,24071,19,582,26388,211,一流学科,公办,23713
西南大学,材料类,3,609,20789,3,589,23402,3,581,27018,211,一流学科,公办,23736
上海大学,材料科学与工程(中外合作办学),5,607,21876,5,589,23072,5,582,26473,211,一流学科,公办,23807
河北工业大学,材料成型及控制工程,2,608,21678,2,587,24600,2,583,25927,211,一流学科,公办,24068
中国矿业大学(北京),材料科学与工程,3,606,22825,3,587,24615,3,584,25176,211,一流学科,公办,24205
哈尔滨工程大学,材料类,13,605,23488,15,584,26479,13,581,27081,211,一流学科,公办,25683
合肥工业大学,高分子材料与工程,7,605,23474,7,584,26358,4,581,27310,211,一流学科,公办,25714
中国矿业大学,新能源材料与器件,none,none,none,6,585,25989,5,583,25478,211,一流学科,公办,25734
西北工业大学,高分子材料与工程(中外合作办学),10,600,26664,10,584,26984,10,584,25260,"985,211",一流大学,公办,26303
中国地质大学(武汉),材料类,9,602,25103,9,584,26897,9,581,27304,211,一流学科,公办,26435
大连海事大学,材料科学与工程,5,600,26956,none,none,none,none,none,none,211,一流学科,公办,26956
合肥工业大学,材料成型及控制工程,5,602,25489,none,none,none,6,579,29165,211,一流学科,公办,27327
中国地质大学(武汉),宝石及材料工艺学,5,602,25166,5,583,27761,6,579,29138,211,一流学科,公办,27355
宁波大学,材料类,3,599,27658,none,none,none,none,none,none,省重点,一流学科,公办,27658
太原理工大学,材料科学与工程(试验班),none,none,none,1,582,27915,1,581,27413,211,一流学科,公办,27664
中国矿业大学,材料类,10,599,27453,6,581,28635,5,581,27439,211,一流学科,公办,27842
合肥工业大学(宣城校区),新能源材料与器件,2,600,26397,3,581,28851,3,580,28280,211,一流学科,公办,27843
合肥工业大学,材料类,10,603,24686,16,582,28308,5,577,30750,211,一流学科,公办,27915
合肥工业大学,材料物理,2,602,25290,none,none,none,7,577,30688,211,一流学科,公办,27989
南昌大学,材料成型及控制工程,2,599,27537,2,582,28243,2,579,28643,211,一流学科,公办,28141
南昌大学,材料类,5,603,24731,10,582,28298,10,575,32385,211,一流学科,公办,28471
南京信息工程大学,材料物理,2,601,26331,2,582,28025,2,576,31419,全国重点,一流学科,公办,28592
