院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
阿坝师范学院,汉语言文学(师范类),2,503,164252,1,498,154760,1,499,152041,none,none,公办,157018
安徽农业大学,汉语言文学,3,564,62456,3,552,58802,2,554,54865,省重点,none,公办,58708
安徽师范大学,汉语言文学(师范类),none,none,none,5,572,36579,2,576,31931,省重点,none,公办,34255
安徽中医药大学,汉语国际教育,2,536,102906,2,524,101933,2,521,105760,省重点,none,公办,103533
安顺学院,汉语言文学(师范类),1,498,174514,1,493,166007,1,496,158319,none,none,公办,166280
安阳师范学院,汉语言文学(师范类),none,none,none,none,none,none,3,513,122205,none,none,公办,122205
白城师范学院,汉语言文学(师范类),4,501,168442,6,495,160601,8,496,159013,none,none,公办,162685
百色学院,汉语言文学,2,496,177559,none,none,none,none,none,none,none,none,公办,177559
宝鸡文理学院,汉语言文学(师范类),2,525,122325,5,515,118707,2,512,123022,none,none,公办,121351
保定学院,汉语言文学(师范类),1,521,128777,1,516,116150,1,515,117245,none,none,公办,120724
北方工业大学,汉语言文学,2,600,27052,2,586,25451,2,581,27710,省重点,none,公办,26738
北方民族大学,汉语言文学,2,533,108056,1,523,103614,1,526,97602,省重点,none,公办,103091
北华大学,汉语言文学(师范类),2,550,81106,2,541,72592,2,546,65322,省重点,none,公办,73007
北京第二外国语学院,汉语言文学(多语复合),2,611,19977,2,595,19538,2,588,22293,省重点,none,公办,20603
北京体育大学,汉语国际教育,1,604,24333,1,589,23594,1,588,22670,211,一流学科,公办,23532
北京体育大学,汉语言文学,2,605,23600,2,591,22061,2,590,21119,211,一流学科,公办,22260
北京外国语大学,汉语国际教育,2,652,4201,2,630,5263,2,619,7300,211,一流学科,公办,5588
北京外国语大学,汉语言文学,none,none,none,none,none,none,2,627,5110,211,一流学科,公办,5110
北京外国语大学,汉语言文学(英语),1,652,4152,none,none,none,none,none,none,211,一流学科,公办,4152
北京语言大学,汉语国际教育,2,614,18249,2,597,18583,3,592,20000,none,none,公办,18944
北京语言大学,汉语言文学,2,617,16560,2,603,14830,3,597,16895,none,none,公办,16095
滨州学院,汉语言文学(师范类),19,522,127747,26,515,119162,32,515,116970,none,none,公办,121293
亳州学院,汉语言文学,2,503,164778,6,496,160011,none,none,none,none,none,公办,162395
沧州师范学院,汉语言文学(师范类),2,515,141016,5,508,133640,2,511,125104,none,none,公办,133253
昌吉学院,汉语言文学(师范类),56,484,202450,20,482,191594,20,483,189595,none,none,公办,194546
成都信息工程大学,汉语言文学,1,582,41856,none,none,none,none,none,none,省重点,none,公办,41856
滁州学院,汉语言文学(师范类),2,525,122200,2,520,109711,2,518,111821,none,none,公办,114577
楚雄师范学院,汉语国际教育(师范类),none,none,none,2,487,180148,none,none,none,none,none,公办,180148
大理大学,汉语国际教育,none,none,none,2,522,105000,2,518,112137,none,none,公办,108569
大理大学,汉语言文学,4,532,109746,4,525,99665,4,525,99079,none,none,公办,102830
大连大学,汉语国际教育,none,none,none,2,554,55968,3,552,56799,省重点,none,公办,56384
大连民族大学,汉语言文学,2,550,80718,2,541,73392,3,541,72423,none,none,公办,75511
大庆师范学院,汉语国际教育(师范类),none,none,none,3,491,171374,3,489,175789,none,none,公办,173582
大庆师范学院,汉语言文学(师范类),none,none,none,4,495,160836,7,496,158095,none,none,公办,159466
德州学院,汉语言文学(师范类),none,none,none,none,none,none,140,506,136640,none,none,公办,136640
东北农业大学,汉语国际教育,5,591,33776,5,579,30891,5,576,31911,211,一流学科,公办,32193
东北师范大学,汉语言文学,4,625,12809,none,none,none,none,none,none,211,一流学科,公办,12809
东北师范大学,汉语言文学(师范类),none,none,none,2,612,10859,3,608,11702,211,一流学科,公办,11281
东北石油大学,汉语言文学,2,548,84700,2,536,80906,2,539,74490,全国重点,none,公办,80032
东华理工大学,汉语言文学(对外文化交流方向),none,none,none,none,none,none,3,531,87915,省重点,none,公办,87915
甘肃民族师范学院,汉语言文学(师范类),2,504,162318,2,496,159059,2,499,152153,none,none,公办,157843
甘肃农业大学,汉语言文学,6,523,126151,4,517,115484,5,517,114673,省重点,none,公办,118769
甘肃政法大学,汉语言文学,none,none,none,none,none,none,2,540,73548,none,none,公办,73548
甘肃中医药大学,汉语言文学,none,none,none,none,none,none,2,501,148238,none,none,公办,148238
赣南师范大学,汉语国际教育(师范类),none,none,none,none,none,none,2,533,85121,none,none,公办,85121
赣南师范大学,汉语言文学(师范类),3,553,76615,2,545,67240,4,545,66553,none,none,公办,70136
广东财经大学,汉语言文学,1,589,35582,1,572,36422,1,568,38480,省重点,none,公办,36828
广东海洋大学,汉语言文学,none,none,none,2,543,70467,2,545,66796,省重点,none,公办,68632
