院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
北京大学,物理学类,4,693,95,none,none,none,none,none,none,"C9,985,211",一流大学,公办,95
北京大学,地球物理学类,1,692,109,none,none,none,none,none,none,"C9,985,211",一流大学,公办,109
清华大学,理科试验班类(物理基础类),73,689,174,68,678,154,64,672,155,"C9,985,211",一流大学,公办,161
中国科学院大学,物理学,4,683,357,4,669,366,4,665,341,none,一流学科,公办,355
复旦大学,自然科学试验班(物理化学方向，拔尖学生培养基地),none,none,none,15,663,605,14,659,569,"C9,985,211",一流大学,公办,587
华中科技大学,物理学(严济慈物理学英才班),3,668,1507,none,none,none,none,none,none,"985,211",一流大学,公办,1507
武汉大学,物理学类(含物理学国家拔尖学生培养基地),none,none,none,9,648,1931,9,643,2016,"985,211",一流大学,公办,1974
华中科技大学,物理学类,4,662,2350,5,644,2355,5,642,2113,"985,211",一流大学,公办,2273
北京师范大学,物理学类,19,659,2679,20,642,2803,22,636,3125,"985,211",一流大学,公办,2869
华东师范大学,物理学,2,655,3449,2,637,3555,2,632,3886,"985,211",一流大学,公办,3630
电子科技大学,电子信息类(电子信息与物理科学复合培养),9,653,3829,none,none,none,none,none,none,"985,211",一流大学,公办,3829
厦门大学,数学类(含物理类),4,653,3971,3,637,3527,10,630,4253,"985,211",一流大学,公办,3917
中山大学,物理学类(珠海),5,656,3394,25,635,4038,15,629,4578,"985,211",一流大学,公办,4003
北京邮电大学,应用物理学,2,652,4080,none,none,none,none,none,none,211,一流学科,公办,4080
厦门大学,物理学类,6,651,4269,5,633,4433,none,none,none,"985,211",一流大学,公办,4351
四川大学,物理学类,3,650,4634,3,632,4788,3,627,5001,"985,211",一流大学,公办,4808
华南理工大学,物理学类,3,648,4944,2,630,5219,2,626,5252,"985,211",一流大学,公办,5138
中南大学,数学类(数学物理类),12,642,6487,12,625,6575,12,620,6858,"985,211",一流大学,公办,6640
西北工业大学,物理学类,2,642,6654,8,622,7484,8,620,6869,"985,211",一流大学,公办,7002
山东大学,物理学类,47,642,6482,70,623,7076,80,617,7882,"985,211",一流大学,公办,7147
重庆大学,理科试验班(数学物理类),none,none,none,8,622,7434,5,618,7564,"985,211",一流大学,公办,7499
大连理工大学,应用物理学(王大珩物理基础科学拔尖计划班),4,638,7658,4,620,7946,4,617,8155,"985,211",一流大学,公办,7920
吉林大学,物理学类,10,636,8401,10,618,8782,10,615,8855,"985,211",一流大学,公办,8679
华中师范大学,物理学类,2,635,8635,2,618,8835,2,614,9172,211,一流学科,公办,8881
湖南大学,应用物理学,4,631,10368,4,615,9992,5,612,9703,"985,211",一流大学,公办,10021
北京科技大学,应用物理学,3,631,10090,3,612,10982,3,610,10685,211,一流学科,公办,10586
中国海洋大学,物理学,9,628,11391,10,608,12694,10,605,12976,"985,211",一流大学,公办,12354
苏州大学,物理学,2,627,11645,3,607,13070,none,none,none,211,一流学科,公办,12358
南京航空航天大学,应用物理学,4,628,11238,4,607,13062,6,603,13786,211,一流学科,公办,12695
南京师范大学,物理学(师范类、非师范类),none,none,none,5,608,12554,3,604,13481,211,一流学科,公办,13018
华北电力大学(北京),物理学类,1,627,11929,1,607,13014,1,601,14845,211,一流学科,公办,13263
华东理工大学,物理学类,4,627,11884,5,605,14164,7,601,14714,211,一流学科,公办,13587
兰州大学,物理学类,22,621,14625,22,604,14595,24,602,14287,"985,211",一流大学,公办,14502
山东大学威海分校,物理学,none,none,none,34,603,15170,33,601,14880,"985,211",一流大学,公办,15025
东北大学,应用物理学,none,none,none,8,603,14858,8,600,15357,"985,211",一流大学,公办,15108
东华大学,物理学类(光电与能源新技术),4,620,15102,4,602,15579,3,599,15779,211,一流学科,公办,15487
首都医科大学,康复治疗学(物理治疗),none,none,none,1,608,12542,1,592,20074,省重点,none,公办,16308
