院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
阿坝师范学院,生物科学(师范类),1,521,129403,1,519,110744,1,510,127105,none,none,公办,122417
安徽工业大学,化学生物学,none,none,none,2,526,96967,2,524,100056,省重点,none,公办,98512
安徽科技学院,生物制药,none,none,none,none,none,none,2,499,152921,none,none,公办,152921
安徽农业大学,生物科学类,4,543,91546,4,531,88672,5,536,80507,省重点,none,公办,86908
安徽农业大学,生物制药,2,544,90416,2,534,83336,2,534,83316,省重点,none,公办,85689
安徽农业大学,应用生物科学,2,528,117119,2,527,95842,2,531,87642,省重点,none,公办,100201
安徽师范大学,生物技术,none,none,none,5,554,56136,3,552,57125,省重点,none,公办,56631
安徽师范大学,生物科学(师范类),5,579,45339,5,564,44837,2,563,44293,省重点,none,公办,44823
安徽中医药大学,生物制药,2,537,100736,2,525,99959,2,524,100749,省重点,none,公办,100481
安康学院,生物技术,2,491,188046,2,484,185921,2,480,196523,none,none,公办,190163
安阳工学院,生物技术,3,492,186082,3,485,184279,none,none,none,none,none,公办,185181
白城师范学院,生物技术,none,none,none,none,none,none,4,481,194298,none,none,公办,194298
百色学院,生物技术,none,none,none,2,480,195967,2,478,201492,none,none,公办,198730
蚌埠学院,生物制药,1,498,173102,10,486,180679,5,483,188847,none,none,公办,180876
保定学院,生物科学,1,511,148040,1,501,146808,1,504,139724,none,none,公办,144857
北部湾大学,生物制药,1,499,171745,1,493,165987,1,492,168165,none,none,公办,168632
北方民族大学,生物科学类,1,510,150835,1,508,133632,1,513,121452,省重点,none,公办,135306
北京大学,生物科学类,2,691,133,none,none,none,none,none,none,"C9,985,211",一流大学,公办,133
北京化工大学,工科试验班(绿色化工与生物医药),none,none,none,26,596,19029,22,590,21028,211,一流学科,公办,20029
北京科技大学,生物技术,3,629,11128,4,608,12792,4,603,13730,211,一流学科,公办,12550
北京林业大学,生物技术(中外合作办学),3,584,40489,2,568,40441,2,567,40130,211,一流学科,公办,40353
北京林业大学,生物科学(拔尖班),none,none,none,none,none,none,2,598,16412,211,一流学科,公办,16412
北京林业大学,生物科学类,5,619,15602,5,600,16882,3,595,18284,211,一流学科,公办,16923
北京石油化工学院,生物制药,2,545,88219,4,529,93055,5,527,94984,none,none,公办,92086
滨州学院,生物科学类,53,498,174029,70,489,175914,100,485,184572,none,none,公办,178172
滨州学院,生物制药,27,499,171248,27,491,171024,33,489,175173,none,none,公办,172482
滨州医学院,生物技术,74,503,164543,74,494,163658,74,492,169247,none,none,公办,165816
滨州医学院,生物制药,42,511,148445,62,500,151037,62,497,156457,none,none,公办,151980
沧州师范学院,生物科学(师范类),none,none,none,none,none,none,2,499,153150,none,none,公办,153150
常熟理工学院,生物制药,2,531,111447,2,519,110873,2,513,120964,none,none,公办,114428
成都中医药大学,生物技术,none,none,none,none,none,none,3,562,44870,省重点,一流学科,公办,44870
楚雄师范学院,生物技术,none,none,none,none,none,none,2,477,203208,none,none,公办,203208
大理大学,生物科学类,3,518,134863,3,507,133854,3,504,141982,none,none,公办,136900
大连大学,生物技术,5,556,73175,4,542,71160,3,536,79142,省重点,none,公办,74492
大连工业大学,生物技术,1,557,70896,none,none,none,none,none,none,省重点,none,公办,70896
大连工业大学,生物制药,none,none,none,none,none,none,4,530,89448,省重点,none,公办,89448
大连工业大学,生物质能源与材料,none,none,none,none,none,none,3,525,97876,省重点,none,公办,97876
大连海洋大学,生物科学,4,553,76302,4,540,74678,4,536,79322,省重点,none,公办,76767
大连理工大学(盘锦校区),生物科学类,5,615,17479,5,598,17821,6,595,17824,"985,211",一流大学,公办,17708
大连民族大学,生物技术,2,531,111871,2,529,91661,2,525,99466,none,none,公办,100999
大连医科大学,生物技术,2,595,30723,none,none,none,none,none,none,省重点,none,公办,30723
大连医科大学,生物制药,2,598,28293,3,578,31011,3,572,34900,省重点,none,公办,31401
德州学院,生物技术(中外合作办学),none,none,none,120,471,217102,80,471,218778,none,none,公办,217940
德州学院,生物科学(师范类),150,500,169205,90,495,162149,70,497,155447,none,none,公办,162267
德州学院,生物科学(中外合作办学),none,none,none,none,none,none,40,470,220084,none,none,公办,220084
德州学院,生物制药,30,498,172915,40,490,172997,40,488,177211,none,none,公办,174374
东北林业大学,生物技术(中外合作办学),12,567,58158,18,551,58848,16,551,58176,211,一流学科,公办,58394
东北林业大学,生物科学(拔尖人才成栋班),2,598,28432,2,585,26141,2,585,24710,211,一流学科,公办,26428
东北林业大学,生物科学类,15,593,31788,15,577,32056,15,574,32837,211,一流学科,公办,32227
东北农业大学,化学生物学,4,585,38828,4,572,36493,4,568,38892,211,一流学科,公办,38071
东北农业大学,生物科学(本硕博班),2,602,25431,3,585,25774,3,584,24963,211,一流学科,公办,25389
东北农业大学,生物科学(中美121双学位项目),3,569,55553,none,none,none,none,none,none,211,一流学科,公办,55553
东北农业大学,生物科学类,9,591,33988,9,575,33771,8,573,33820,211,一流学科,公办,33860
东北师范大学,生物科学类,3,617,16275,3,602,15785,3,601,14824,211,一流学科,公办,15628
东华理工大学,生物技术,none,none,none,none,none,none,5,522,104350,省重点,none,公办,104350
福建农林大学,生物科学类,9,548,83724,4,539,75618,4,542,70560,省重点,none,公办,76634
福建农林大学,生物信息学,2,544,90530,2,531,88753,2,535,81482,省重点,none,公办,86922
福建医科大学,生物制药,2,587,37636,1,573,35502,none,none,none,省重点,none,公办,36569
甘肃民族师范学院,生物科学(师范类),2,496,178208,2,490,171999,2,489,175650,none,none,公办,175286
甘肃农业大学,生物技术,none,none,none,none,none,none,8,491,169682,省重点,none,公办,169682
赣南师范大学,生物科学(师范类),2,541,94335,2,531,88668,3,528,93896,none,none,公办,92300
赣南医学院,生物信息学,none,none,none,none,none,none,2,475,208750,none,none,公办,208750
广东海洋大学,生物科学,none,none,none,1,532,86667,1,538,76846,省重点,none,公办,81757
广东石油化工学院,生物技术,3,499,172117,3,490,171795,3,488,176923,none,none,公办,173612
广东药科大学,生物科学类,none,none,none,none,none,none,4,543,69114,none,none,公办,69114
广西民族大学,生物技术,2,523,125348,2,508,131992,2,500,149996,省重点,none,公办,135779
广西师范大学,生物技术,4,531,110995,2,537,79946,2,533,85239,省重点,none,公办,92060
广西师范大学,生物科学(师范类),4,556,72595,4,545,68071,3,541,71739,省重点,none,公办,70802
广西医科大学,生物技术,2,587,36797,2,564,44816,2,556,51764,省重点,none,公办,44459
贵州大学,生物科学类,3,595,30732,3,576,32811,3,574,33606,211,一流学科,公办,32383
贵州理工学院,生物制药,2,492,185375,none,none,none,none,none,none,none,none,公办,185375
哈尔滨师范大学,生物科学(师范类),3,571,53674,3,557,51972,3,556,52559,省重点,none,公办,52735
哈尔滨医科大学,生物技术,2,586,38510,none,none,none,none,none,none,省重点,none,公办,38510
哈尔滨医科大学,生物信息学,2,599,27727,2,577,32088,2,570,36622,省重点,none,公办,32146
海南大学,生物技术,4,595,30419,5,579,30686,4,576,31232,211,一流学科,公办,30779
海南大学,生物科学,1,602,25128,1,588,24015,5,579,28919,211,一流学科,公办,26021
海南热带海洋学院,生物科学类,4,499,172493,3,496,158084,3,491,171294,none,none,公办,167290
海南师范大学,生物技术,none,none,none,none,none,none,2,527,94965,省重点,none,公办,94965
杭州师范大学,生物科学类,15,589,35000,none,none,none,none,none,none,省重点,none,公办,35000
河北科技大学,生物科学类,2,558,69758,4,543,70328,4,539,74340,省重点,none,公办,71475
河北科技师范学院,生物科学,5,505,160667,none,none,none,none,none,none,none,none,公办,160667
河北师范大学,生物技术(中外合作办学),none,none,none,4,500,150455,none,none,none,省重点,none,公办,150455
河北师范大学,生物科学类,3,581,43440,5,565,43332,4,561,46544,省重点,none,公办,44439
河南大学,生物科学(师范类),3,592,33270,3,583,27152,3,582,26717,省重点,一流学科,公办,29046
河南工业大学,生物技术,1,547,85340,2,532,87858,2,531,88421,省重点,none,公办,87206
河南工业大学,生物技术(中外合作办学),3,502,166626,3,496,159090,3,493,165738,省重点,none,公办,163818
河南科技大学,生物科学类,5,546,87524,5,532,87438,8,528,92697,省重点,none,公办,89220
河南科技学院,生物技术,4,496,177538,6,488,176691,7,486,181636,none,none,公办,178622
河南理工大学,生物技术,2,546,86975,none,none,none,none,none,none,省重点,none,公办,86975
河南农业大学,生物科学类,2,530,112880,6,524,101159,4,522,103990,省重点,none,公办,106010
菏泽学院,生物科学(师范类),39,502,166552,22,496,158391,22,499,153120,none,none,公办,159354
菏泽学院,生物制药,14,497,175968,23,489,175346,none,none,none,none,none,公办,175657
黑河学院,生物技术,6,491,189220,6,482,190658,3,479,199989,none,none,公办,193289
黑龙江八一农垦大学,生物科学类,none,none,none,3,493,166348,3,492,167350,none,none,公办,166849
黑龙江大学,生物技术,4,565,60553,4,544,68633,8,536,79954,none,none,公办,69713
黑龙江中医药大学,生物技术,2,549,81783,2,533,85147,2,530,89813,省重点,none,公办,85581
衡水学院,生物技术,2,495,180673,2,491,170797,2,488,177167,none,none,公办,176212
衡水学院,生物科学(师范类),2,505,159546,4,497,156572,2,499,152223,none,none,公办,156114
衡阳师范学院,生物科学(师范类),1,530,112747,1,522,105352,1,521,106559,none,none,公办,108219
呼伦贝尔学院,生物科学(师范类),4,493,184387,4,488,177413,4,488,178226,none,none,公办,180009
湖北大学,生物科学类,4,589,35825,3,573,35761,3,568,38503,省重点,none,公办,36696
湖北工业大学,生物技术,none,none,none,none,none,none,3,554,54629,省重点,none,公办,54629
湖北民族大学,生物制药,2,509,151847,none,none,none,none,none,none,none,none,公办,151847
湖北师范大学,生物科学类,2,569,56174,6,552,57542,3,549,60223,none,none,公办,57980
