院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
华中科技大学,生物医学工程类(国家生命科学与技术人才试验班),3,662,2367,10,642,2759,7,637,2998,"985,211",一流大学,公办,2708
华南理工大学,生物医学工程,2,645,5672,none,none,none,none,none,none,"985,211",一流大学,公办,5672
四川大学,生物医学工程,10,647,5288,5,627,5929,5,623,6037,"985,211",一流大学,公办,5751
首都医科大学,生物医学工程,2,632,9685,1,614,10276,1,608,11388,省重点,none,公办,10450
湖南大学,生物医学工程,3,630,10561,3,613,10761,3,608,11373,"985,211",一流大学,公办,10898
大连理工大学,生物工程,4,631,10263,4,612,11043,5,607,11791,"985,211",一流大学,公办,11032
吉林大学,生物工程类,8,627,11880,8,608,12729,8,605,12855,"985,211",一流大学,公办,12488
南京航空航天大学,生物医学工程,3,625,12504,3,607,13219,3,602,14100,211,一流学科,公办,13274
天津医科大学,生物医学工程,1,623,13396,1,606,13688,1,601,14497,211,一流学科,公办,13860
东北大学,生物工程类,4,622,13845,3,603,14911,3,598,16042,"985,211",一流大学,公办,14933
华东理工大学,生物工程类,24,621,14596,20,600,16411,23,594,18409,211,一流学科,公办,16472
大连理工大学(盘锦校区),能源化学工程(能源、资源与生物化工工科实验班),7,616,16788,9,598,17623,none,none,none,"985,211",一流大学,公办,17206
空军军医大学,生物医学工程,2,618,15783,2,599,17147,2,594,18767,211,一流学科,军校,17232
华东理工大学,生物工程(中外合作办学)(中德合作),2,615,17276,none,none,none,none,none,none,211,一流学科,公办,17276
北京化工大学,生物工程类(绿色生物制造与生物安全),6,615,17281,none,none,none,none,none,none,211,一流学科,公办,17281
北京化工大学,生物工程(生工、大数据双学士学位),none,none,none,none,none,none,2,595,17706,211,一流学科,公办,17706
大连理工大学(盘锦校区),能源化学工程(能源、资源与生物化工新工科实验班),none,none,none,none,none,none,10,595,18241,"985,211",一流大学,公办,18241
东华大学,生物工程,none,none,none,none,none,none,3,593,19255,211,一流学科,公办,19255
北京中医药大学,生物工程,2,611,19887,2,596,18953,2,593,19205,211,一流学科,公办,19348
西南交通大学,生物医学工程,2,611,19839,2,595,19809,2,591,20259,211,一流学科,公办,19969
南京医科大学,生物医学工程,2,614,17988,2,593,20737,2,585,24405,省重点,一流学科,公办,21043
中国医科大学,生物医学工程,4,612,19343,3,589,23049,none,none,none,none,none,公办,21196
江南大学,生物工程,6,613,18685,8,592,21187,11,585,24201,211,一流学科,公办,21358
西北大学,生物工程,2,609,21004,2,592,21389,2,588,22620,211,一流学科,公办,21671
西南交通大学,生物工程,10,609,21233,10,589,23135,4,586,23750,211,一流学科,公办,22706
华中农业大学,生物工程,5,606,22939,5,591,22233,5,587,23195,211,一流学科,公办,22789
福州大学,生物工程,2,607,22022,3,588,23710,3,583,25456,211,一流学科,公办,23729
河北工业大学,生物医学工程,3,606,22489,3,588,23804,3,584,25255,211,一流学科,公办,23849
河北工业大学,生物工程,none,none,none,none,none,none,3,583,25536,211,一流学科,公办,25536
重庆医科大学,生物医学工程,1,603,24722,1,585,25789,1,581,27211,none,none,公办,25907
太原理工大学,生物医学工程,3,602,25149,3,584,26871,4,582,26394,211,一流学科,公办,26138
南昌大学,生物工程,2,601,25735,2,584,26458,2,581,27518,211,一流学科,公办,26570
天津工业大学,生物医学工程,3,596,29449,2,580,29522,2,577,30932,省重点,一流学科,公办,29968
安徽医科大学,生物医学工程,none,none,none,2,582,27938,2,574,33441,省重点,none,公办,30690
哈尔滨医科大学,生物医学工程,1,597,28885,1,580,29732,1,573,34042,省重点,none,公办,30886
南方医科大学,生物医学工程,5,598,28068,6,578,31058,6,573,33989,"全国重点,省重点",none,公办,31038
四川农业大学,生物工程,3,592,32801,3,577,31723,3,575,32651,211,一流学科,公办,32392
浙江工业大学,生物工程类,5,595,30351,5,575,33724,5,571,36362,省重点,none,公办,33479
海南大学,生物医学工程,none,none,none,2,576,32652,4,571,35618,211,一流学科,公办,34135
南京林业大学,生物工程类,none,none,none,none,none,none,4,572,34669,省重点,一流学科,公办,34669
汕头大学,生物医学工程,2,593,32505,2,573,36026,3,568,38893,省重点,none,公办,35808
华南农业大学,生物工程,1,588,35967,none,none,none,2,571,36099,全国重点,一流学科,公办,36033
内蒙古大学,生物工程,2,587,37299,2,574,34680,2,569,37622,211,一流学科,公办,36534
燕山大学,生物工程,6,588,36458,2,571,37239,2,571,36021,全国重点,none,公办,36573
中国计量大学,生物工程,none,none,none,none,none,none,1,570,37098,省市共建,none,公办,37098
湖北大学,生物工程,3,588,35995,2,570,38015,2,568,38667,省重点,none,公办,37559
东北农业大学,生物工程类,10,586,37834,none,none,none,none,none,none,211,一流学科,公办,37834
北京化工大学,生物工程(中外合作办学)(中美双学位、生物过程工程),6,586,38478,5,569,39138,5,567,40154,211,一流学科,公办,39257
浙江工商大学,生物工程,4,590,34537,4,569,39237,4,563,44117,省重点,none,公办,39297
天津科技大学,生物工程,3,587,37646,4,568,40359,4,566,41227,省重点,none,公办,39744
重庆邮电大学,生物医学工程,5,590,34462,5,569,38930,3,561,46019,省重点,none,公办,39804
西南交通大学,生物工程类(中外合作办学),none,none,none,4,568,40151,none,none,none,211,一流学科,公办,40151
西南交通大学,生物工程(中外合作办学),none,none,none,none,none,none,4,565,42221,211,一流学科,公办,42221
华侨大学,生物工程,3,583,40831,3,564,44276,none,none,none,"全国重点,省重点",none,公办,42554
苏州科技大学,生物工程,2,583,40694,2,566,42733,2,561,45999,none,none,公办,43142
沈阳药科大学,生物工程类,2,580,43997,2,562,46929,none,none,none,省重点,none,公办,45463
长沙理工大学,生物工程类,5,582,41831,4,564,44525,4,557,50286,省重点,none,公办,45547
沈阳药科大学,生物工程,none,none,none,none,none,none,1,561,45719,省重点,none,公办,45719
东北电力大学,化学工程与工业生物工程,1,588,36559,2,563,45906,3,553,55748,省重点,none,公办,46071
北京工商大学,生物工程,none,none,none,5,565,43020,5,558,49873,省重点,none,公办,46447
江苏科技大学,生物工程,2,580,43642,2,562,46645,3,557,50631,省重点,none,公办,46973
集美大学,生物工程,3,577,47220,3,561,47999,3,555,53162,省重点,none,公办,49460
深圳技术大学,生物医学工程,3,572,53013,4,558,51267,4,558,49417,none,none,公办,51232
昆明理工大学,生物工程(创新班),2,574,50178,3,556,52788,3,552,57082,省重点,none,公办,53349
辽宁科技大学,生物工程,1,556,72712,1,568,40437,1,560,47202,none,none,公办,53450
湖南中医药大学,生物工程,1,574,50472,1,555,54690,3,548,61877,省重点,none,公办,55680
常州大学,生物医学工程,none,none,none,2,554,55742,none,none,none,省重点,none,公办,55742
江西师范大学,生物工程,none,none,none,1,553,56253,none,none,none,省重点,none,公办,56253
北京联合大学,生物工程,2,570,54830,none,none,none,2,551,58160,none,none,公办,56495
沈阳工业大学,生物医学工程,2,568,57332,2,554,55969,none,none,none,省重点,none,公办,56651
新疆大学,生物工程,6,558,69633,4,556,53572,4,558,49362,211,一流大学,公办,57522
山西医科大学,生物医学工程(临床工程),none,none,none,2,556,53604,3,544,67117,省重点,none,公办,60361
湖南科技大学,生物工程,3,565,60914,3,550,60963,3,547,63108,省重点,none,公办,61662
青海大学,生物工程,4,561,66194,4,550,60661,4,551,58190,211,一流学科,公办,61682
中北大学,生物医学工程,2,567,58497,2,551,59837,2,544,66988,省重点,none,公办,61774
三峡大学,生物工程,2,568,57639,4,547,64956,5,545,66345,省重点,none,公办,62980
山东科技大学,生物工程,42,563,62744,48,548,63182,50,544,67880,省重点,none,公办,64602
广东药科大学,生物工程类,none,none,none,7,547,64716,3,542,70329,none,none,公办,67523
西安工业大学,生物医学工程,2,559,67876,4,544,69291,4,544,67630,none,none,公办,68266
长春理工大学,生物医学工程,2,561,66173,5,545,67138,5,539,75244,省重点,none,公办,69518
中北大学,生物工程,6,565,60199,6,543,70665,9,535,80979,省重点,none,公办,70614
大连大学,生物工程,7,557,71547,4,545,67848,4,539,74511,省重点,none,公办,71302
长春理工大学,生物工程,2,558,69141,2,543,70396,2,539,75057,省重点,none,公办,71531
西南医科大学,生物医学工程,none,none,none,2,543,70226,4,540,73335,省重点,none,公办,71781
河北科技大学,生物工程,2,556,72049,2,541,72598,none,none,none,省重点,none,公办,72324
青岛科技大学,生物工程,31,557,71530,26,543,70715,56,538,76144,省重点,none,公办,72796
桂林电子科技大学,生物医学工程,3,555,74199,4,541,73313,2,540,73223,省重点,none,公办,73578
大连工业大学,生物工程,3,553,77379,5,537,78782,4,533,84711,省重点,none,公办,80291
湖南农业大学,生物工程,2,545,88248,2,540,75191,2,536,79617,省重点,none,公办,81019
北京农学院,生物工程,2,551,79336,2,537,78569,2,532,86274,none,none,公办,81393
兰州交通大学,生物工程,1,551,79708,2,534,84720,none,none,none,省重点,none,公办,82214
曲阜师范大学,生物工程,24,546,87126,24,535,82425,29,534,83144,省重点,none,公办,84232
河南工业大学,生物工程,3,548,83856,3,534,83809,3,532,85943,省重点,none,公办,84536
中南民族大学,生物医学工程类,none,none,none,none,none,none,8,532,85803,省重点,none,公办,85803
天津科技大学,生物工程(中外合作办学)(酿造与蒸馏),4,553,76048,5,534,84610,4,523,101377,省重点,none,公办,87345
河南科技大学,生物医学工程,5,546,87623,5,532,87540,5,527,95569,省重点,none,公办,90244
曲阜师范大学,生物工程(地方专项计划),6,544,89966,8,529,92717,10,528,92875,省重点,none,公办,91853
广东海洋大学,生物工程,none,none,none,3,528,94121,3,524,99822,省重点,none,公办,96972
河南科技大学,生物工程类,8,540,96623,8,527,96814,8,524,100662,省重点,none,公办,98033
兰州理工大学,生物工程,2,537,101807,2,525,99432,3,521,105221,none,none,公办,102153
淮北师范大学,生物工程,1,533,108053,1,527,96877,2,523,102206,省重点,none,公办,102379
齐鲁工业大学,生物工程,64,533,108236,73,521,106506,49,521,106603,none,none,公办,107115
遵义医科大学,生物工程,3,539,98085,2,521,107746,2,514,119636,none,none,公办,108489
长春工业大学,生物工程,1,533,108093,1,521,107061,1,517,113421,省重点,none,公办,109525
烟台大学,生物工程,65,533,107967,55,520,108607,75,516,116336,省重点,none,公办,110970
江西中医药大学,生物医学工程,none,none,none,none,none,none,1,518,111253,省重点,none,公办,111253
齐鲁工业大学,生物工程(地方专项计划),none,none,none,none,none,none,10,517,114378,none,none,公办,114378
山东理工大学,生物工程,43,525,121379,30,515,119279,13,518,112468,省重点,none,公办,117709
鲁东大学,生物工程,60,528,116833,59,516,117413,59,513,122640,none,none,公办,118962
沈阳药科大学,生物医学工程(中外合作办学),none,none,none,3,522,105164,6,507,133654,省重点,none,公办,119409
沈阳化工大学,生物工程,3,528,116294,3,515,118124,3,512,124253,省重点,none,公办,119557
山东理工大学,生物工程(地方专项计划),8,528,117532,10,511,125739,10,511,125685,省重点,none,公办,122985
山东农业大学,生物工程,38,521,129432,25,513,122237,28,512,124094,省重点,none,公办,125254
湖北工程学院,生物工程,1,522,127594,none,none,none,none,none,none,none,none,公办,127594
山东中医药大学,生物医学工程(地方专项计划),none,none,none,5,510,129089,10,508,132882,省重点,none,公办,130986
江西农业大学,生物工程,3,518,134482,4,510,127822,none,none,none,全国重点,none,公办,131152
郑州轻工业大学,生物工程,4,517,136128,4,508,133311,2,509,130862,none,none,公办,133434
山东建筑大学,生物工程,62,519,133870,62,507,135026,52,505,137763,省重点,none,公办,135553
哈尔滨商业大学,生物工程,2,520,130863,3,507,133851,4,502,144499,省重点,none,公办,136404
大理大学,生物医学工程,2,518,135210,2,506,137726,2,504,140434,none,none,公办,137790
山东第一医科大学,生物工程类,85,516,138045,105,503,142485,none,none,none,none,none,公办,140265
山东第一医科大学,生物医学工程,80,513,143736,80,503,143937,80,504,140649,none,none,公办,142774
嘉兴学院,生物工程,none,none,none,4,504,141410,4,501,146606,none,none,公办,144008
长沙学院,生物工程,2,507,155344,1,508,133418,none,none,none,none,none,公办,144381
山东中医药大学,生物医学工程,110,510,150540,105,501,147490,100,501,147538,省重点,none,公办,148523
合肥学院,生物工程,2,512,146722,2,501,147131,2,499,152077,none,none,公办,148643
吉林农业大学,生物工程类,4,510,149724,4,501,146854,6,500,150603,省重点,none,公办,149060
山西农业大学,生物工程,1,509,152129,2,500,150757,none,none,none,全国重点,none,公办,151443
内蒙古工业大学,生物工程,2,507,155153,2,500,150411,2,499,151360,省重点,none,公办,152308
湖北民族大学,生物工程,2,509,152496,none,none,none,none,none,none,none,none,公办,152496
山东建筑大学,生物工程(济南走读),none,none,none,none,none,none,10,499,152658,省重点,none,公办,152658
吉林医药学院,生物医学工程,2,507,155347,2,498,154525,2,498,153900,none,none,公办,154591
新疆医科大学,生物医学工程,4,509,152380,4,497,155832,4,496,159002,省重点,none,公办,155738
潍坊医学院,生物医学工程,47,508,154651,47,498,155083,45,495,161480,none,none,公办,157071
聊城大学,生物工程,132,506,157527,93,497,156315,83,496,159255,none,none,公办,157699
聊城大学,生物工程(地方专项计划),none,none,none,none,none,none,10,496,157871,none,none,公办,157871
湖州师范学院,生物工程类,6,510,150406,6,496,158060,6,493,165901,none,none,公办,158122
西北民族大学,生物工程,2,504,162364,2,496,159749,2,495,161035,省重点,none,公办,161049
