院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
安徽财经大学,电子信息类,3,556,72459,3,546,65765,5,543,68813,省重点,none,公办,69012
安徽大学,电子科学与技术,none,none,none,none,none,none,10,589,21784,211,一流学科,公办,21784
安徽大学,电子信息工程,4,610,20283,5,593,20448,8,591,20441,211,一流学科,公办,20391
安徽大学,电子信息类,8,609,21022,10,592,21241,none,none,none,211,一流学科,公办,21132
安徽工业大学,电子信息工程,2,557,71456,3,544,68621,3,543,69371,省重点,none,公办,69816
安徽工业大学,微电子科学与工程,none,none,none,2,539,75587,2,539,75562,省重点,none,公办,75575
安徽建筑大学,电子信息工程,2,539,97493,2,528,94075,2,533,85443,省重点,none,公办,92337
安徽科技学院,电子信息工程,2,504,161447,2,504,141290,1,512,124529,none,none,公办,142422
安徽理工大学,机械电子工程(中外合作办学),4,503,163580,4,493,164726,4,497,156412,省重点,none,公办,161573
安徽农业大学,电子信息类,3,544,89652,2,537,79472,2,537,78848,省重点,none,公办,82657
安徽师范大学,电子信息类,4,570,54831,none,none,none,4,552,56671,省重点,none,公办,55751
安庆师范大学,电子信息类,10,513,144355,10,503,143169,10,501,147244,none,none,公办,144923
安顺学院,电子信息工程,1,486,197869,1,481,194161,1,477,202885,none,none,公办,198305
安阳工学院,机械电子工程(中外合作办学),2,474,223775,2,472,213112,2,468,225291,none,none,公办,220726
白城师范学院,电子信息工程,none,none,none,2,476,204729,2,478,202577,none,none,公办,203653
白城师范学院,机械电子工程,none,none,none,2,475,208325,2,474,211481,none,none,公办,209903
宝鸡文理学院,电子科学与技术,5,490,189891,2,490,173340,3,486,181114,none,none,公办,181448
宝鸡文理学院,电子信息类,5,491,187644,none,none,none,4,481,193331,none,none,公办,190488
宝鸡文理学院,机械电子工程,3,489,192356,none,none,none,none,none,none,none,none,公办,192356
北部湾大学,电子信息工程,1,508,153195,1,498,153930,2,505,138864,none,none,公办,148663
北部湾大学,电子信息工程(中外合作办学),12,479,213546,16,472,213544,18,469,222637,none,none,公办,216576
北方工业大学,电子信息工程,none,none,none,none,none,none,3,581,27107,省重点,none,公办,27107
北方工业大学,电子信息工程(理工科实验班),1,601,25850,2,587,24719,2,584,24855,省重点,none,公办,25141
北方工业大学,机械电子工程,4,595,30800,none,none,none,none,none,none,省重点,none,公办,30800
北方工业大学,机械电子工程(智能制造与新能源汽车),none,none,none,4,576,32832,4,573,33996,省重点,none,公办,33414
北方民族大学,电子信息类,2,508,153972,2,499,152104,2,503,142261,省重点,none,公办,149446
北华大学,电子信息工程,7,522,127505,7,511,126273,7,510,127090,省重点,none,公办,126956
北华航天工业学院,电子信息工程,1,514,142259,2,507,135086,2,508,132794,none,none,公办,136713
北华航天工业学院,机械电子工程,2,506,157700,2,498,155080,2,500,148890,none,none,公办,153890
北华航天工业学院,微电子科学与工程,2,507,155229,2,502,144718,2,506,135954,none,none,公办,145300
北京大学,电子信息类,5,693,97,none,none,none,none,none,none,"C9,985,211",一流大学,公办,97
北京工商大学,电子信息类(自动化与电气工程类),5,592,32858,none,none,none,none,none,none,省重点,none,公办,32858
北京工业大学,电子信息工程(中外合作办学),4,600,26757,4,579,30374,4,579,28972,211,一流学科,公办,28701
北京化工大学,电子科学与技术,4,623,13480,none,none,none,none,none,none,211,一流学科,公办,13480
北京化工大学,理科试验班(数学、物理电子与管理),none,none,none,14,601,16036,12,597,16747,211,一流学科,公办,16392
北京交通大学,电子信息类(通信与控制),17,644,5906,17,626,6248,17,620,6875,211,一流学科,公办,6343
北京交通大学,机械电子工程(中外合作办学),6,602,25281,5,586,25042,6,580,27828,211,一流学科,公办,26050
北京理工大学,工科试验班(电子信息实验班),20,666,1731,42,646,2099,37,642,2155,"985,211",一流大学,公办,1995
北京联合大学,电子信息工程,2,573,51421,1,559,49856,1,558,49414,none,none,公办,50230
北京林业大学,电子信息科学与技术,2,619,15235,2,603,15290,2,599,15873,211,一流学科,公办,15466
北京石油化工学院,机械电子工程,2,543,91350,2,531,89253,none,none,none,none,none,公办,90302
北京信息科技大学,电子信息科学与技术,2,594,31710,4,577,32383,4,576,31524,省重点,none,公办,31872
北京信息科技大学,电子信息类(勤信实验班),5,598,27870,2,583,27773,2,581,27359,省重点,none,公办,27667
北京邮电大学(宏福校区),电子信息工程(中外合作办学),none,none,none,none,none,none,3,602,14401,211,一流学科,公办,14401
北京邮电大学,电子信息类,15,656,3338,12,636,3768,11,631,4125,211,一流学科,公办,3744
滨州学院,电子信息工程,20,497,175551,20,487,178492,30,486,183119,none,none,公办,179054
滨州学院,电子信息工程(校企合作，与山东华兴教育科技有限公司合作),60,479,211850,70,474,209825,100,471,218052,none,none,公办,213242
常熟理工学院,电子科学与技术,2,525,121364,none,none,none,none,none,none,none,none,公办,121364
常熟理工学院,电子信息工程(中外合作办学),2,492,187096,2,485,184638,2,480,197726,none,none,公办,189820
常熟理工学院,机械电子工程(中外合作办学),2,486,198527,2,481,193550,2,483,189576,none,none,公办,193884
常州大学,电子信息工程(中外合作办学),2,550,80873,2,541,73167,2,538,76483,省重点,none,公办,76841
常州大学,机械电子工程,none,none,none,2,557,52536,none,none,none,省重点,none,公办,52536
成都工业学院,电子信息类,4,518,134150,3,508,133296,2,509,129327,none,none,公办,132258
成都工业学院,机械电子工程,1,523,126576,2,515,117961,none,none,none,none,none,公办,122269
成都理工大学,电子信息工程,none,none,none,4,576,32570,4,577,30794,省重点,一流学科,公办,31682
成都理工大学,电子信息类,6,595,30199,6,580,29700,5,579,28984,省重点,一流学科,公办,29628
