院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
安徽大学,电气工程及其自动化,none,none,none,none,none,none,9,589,21638,211,一流学科,公办,21638
安徽工业大学,电气工程及其自动化,2,558,69224,3,545,67540,3,545,65834,省重点,none,公办,67533
安徽建筑大学,建筑电气与智能化,2,540,97046,2,525,99262,2,523,101943,省重点,none,公办,99417
安徽科技学院,电气工程及其自动化,1,504,162628,1,508,132393,1,509,129470,none,none,公办,141497
安徽理工大学,电气工程及其自动化,2,558,69701,2,546,65390,2,550,59464,省重点,none,公办,64852
安徽农业大学,电气工程及其自动化,2,541,94810,2,534,83550,2,536,80281,省重点,none,公办,86214
安阳师范学院,电气工程及其自动化,3,492,185959,3,484,186815,2,484,187263,none,none,公办,186679
宝鸡文理学院,电气工程及其自动化,2,493,184151,none,none,none,5,483,188447,none,none,公办,186299
北方工业大学,电气工程及其自动化,5,597,29110,5,580,30017,5,579,29304,省重点,none,公办,29477
北方民族大学,电气类,2,507,155443,2,504,140974,2,502,145187,省重点,none,公办,147201
北华航天工业学院,电气工程与智能控制,1,522,127239,1,517,114520,1,518,111528,none,none,公办,117762
北京工商大学,电子信息类(自动化与电气工程类),5,592,32858,none,none,none,none,none,none,省重点,none,公办,32858
北京建筑大学,电气工程及其自动化(城市电网),none,none,none,1,585,26230,1,582,26241,省重点,none,公办,26236
北京建筑大学,建筑电气与智能化(智能建筑),1,596,30076,1,579,30185,1,573,34264,省重点,none,公办,31508
北京交通大学,电气工程及其自动化(新能源国际班),3,640,7188,4,621,7724,none,none,none,211,一流学科,公办,7456
北京交通大学,电气类,7,640,7143,7,621,7908,7,617,8097,211,一流学科,公办,7716
北京联合大学,电气工程及其自动化,2,571,53160,1,557,51878,1,557,50730,none,none,公办,51923
北京林业大学,电气工程及其自动化,4,618,16008,4,600,16472,4,596,17507,211,一流学科,公办,16662
北京石油化工学院,电气工程及其自动化,4,548,83727,3,537,79417,3,537,78261,none,none,公办,80468
北京信息科技大学,电气工程及其自动化,none,none,none,none,none,none,2,581,27404,省重点,none,公办,27404
滨州学院,电气工程及其自动化,56,495,180398,63,485,183492,42,486,182048,none,none,公办,181979
常熟理工学院,电气工程及其自动化(中外合作办学),2,502,165056,2,493,166787,2,492,167580,none,none,公办,166474
常州工学院,电气工程及其自动化,5,524,123090,5,514,119951,5,514,119234,none,none,公办,120758
成都工业学院,电气工程及其自动化,1,540,96043,none,none,none,none,none,none,none,none,公办,96043
成都理工大学,电气工程及其自动化,4,596,29383,4,582,27895,4,581,27093,省重点,一流学科,公办,28124
成都信息工程大学,电气工程及其自动化,1,579,45363,2,565,43222,2,565,42070,省重点,none,公办,43552
大理大学,电气工程及其自动化,2,525,121390,none,none,none,2,517,112908,none,none,公办,117149
大连海事大学,电气工程及其自动化,13,602,25064,none,none,none,none,none,none,211,一流学科,公办,25064
