院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
中国石油大学(北京),石油工程,9,607,22186,8,588,23957,8,584,25056,211,一流学科,公办,23733
中国石油大学(华东),石油工程,75,600,26742,50,582,28128,56,580,28085,211,一流学科,公办,27652
西南石油大学,石油工程,6,583,41155,6,569,39615,9,567,39871,省重点,一流学科,公办,40214
成都理工大学,石油工程,6,585,39319,6,567,41305,6,562,45143,省重点,一流学科,公办,41922
西安石油大学,石油工程,2,572,52171,2,557,52477,2,557,51214,none,none,公办,51954
中国石油大学(北京)克拉玛依校区,石油工程,9,561,66404,13,557,51731,19,557,50210,211,一流学科,公办,56115
常州大学,石油工程,2,569,55925,none,none,none,4,545,66124,省重点,none,公办,61025
长江大学,石油工程(含中俄能源方向、教育部卓越工程师培养计划),none,none,none,7,540,74609,14,536,79697,省重点,none,公办,77153
长江大学,资源勘查工程(石油勘探、新能源、油气测录工程),none,none,none,6,534,83845,7,533,84661,省重点,none,公办,84253
东北石油大学,石油工程(实验班),2,518,134451,3,539,75400,3,540,72874,全国重点,none,公办,94242
东北石油大学,石油工程,3,536,103519,11,526,98188,11,526,97226,全国重点,none,公办,99644
辽宁石油化工大学,石油工程,3,518,134694,2,515,118195,2,514,119305,省重点,none,公办,124065
重庆科技学院,石油工程,5,510,149660,5,508,131780,5,505,138794,none,none,公办,140078
广东石油化工学院,石油工程,4,497,174997,3,491,170415,3,496,158410,none,none,公办,167941
兰州城市学院,石油工程,3,491,187600,3,485,183912,3,486,182083,none,none,公办,184532
榆林学院,石油工程,3,491,189148,3,483,189591,none,none,none,none,none,公办,189370
河北石油职业技术大学,石油工程技术,none,none,none,5,481,192631,6,477,203737,none,none,公办,198184
兰州石化职业技术大学,应用化工技术(石油化工技术),none,none,none,none,none,none,2,472,216647,none,none,公办,216647
