院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
北京大学,社会学类,1,687,206,none,none,none,none,none,none,"C9,985,211",一流大学,公办,206
浙江大学,社会科学试验班(竺可桢学院人文社科实验班),3,680,512,3,662,678,3,655,762,"C9,985,211",一流大学,公办,651
复旦大学,社会科学试验班(含政治及行政学、国政等专业),none,none,none,5,661,771,5,655,780,"C9,985,211",一流大学,公办,776
浙江大学,社会科学试验班,22,675,831,17,658,914,17,652,1054,"C9,985,211",一流大学,公办,933
中国人民大学,社会科学试验班(管理学科类，含双学士学位项目),none,none,none,none,none,none,8,653,941,"985,211",一流大学,公办,941
中国人民大学,社会科学试验班(管理学科类),7,674,878,9,657,1028,none,none,none,"985,211",一流大学,公办,953
南京大学,社会科学试验班,4,674,915,4,658,954,5,652,1058,"C9,985,211",一流大学,公办,976
同济大学,社会科学试验班,4,664,1951,4,644,2339,4,639,2595,"985,211",一流大学,公办,2295
北京航空航天大学,社会科学试验班,none,none,none,11,645,2298,11,637,2959,"985,211",一流大学,公办,2629
北京师范大学,社会科学试验班,28,660,2662,27,639,3193,27,636,3180,"985,211",一流大学,公办,3012
武汉大学,社会学(知行试验班),none,none,none,2,637,3529,2,637,2976,"985,211",一流大学,公办,3253
武汉大学,社会科学试验班(信息管理类),8,657,3083,9,638,3441,none,none,none,"985,211",一流大学,公办,3262
中国政法大学,社会工作,1,647,5367,1,627,6058,1,618,7511,211,一流学科,公办,6312
中国社会科学院大学,社会学,3,644,6137,3,625,6692,3,617,7972,none,none,公办,6934
中国农业大学,社会学类,none,none,none,2,619,8382,2,612,9997,"985,211",一流大学,公办,9190
中央民族大学,社会学类,2,634,9291,2,618,8762,3,611,10240,"985,211",一流大学,公办,9431
山东大学,社会学类,15,634,9292,15,615,9755,15,613,9681,"985,211",一流大学,公办,9576
上海大学,社会学类,none,none,none,4,617,9156,6,611,10173,211,一流学科,公办,9665
华东政法大学,社会学类,2,629,11115,2,610,11665,2,605,13059,省重点,none,公办,11946
吉林大学,社会学类,6,627,11980,6,611,11616,6,606,12421,"985,211",一流大学,公办,12006
北京师范大学(珠海校区),社会科学试验班,none,none,none,11,609,12388,11,607,11804,"985,211",一流大学,公办,12096
北京科技大学,社会科学试验班,11,628,11425,11,609,12293,11,603,13821,211,一流学科,公办,12513
中南财经政法大学,社会学,1,624,13013,1,609,12325,1,604,13476,211,一流学科,公办,12938
东华大学,社会科学试验班,2,623,13471,2,606,13842,2,603,13863,211,一流学科,公办,13725
华中师范大学,社会学类,10,618,15988,7,600,16608,7,594,18628,211,一流学科,公办,17075
河海大学,社会学,2,617,16524,2,599,17112,2,594,18328,211,一流学科,公办,17321
河海大学,劳动与社会保障,4,614,18186,2,596,19133,2,592,19937,211,一流学科,公办,19085
南京理工大学,社会工作,4,611,19826,4,594,20241,none,none,none,211,一流学科,公办,20034
陕西师范大学,社会学,none,none,none,none,none,none,5,590,20899,211,一流学科,公办,20899
西北政法大学,社会学,1,611,20028,1,591,21789,none,none,none,none,none,公办,20909
西北农林科技大学,社会学类,5,607,21914,5,592,21582,6,590,20952,"985,211",一流大学,公办,21483
湖南师范大学,社会学,2,608,21688,2,593,20985,6,588,22360,211,一流学科,公办,21678
南京农业大学,社会学类,13,607,22180,13,591,22218,14,586,23851,211,一流学科,公办,22750
云南大学,社会学,2,605,23360,3,590,22750,2,587,23010,211,一流大学,公办,23040
江南大学,社会工作,8,606,22734,8,587,24552,8,584,25080,211,一流学科,公办,24122
华中农业大学,社会学类,4,603,24875,5,588,24269,5,583,25720,211,一流学科,公办,24955
西北政法大学,社会工作,1,602,25397,none,none,none,1,585,24627,none,none,公办,25012
南京邮电大学,公共管理类(公共治理与社会管理),6,602,25565,none,none,none,none,none,none,省重点,一流学科,公办,25565
华南师范大学,社会工作,none,none,none,none,none,none,4,582,26450,211,一流学科,公办,26450
哈尔滨工程大学,社会学,5,601,26298,7,584,26821,none,none,none,211,一流学科,公办,26560
云南大学,社会工作,none,none,none,3,583,27585,2,581,27227,211,一流大学,公办,27406
上海政法学院,社会工作(卓越社会管理人才培养试点班),2,598,28211,2,579,30916,none,none,none,none,none,公办,29564
杭州师范大学,社会学类,none,none,none,3,579,30868,none,none,none,省重点,none,公办,30868
上海师范大学,社会工作,3,595,30423,3,578,31705,none,none,none,省重点,none,公办,31064
东北林业大学,社会工作,4,594,31653,4,577,32381,4,575,32773,211,一流学科,公办,32269
湘潭大学,社会学,2,590,34498,none,none,none,3,577,30971,全国重点,一流学科,公办,32735
南京工业大学,社会工作,2,592,33231,2,575,34103,none,none,none,省重点,none,公办,33667
南京财经大学,社会工作,4,594,31277,4,572,36708,none,none,none,省重点,none,公办,33993
内蒙古大学,社会学,2,589,35623,2,575,34235,2,573,33998,211,一流学科,公办,34619
内蒙古大学,劳动与社会保障,3,582,42269,3,569,39508,1,582,26719,211,一流学科,公办,36165
河南大学,社会工作,2,590,34949,2,570,38719,5,567,39813,省重点,一流学科,公办,37827
内蒙古大学,社会工作,1,579,45567,1,574,35112,1,572,34734,211,一流学科,公办,38471
杭州师范大学,社会工作,none,none,none,2,568,40784,none,none,none,省重点,none,公办,40784
华侨大学,社会学,none,none,none,2,568,40812,none,none,none,"全国重点,省重点",none,公办,40812
广东外语外贸大学,社会工作,2,590,34319,2,564,44840,2,563,44363,省重点,none,公办,41174
广东财经大学,劳动与社会保障,1,582,42215,none,none,none,none,none,none,省重点,none,公办,42215
西南石油大学,社会工作,2,578,46108,2,567,41160,2,567,40230,省重点,一流学科,公办,42499
天津理工大学,社会学,5,578,45701,5,562,46566,5,557,50126,none,none,公办,47464
江西财经大学,劳动与社会保障(康养金融),none,none,none,none,none,none,3,560,47754,省重点,none,公办,47754
上海立信会计金融学院,劳动与社会保障,2,580,44299,2,561,48131,2,556,51754,none,none,公办,48061
重庆师范大学,社会工作,2,573,51172,2,559,50132,2,560,47506,省重点,none,公办,49603
四川外国语大学,社会学类,none,none,none,2,561,47189,2,555,53377,none,none,公办,50283
新疆大学,社会学,2,567,58759,4,562,46636,4,560,46963,211,一流大学,公办,50786
常州大学,社会工作,2,577,47361,2,560,48851,4,552,56757,省重点,none,公办,50990
华侨大学,行政管理(数字政府治理、社会福利、公共危机管理方向),none,none,none,none,none,none,4,557,51344,"全国重点,省重点",none,公办,51344
新疆大学,劳动与社会保障,none,none,none,4,556,52958,4,557,50316,211,一流大学,公办,51637
天津理工大学,社会工作,6,575,49606,5,558,51352,5,552,56782,none,none,公办,52580
安徽师范大学,社会学类,4,573,51799,5,555,54725,4,552,57293,省重点,none,公办,54606
中南民族大学,社会学类,none,none,none,none,none,none,3,554,54883,省重点,none,公办,54883
西北师范大学,社会学类,none,none,none,none,none,none,2,552,57365,省重点,none,公办,57365
江西财经大学,社会工作(数字社会治理),2,585,39181,5,540,74840,5,546,65219,省重点,none,公办,59747
西南民族大学,社会学类,2,566,60027,3,553,56777,3,547,63564,none,none,公办,60123
云南师范大学,社会工作,none,none,none,none,none,none,2,545,66865,省重点,none,公办,66865
湖北师范大学,社会工作,none,none,none,2,544,68247,none,none,none,none,none,公办,68247
石河子大学,社会工作,6,551,80197,8,544,69376,7,547,63109,211,一流学科,公办,70894
河南财经政法大学,社会学类,2,554,75368,2,545,67628,2,542,70542,none,none,公办,71179
青岛科技大学,社会工作,18,557,70689,22,543,70748,20,539,75416,省重点,none,公办,72284
山西师范大学,社会学,none,none,none,2,539,75990,2,541,71317,省重点,none,公办,73654
山西财经大学,劳动与社会保障,2,557,70905,2,542,71983,2,537,78791,省重点,none,公办,73893
南京工程学院,劳动与社会保障,2,553,77212,2,540,73990,2,536,79523,none,none,公办,76908
北京农学院,社会工作,2,556,73004,2,540,75170,2,533,84209,none,none,公办,77461
济南大学,社会工作,16,554,75701,48,537,78973,19,536,80377,省重点,none,公办,78350
