院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
北京大学,工商管理类,4,697,45,none,none,none,none,none,none,"C9,985,211",一流大学,公办,45
北京大学,信息管理与信息系统,1,688,189,none,none,none,none,none,none,"C9,985,211",一流大学,公办,189
北京大学,公共管理类,1,687,222,none,none,none,none,none,none,"C9,985,211",一流大学,公办,222
复旦大学,经济管理试验班,2,683,328,2,675,213,2,668,226,"C9,985,211",一流大学,公办,256
上海交通大学,经济管理试验班(含双学士学位项目),none,none,none,12,665,522,12,659,562,"C9,985,211",一流大学,公办,542
中国人民大学,工商管理类(含国际三学士学位项目、双学士学位项目),none,none,none,none,none,none,13,655,803,"985,211",一流大学,公办,803
中国人民大学,工商管理类,10,675,771,11,659,885,none,none,none,"985,211",一流大学,公办,828
南京大学,经济管理试验班,8,675,818,8,659,840,9,652,1013,"C9,985,211",一流大学,公办,890
中国人民大学,人力资源管理(含4加1本硕国际项目),none,none,none,none,none,none,3,653,903,"985,211",一流大学,公办,903
中国人民大学,人力资源管理,none,none,none,6,658,930,none,none,none,"985,211",一流大学,公办,930
中国人民大学,社会科学试验班(管理学科类，含双学士学位项目),none,none,none,none,none,none,8,653,941,"985,211",一流大学,公办,941
中国人民大学,社会科学试验班(管理学科类),7,674,878,9,657,1028,none,none,none,"985,211",一流大学,公办,953
同济大学,经济管理试验班,7,669,1357,8,650,1670,8,644,1888,"985,211",一流大学,公办,1638
哈尔滨工业大学,经济管理试验班(本硕博连读),none,none,none,1,648,1916,none,none,none,"C9,985,211",一流大学,公办,1916
上海财经大学,财务管理(智能化方向),none,none,none,3,649,1722,3,641,2244,211,一流学科,公办,1983
中央财经大学,工商管理类(会计学院),7,665,1925,6,646,2135,7,639,2586,211,一流学科,公办,2215
武汉大学,信息管理与信息系统,none,none,none,none,none,none,3,640,2497,"985,211",一流大学,公办,2497
南开大学,工商管理类,10,663,2170,16,641,2857,16,634,3545,"985,211",一流大学,公办,2857
武汉大学,工商管理类,8,661,2482,11,639,3229,8,633,3588,"985,211",一流大学,公办,3100
南开大学,公共管理类,6,660,2675,6,638,3364,3,634,3453,"985,211",一流大学,公办,3164
武汉大学,公共管理类,4,657,3197,4,638,3505,2,636,3075,"985,211",一流大学,公办,3259
武汉大学,社会科学试验班(信息管理类),8,657,3083,9,638,3441,none,none,none,"985,211",一流大学,公办,3262
