院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
北京大学,经济学类,7,692,105,none,none,none,none,none,none,"C9,985,211",一流大学,公办,105
复旦大学,经济管理试验班,2,683,328,2,675,213,2,668,226,"C9,985,211",一流大学,公办,256
复旦大学,经济学类(拔尖学生培养基地),9,684,319,10,670,352,10,664,358,"C9,985,211",一流大学,公办,343
上海交通大学,经济管理试验班(含双学士学位项目),none,none,none,12,665,522,12,659,562,"C9,985,211",一流大学,公办,542
中国人民大学,经济学类,9,680,470,9,663,633,none,none,none,"985,211",一流大学,公办,552
中国人民大学,经济学类(含双学士学位项目，拔尖人才培养基地),none,none,none,none,none,none,9,658,629,"985,211",一流大学,公办,629
南京大学,经济管理试验班,8,675,818,8,659,840,9,652,1013,"C9,985,211",一流大学,公办,890
武汉大学,金融学类(弘毅学堂数理经济与数理金融试验班),none,none,none,3,656,1105,2,651,1089,"985,211",一流大学,公办,1097
武汉大学,国际经济与贸易(弘毅学堂数字贸易与金融试验班),none,none,none,2,652,1480,2,646,1617,"985,211",一流大学,公办,1549
同济大学,经济管理试验班,7,669,1357,8,650,1670,8,644,1888,"985,211",一流大学,公办,1638
中央财经大学,经济学(数理经济与数理金融),3,669,1327,3,651,1558,3,643,2075,211,一流学科,公办,1653
南开大学,经济学类,9,669,1350,8,650,1638,11,643,2004,"985,211",一流大学,公办,1664
上海财经大学,经济学,4,668,1450,4,649,1709,2,642,2176,211,一流学科,公办,1778
中央财经大学,经济学类,3,668,1484,4,649,1754,4,642,2232,211,一流学科,公办,1823
武汉大学,经济学类(含经济学国家拔尖学生培养基地),none,none,none,6,649,1741,8,644,1921,"985,211",一流大学,公办,1831
上海财经大学,经济学(双学士学位、经济学院和数学学院培养),none,none,none,none,none,none,2,644,1893,211,一流学科,公办,1893
哈尔滨工业大学,经济管理试验班(本硕博连读),none,none,none,1,648,1916,none,none,none,"C9,985,211",一流大学,公办,1916
上海财经大学,国际经济与贸易,3,662,2360,3,643,2544,3,636,3034,211,一流学科,公办,2646
华中科技大学,经济学(经济学创新实验班),2,659,2719,none,none,none,2,638,2811,"985,211",一流大学,公办,2765
对外经济贸易大学,国际经济与贸易(国际组织人才基地班、与法学双学士学位项目),3,659,2799,2,640,3014,3,636,3114,211,一流学科,公办,2976
华中科技大学,经济学类,9,660,2630,9,639,3182,8,635,3355,"985,211",一流大学,公办,3056
对外经济贸易大学,经济学类,5,660,2640,6,639,3158,6,632,3758,211,一流学科,公办,3185
四川大学,数学与应用数学(数学经济学双学士学位),2,656,3255,2,639,3302,2,633,3711,"985,211",一流大学,公办,3423
对外经济贸易大学,经济统计学,2,659,2801,4,637,3538,3,630,4344,211,一流学科,公办,3561
厦门大学,经济学类,18,654,3657,18,637,3730,18,633,3661,"985,211",一流大学,公办,3683
中山大学,经济学类(经管实验班，分流专业详见招生官网),none,none,none,25,636,3798,none,none,none,"985,211",一流大学,公办,3798
东南大学,经济学类,6,654,3805,5,636,3911,6,631,4196,"985,211",一流大学,公办,3971
电子科技大学,经济管理试验班(管理与电子工程双学位培养),3,652,4089,none,none,none,none,none,none,"985,211",一流大学,公办,4089
华东政法大学,法学(卓越经济法律人才实验班),none,none,none,none,none,none,2,630,4324,省重点,none,公办,4324
中国社会科学院大学,经济学,2,648,4961,2,634,4209,2,626,5241,none,none,公办,4804
北京外国语大学,国际经济与贸易,none,none,none,2,633,4436,2,626,5434,211,一流学科,公办,4935
中国政法大学,经济学,1,651,4438,1,631,5031,1,625,5454,211,一流学科,公办,4974
四川大学,经济学类,12,648,5044,9,629,5347,7,624,5908,"985,211",一流大学,公办,5433
天津大学,经济管理试验班,none,none,none,26,630,5097,31,624,5849,"985,211",一流大学,公办,5473
华南理工大学,经济学类,4,647,5234,4,628,5704,4,624,5834,"985,211",一流大学,公办,5591
中国社会科学院大学,国际经济与贸易,2,646,5612,2,626,6115,2,624,5805,none,none,公办,5844
中国农业大学,经济学类,4,645,5817,4,627,6029,4,622,6308,"985,211",一流大学,公办,6051
山东大学,经济学类,81,645,5853,85,627,6082,80,623,6261,"985,211",一流大学,公办,6065
西南财经大学,经济学(国家经济学基础人才培养基地班),3,644,5909,3,626,6198,3,620,6934,211,一流学科,公办,6347
苏州大学,经济学类,none,none,none,1,626,6403,none,none,none,211,一流学科,公办,6403
华东政法大学,法学(经济法),none,none,none,none,none,none,6,622,6535,省重点,none,公办,6535
中国人民大学(苏州校区),国民经济管理(中外合作办学),4,645,5865,4,621,7747,2,622,6560,"985,211",一流大学,公办,6724
中南大学,金融学类(经济管理类),11,643,6237,10,624,6808,11,619,7371,"985,211",一流大学,公办,6805
上海外国语大学,国际经济与贸易,2,641,6863,2,623,7112,1,622,6455,211,一流学科,公办,6810
重庆大学,经济学类,4,644,6030,none,none,none,3,618,7730,"985,211",一流大学,公办,6880
华东政法大学,法学(国际经济法),none,none,none,none,none,none,6,620,7145,省重点,none,公办,7145
上海外国语大学,国际经济与贸易(日语),2,642,6459,2,620,7957,none,none,none,211,一流学科,公办,7208
中国传媒大学,经济学类,2,640,7220,2,621,7841,none,none,none,211,一流学科,公办,7531
中央财经大学,国际经济与贸易(中外合作办学)(国际贸易、金融风险管理),10,641,6934,9,620,8134,8,615,8639,211,一流学科,公办,7902
西南财经大学,数学与应用数学(数学与经济学双学位),2,639,7373,2,620,8081,1,616,8382,211,一流学科,公办,7945
重庆大学,工科试验班(管理与经济类),none,none,none,25,619,8461,none,none,none,"985,211",一流大学,公办,8461
湖南大学,经济学类,3,636,8493,3,618,8554,3,616,8348,"985,211",一流大学,公办,8465
西南财经大学,经济统计学,3,639,7477,none,none,none,2,613,9459,211,一流学科,公办,8468
北京交通大学,经济管理试验班,12,640,7103,12,618,8539,12,612,9800,211,一流学科,公办,8481
北京外国语大学,国际经济与贸易(中外合作办学),2,639,7559,2,614,10072,none,none,none,211,一流学科,公办,8816
上海大学,经济学类,none,none,none,3,619,8513,3,613,9351,211,一流学科,公办,8932
中国传媒大学,数字经济,none,none,none,none,none,none,2,614,9160,211,一流学科,公办,9160
西南财经大学,数字经济,none,none,none,1,618,8870,1,613,9458,211,一流学科,公办,9164
中南财经政法大学,经济管理试验班,10,636,8562,10,617,9219,10,611,10219,211,一流学科,公办,9333
湖南大学,国际经济与贸易(实验班),1,633,9521,1,618,8560,6,612,10030,"985,211",一流大学,公办,9370
湖南大学,数字经济,none,none,none,none,none,none,3,613,9605,"985,211",一流大学,公办,9605
吉林大学,经济学类,15,633,9539,15,615,9693,15,612,9927,"985,211",一流大学,公办,9720
西南财经大学,经济与贸易类,3,635,8760,5,616,9509,5,609,11153,211,一流学科,公办,9807
中南财经政法大学,经济统计学(国家级一流本科专业),none,none,none,1,614,10331,none,none,none,211,一流学科,公办,10331
中央民族大学,经济学类,8,632,9912,6,614,10083,19,608,11625,"985,211",一流大学,公办,10540
大连理工大学,工商管理类(经济管理实验班),8,634,9195,8,613,10440,14,606,12564,"985,211",一流大学,公办,10733
西北工业大学,经济与贸易类(国贸、法学、行管),4,633,9523,4,612,10875,4,607,11857,"985,211",一流大学,公办,10752
湖南大学,国际经济与贸易,6,630,10514,6,612,11087,none,none,none,"985,211",一流大学,公办,10801
华东理工大学,经济学类,6,631,10178,4,612,10886,2,607,11785,211,一流学科,公办,10950
华东政法大学,经济学类,4,631,10291,4,612,10964,6,606,12240,省重点,none,公办,11165
中南财经政法大学,经济学类,12,629,10905,12,611,11346,11,606,12346,211,一流学科,公办,11532
中国海洋大学,经济学,12,628,11569,12,611,11641,11,608,11591,"985,211",一流大学,公办,11600
吉林大学,经济学(国别与区域经济),none,none,none,4,611,11565,4,607,12058,"985,211",一流大学,公办,11812
暨南大学,经济学,2,628,11211,2,610,12032,2,605,12925,211,一流学科,公办,12056
哈尔滨工业大学(威海),经济管理试验班,20,626,12315,28,609,12427,28,604,13208,"C9,985,211",一流大学,公办,12650
西北大学,经济学,2,623,13465,2,606,13655,2,608,11652,211,一流学科,公办,12924
中南财经政法大学,经济与贸易类,12,626,12105,11,608,12920,11,602,14274,211,一流学科,公办,13100
南京航空航天大学,经济与贸易类,6,626,12199,5,605,14153,none,none,none,211,一流学科,公办,13176
中国海洋大学,国际经济与贸易,19,625,12764,18,607,12939,18,602,14291,"985,211",一流大学,公办,13331
华中师范大学,经济学类,5,625,12797,4,606,13588,4,602,14361,211,一流学科,公办,13582
南京理工大学,经济学类,6,625,12670,6,606,13712,8,601,14723,211,一流学科,公办,13702
山东大学威海分校,经济学类,64,621,14290,53,606,13673,51,603,13910,"985,211",一流大学,公办,13958
东华大学,经济与贸易类,5,624,13223,4,605,14093,4,600,15055,211,一流学科,公办,14124
东华大学,经济管理试验班,7,624,13070,8,605,13975,8,600,15351,211,一流学科,公办,14132
东北大学,经济管理试验班,12,623,13366,15,605,14212,14,600,15367,"985,211",一流大学,公办,14315
西南大学,经济学类,2,622,13890,2,605,14221,2,601,14916,211,一流学科,公办,14342
上海对外经贸大学,法学(国际经济法方向),2,622,14186,2,607,13008,2,599,16003,none,none,公办,14399
