院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
上海财经大学,金融学(双学士学位、统计学和金融学),none,none,none,none,none,none,5,647,1534,211,一流学科,公办,1534
上海财经大学,统计学类,6,665,1887,5,645,2205,none,none,none,211,一流学科,公办,2046
华东师范大学,统计学(双学位),none,none,none,2,647,1960,2,641,2240,"985,211",一流大学,公办,2100
中央财经大学,统计学类,4,662,2275,4,643,2634,4,637,2907,211,一流学科,公办,2605
厦门大学,统计学类,2,657,3191,2,639,3160,2,640,2486,"985,211",一流大学,公办,2946
华东师范大学,统计学类,5,656,3303,3,640,3002,2,638,2749,"985,211",一流大学,公办,3018
对外经济贸易大学,经济统计学,2,659,2801,4,637,3538,3,630,4344,211,一流学科,公办,3561
西南财经大学,统计学类,none,none,none,none,none,none,1,620,7005,211,一流学科,公办,7005
湖南大学,统计学类,2,636,8326,2,619,8259,2,616,8481,"985,211",一流大学,公办,8355
北京交通大学,理科试验班(数学与统计),none,none,none,none,none,none,4,616,8410,211,一流学科,公办,8410
西南财经大学,经济统计学,3,639,7477,none,none,none,2,613,9459,211,一流学科,公办,8468
中南财经政法大学,经济统计学(国家级一流本科专业),none,none,none,1,614,10331,none,none,none,211,一流学科,公办,10331
西安电子科技大学,数学类(数学、统计与信息、计算机科学深度融合培养),none,none,none,7,612,10957,none,none,none,211,一流学科,公办,10957
南京航空航天大学,应用统计学,2,629,10875,2,612,10935,2,608,11706,211,一流学科,公办,11172
中央民族大学,统计学类,3,626,12312,3,610,11888,8,603,13833,"985,211",一流大学,公办,12678
中南财经政法大学,统计学类,none,none,none,10,607,13042,11,603,13758,211,一流学科,公办,13400
东华大学,数学类(金融与统计),2,622,14130,2,603,14810,3,601,14906,211,一流学科,公办,14615
北京林业大学,统计学,2,621,14643,2,603,14872,2,599,15718,211,一流学科,公办,15078
西南政法大学,经济统计学,none,none,none,none,none,none,2,598,16349,全国重点,none,公办,16349
中国地质大学(武汉),统计学,1,616,16852,1,599,17248,none,none,none,211,一流学科,公办,17050
西南交通大学,统计学,4,617,16388,4,598,17578,4,596,17397,211,一流学科,公办,17121
河北工业大学,应用统计学,2,617,16465,2,598,17798,2,593,19212,211,一流学科,公办,17825
湖南师范大学,统计学,2,609,20837,2,595,19355,2,594,18582,211,一流学科,公办,19591
东北财经大学,经济统计学,1,611,20015,none,none,none,none,none,none,省重点,none,公办,20015
东北财经大学,统计学,2,610,20205,none,none,none,none,none,none,省重点,none,公办,20205
福州大学,经济统计学,2,610,20171,2,593,21038,2,590,21210,211,一流学科,公办,20806
东北财经大学,应用统计学,2,609,20928,none,none,none,none,none,none,省重点,none,公办,20928
合肥工业大学,统计学,3,609,20776,3,593,21060,3,588,22513,211,一流学科,公办,21450
南京农业大学,统计学,4,608,21394,4,592,21632,5,589,21890,211,一流学科,公办,21639
安徽大学,经济统计学,4,608,21467,4,591,22081,4,587,22855,211,一流学科,公办,22134
浙江工商大学,经济统计学,2,607,21947,2,588,23747,2,584,25029,省重点,none,公办,23574
江西财经大学,统计学类,2,603,24598,none,none,none,none,none,none,省重点,none,公办,24598
北京语言大学,经济学(经济金融统计与分析),none,none,none,1,593,21045,2,579,28890,none,none,公办,24968
暨南大学,经济统计学(中外合作办学),3,603,24897,3,587,24722,4,583,25624,211,一流学科,公办,25081
太原理工大学,统计学,none,none,none,2,586,25156,4,582,26194,211,一流学科,公办,25675
南京信息工程大学,应用统计学,none,none,none,2,585,26096,2,583,25466,全国重点,一流学科,公办,25781
南京医科大学,应用统计学(生物统计学),2,603,24455,2,585,26006,2,581,27435,省重点,一流学科,公办,25965
